,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.600203,6.2800,6.4400,6.1100,6.1300,51419001,323590240.3900
1,2023-02-24,sh.600203,6.1300,6.2300,6.0600,6.1400,38126761,234194869.1700
2,2023-03-03,sh.600203,6.1200,6.2400,6.0200,6.1300,35732826,218771677.1600
3,2023-03-10,sh.600203,6.1600,6.2700,5.9700,6.0800,47037568,287767497.9600
4,2023-03-17,sh.600203,6.0400,6.0900,5.8600,6.0400,34364384,206040866.0600
5,2023-03-24,sh.600203,6.0500,6.3600,5.9900,6.3200,53634900,331163260.0000
6,2023-03-31,sh.600203,6.3300,6.4200,6.1600,6.2900,44047399,277117493.3400
7,2023-04-07,sh.600203,6.2800,6.9500,6.2200,6.8800,71487969,467680818.4500
8,2023-04-14,sh.600203,6.8000,7.6300,6.7500,7.1900,262363145,1912389174.1500
9,2023-04-21,sh.600203,7.1000,7.9100,6.4600,6.5400,197756867,1450411710.3400
10,2023-04-28,sh.600203,6.6500,6.7200,5.9200,6.0000,74648996,462381365.7800
11,2023-05-05,sh.600203,6.0000,6.0200,5.8300,5.8400,22208600,131162580.4200
12,2023-05-12,sh.600203,5.8400,5.8900,5.6800,5.7200,43223215,249889759.1200
13,2023-05-19,sh.600203,5.7300,6.1000,5.6300,6.0300,51923168,306497979.8000
14,2023-05-26,sh.600203,6.0000,6.0800,5.7900,5.8700,28420594,167930425.6600
15,2023-06-02,sh.600203,5.8700,6.1200,5.7800,6.0200,35891264,214398508.2400
16,2023-06-09,sh.600203,6.0100,6.6200,5.9600,6.0200,118207863,748668161.8300
17,2023-06-16,sh.600203,6.2000,6.5900,6.1200,6.1600,116876291,737043320.1200
18,2023-06-21,sh.600203,6.1800,6.2200,6.0500,6.0700,30868426,189210048.4500
19,2023-06-30,sh.600203,6.0400,6.1100,5.8600,6.0800,37891175,227661272.0400
20,2023-07-07,sh.600203,6.0900,6.1800,6.0300,6.0600,30886013,188290350.4100
21,2023-07-14,sh.600203,6.0500,6.1300,5.9800,6.0500,31349879,189394178.9000
22,2023-07-21,sh.600203,6.0000,6.1700,5.9100,5.9400,34190806,206334015.4600
23,2023-07-28,sh.600203,5.9300,6.0300,5.8500,5.9700,25726207,153266933.1700
24,2023-08-04,sh.600203,5.9600,6.2900,5.9600,6.0900,60286950,369663297.2800
25,2023-08-11,sh.600203,6.0800,6.1300,5.8100,5.8300,29857701,178256149.9100
26,2023-08-18,sh.600203,5.8300,5.8900,5.6600,5.7300,20687387,119741130.6700
27,2023-08-25,sh.600203,5.7500,5.8700,5.4800,5.4900,27746612,158136327.1200
28,2023-09-01,sh.600203,5.7100,6.3700,5.6200,6.2300,103167293,626924947.7700
29,2023-09-08,sh.600203,6.4100,6.8500,5.9400,6.2200,314654545,2007912491.1200
30,2023-09-15,sh.600203,6.2000,7.1500,6.1400,7.1500,252450144,1652783257.8100
31,2023-09-22,sh.600203,7.7700,7.8700,6.2300,6.4200,347748739,2415957091.0100
32,2023-09-28,sh.600203,6.5100,6.7600,6.2500,6.5500,151429309,983517177.5300
33,2023-10-13,sh.600203,6.6300,8.2700,6.6000,7.5900,319789111,2399624544.0700
34,2023-10-20,sh.600203,7.6200,7.7600,6.4600,6.5300,154620726,1098546732.7900
35,2023-10-27,sh.600203,6.5700,9.0000,6.5500,8.1500,394359728,3030459917.4500
36,2023-11-03,sh.600203,7.9800,9.6000,7.8800,8.5600,526951311,4615658413.2900
37,2023-11-10,sh.600203,8.4700,9.5400,8.1200,8.2200,348956496,3025329446.1300
38,2023-11-17,sh.600203,8.1000,8.9400,8.0800,8.2000,205831278,1732284235.3600
39,2023-11-24,sh.600203,8.0100,8.8900,8.0000,8.5800,224726812,1910389696.7700
40,2023-12-01,sh.600203,8.5900,9.3300,7.5900,7.8800,208431608,1738354138.9300
41,2023-12-08,sh.600203,7.8000,7.9000,7.2700,7.3900,109607445,820812721.7200
42,2023-12-15,sh.600203,7.4500,7.7100,7.1500,7.3500,133555493,992219366.8300
43,2023-12-22,sh.600203,7.3000,7.7100,7.1400,7.4400,150802502,1125734124.8500
44,2023-12-29,sh.600203,7.5900,7.8000,6.8400,7.4100,141997008,1034306532.0100
45,2024-01-05,sh.600203,7.4100,7.4800,6.8500,6.9400,91617761,654289075.6900
46,2024-01-12,sh.600203,6.9300,6.9700,6.5800,6.6800,59645315,402436502.4500
47,2024-01-19,sh.600203,6.6800,6.7500,6.2300,6.3900,54531947,353817067.3300
48,2024-01-26,sh.600203,6.3800,6.4800,5.8200,6.4000,72004005,443962875.7500
49,2024-02-02,sh.600203,6.4200,6.4400,4.7500,4.9600,77678667,430876700.8800
50,2024-02-08,sh.600203,4.9300,4.9300,3.5700,4.0700,135014174,544719041.4700
51,2024-02-23,sh.600203,4.0200,5.1600,4.0100,5.1500,141728461,653962781.5400
52,2024-03-01,sh.600203,5.2100,6.1400,4.9300,5.9600,212047574,1184112357.1300
53,2024-03-08,sh.600203,6.0900,6.5700,5.6800,6.0600,271874935,1636060699.6100
54,2024-03-15,sh.600203,6.1000,7.6100,6.0800,7.6100,340827807,2300954198.5300
55,2024-03-22,sh.600203,7.7700,8.2200,7.1800,7.2200,328940268,2476792480.2300
56,2024-03-29,sh.600203,7.3400,7.6700,6.5400,7.6700,265820282,1893706672.7100
57,2024-04-03,sh.600203,8.1000,9.2200,7.7600,8.8300,348138414,2883978836.6600
