,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.600218,9.4500,9.7300,9.2000,9.2700,41926782,399324513.3000
1,2023-02-24,sh.600218,9.2800,9.6200,9.2400,9.3700,21723246,205290171.8200
2,2023-03-03,sh.600218,9.3600,9.5200,9.1800,9.3700,18717802,174695015.3800
3,2023-03-10,sh.600218,9.3700,9.4000,8.9000,8.9300,18064881,165159614.2500
4,2023-03-17,sh.600218,8.9000,8.9600,8.6400,8.8300,14616898,129251469.6000
5,2023-03-24,sh.600218,8.8300,9.0300,8.7600,8.9400,12273000,109351766.1500
6,2023-03-31,sh.600218,8.9400,9.4100,8.8800,9.0100,29583527,268346703.2100
7,2023-04-07,sh.600218,9.0500,9.1200,8.7900,8.8500,19014715,170111308.2100
8,2023-04-14,sh.600218,8.8600,8.8800,8.6900,8.7700,13463913,117873225.0500
9,2023-04-21,sh.600218,8.8200,8.8700,8.3700,8.3700,16136488,139201080.1600
10,2023-04-28,sh.600218,8.3900,8.4700,8.1400,8.4600,11405717,94781926.1200
11,2023-05-05,sh.600218,8.4100,8.7500,8.4000,8.6300,7649234,66085834.7300
12,2023-05-12,sh.600218,8.6200,8.7000,8.5000,8.6100,10660884,91861446.1400
13,2023-05-19,sh.600218,8.6900,8.7200,8.5600,8.7000,9182965,79464806.0400
14,2023-05-26,sh.600218,8.6900,8.7400,8.4100,8.6300,10412300,89763049.3500
15,2023-06-02,sh.600218,8.6500,8.6800,8.2600,8.4500,10192891,85884347.1300
16,2023-06-09,sh.600218,8.4500,8.5500,8.1900,8.2500,11381944,94895883.2400
17,2023-06-16,sh.600218,8.2500,8.6200,8.2000,8.5600,15678618,133265328.7300
18,2023-06-21,sh.600218,8.5600,8.5900,8.4200,8.4800,7870638,67057315.8300
19,2023-06-30,sh.600218,8.4800,9.1000,8.3500,8.9600,52943110,467707780.8700
20,2023-07-07,sh.600218,8.9800,9.0600,8.8800,9.0100,26831200,240995209.9700
21,2023-07-14,sh.600218,9.0500,9.3000,8.9400,8.9800,38305043,349703064.3600
22,2023-07-21,sh.600218,8.9100,9.1800,8.8600,8.9200,19812145,178785993.1800
23,2023-07-28,sh.600218,8.9200,9.0800,8.8200,8.9800,22558872,201811134.2400
24,2023-08-04,sh.600218,9.0400,9.1500,8.9300,8.9600,19307276,174505061.7300
25,2023-08-11,sh.600218,8.9200,9.0800,8.5000,8.5000,27213255,238813350.9500
26,2023-08-18,sh.600218,8.4800,8.6400,8.3200,8.5400,16457981,139799128.9300
27,2023-08-25,sh.600218,8.5400,8.6200,8.1600,8.2000,13745501,115331387.8400
28,2023-09-01,sh.600218,8.6000,8.7000,8.3200,8.5200,18577383,158076834.0000
29,2023-09-08,sh.600218,8.5200,8.6400,8.4300,8.4700,11670629,99873307.2700
30,2023-09-15,sh.600218,8.5700,8.7300,8.4100,8.4300,15708444,134460703.6800
31,2023-09-22,sh.600218,8.4800,8.6300,8.3100,8.5000,17155824,145566929.1100
32,2023-09-28,sh.600218,8.5100,8.5700,8.4200,8.5400,10133598,86155257.7600
33,2023-10-13,sh.600218,8.5400,8.5800,8.3500,8.4300,15234697,128940973.9600
34,2023-10-20,sh.600218,8.4500,8.5200,8.1000,8.1400,19628514,162854646.4700
35,2023-10-27,sh.600218,8.1000,8.5500,7.7000,8.5200,26224682,214307472.6300
36,2023-11-03,sh.600218,8.4800,8.5000,8.2800,8.4700,21061521,176914227.2000
37,2023-11-10,sh.600218,8.5000,8.6100,8.4400,8.5300,15691895,134145119.9600
38,2023-11-17,sh.600218,8.5300,9.0500,8.5000,9.0200,26711356,235356522.5500
39,2023-11-24,sh.600218,9.0200,9.0800,8.9000,8.9700,21372119,192188185.6800
40,2023-12-01,sh.600218,8.9300,9.3000,8.9200,9.0400,29168517,264874810.1200
41,2023-12-08,sh.600218,9.2800,11.5200,9.0900,10.8900,271164451,2792817351.1800
42,2023-12-15,sh.600218,10.3500,11.4100,9.9900,10.7700,272987688,2843759159.3200
43,2023-12-22,sh.600218,10.6800,11.2100,9.2500,9.3300,188352927,1929228377.6700
44,2023-12-29,sh.600218,9.3300,9.6300,8.9500,9.5700,72808593,675682185.6000
45,2024-01-05,sh.600218,9.6200,9.7200,9.1200,9.1700,35235099,332407873.4500
46,2024-01-12,sh.600218,9.1800,9.3100,8.9600,9.0300,35065867,319105064.3900
47,2024-01-19,sh.600218,8.9900,9.1400,8.2700,8.3800,40944447,357551005.3500
48,2024-01-26,sh.600218,8.3100,8.6300,7.5500,8.4600,42272751,339662551.8300
49,2024-02-02,sh.600218,8.5200,8.5200,6.4800,6.7200,46603133,347490641.7500
50,2024-02-08,sh.600218,6.6700,6.6700,5.4500,6.3100,79073568,466775967.8200
51,2024-02-23,sh.600218,6.4000,7.3100,6.3100,7.2700,63914589,432646930.4400
52,2024-03-01,sh.600218,7.3300,8.5800,6.9300,8.5800,65777722,499968486.7700
53,2024-03-08,sh.600218,8.7100,9.4400,7.8600,7.9900,173502857,1456546561.1200
54,2024-03-15,sh.600218,8.0000,8.2800,7.8500,8.0700,62247371,502704846.5600
55,2024-03-22,sh.600218,8.1000,9.2000,8.0900,8.7600,134662785,1167224597.7100
56,2024-03-29,sh.600218,8.6200,8.7500,7.6000,8.1200,81465722,664161445.8500
57,2024-04-03,sh.600218,8.1100,8.5700,8.1000,8.1900,32132136,266918210.8800
