,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.600280,3.0200,3.0400,2.8900,2.9000,49874114,148693041.9800
1,2023-02-24,sh.600280,2.9200,3.3300,2.9000,3.3100,94636099,295401275.4900
2,2023-03-03,sh.600280,3.3800,3.6500,3.3000,3.5100,199576815,699585555.7700
3,2023-03-10,sh.600280,3.5200,3.7200,3.4700,3.5700,124655402,446638015.3600
4,2023-03-17,sh.600280,3.5700,3.9200,3.5300,3.8200,169247976,636231086.8800
5,2023-03-24,sh.600280,3.8400,4.8300,3.8000,4.5100,346209682,1520096069.0600
6,2023-03-31,sh.600280,4.4400,4.7300,4.1200,4.3600,200665324,868180915.5600
7,2023-04-07,sh.600280,4.3800,4.9300,4.2000,4.8000,167040197,764597598.7500
8,2023-04-14,sh.600280,4.7700,5.3600,4.5400,5.1500,190491560,943285247.1500
9,2023-04-21,sh.600280,5.1500,5.7900,5.0800,5.3100,165778206,903215538.7800
10,2023-04-28,sh.600280,5.3700,5.3900,4.2000,4.5600,184115995,864250816.6200
11,2023-05-05,sh.600280,4.5100,4.6000,4.1500,4.3200,59738571,259523455.9500
12,2023-05-12,sh.600280,4.3100,4.3400,2.8800,2.8900,247864012,779518330.4200
13,2023-05-19,sh.600280,2.9000,2.9100,2.6400,2.6700,170018280,465486717.2000
14,2023-05-26,sh.600280,2.6700,2.7200,2.5300,2.5700,113398112,296909972.0600
15,2023-06-02,sh.600280,2.5500,2.7200,2.4900,2.7100,111233602,290748176.9900
16,2023-06-09,sh.600280,2.7200,2.8200,2.6800,2.7200,102697823,281268052.7400
17,2023-06-16,sh.600280,2.7400,2.8600,2.6700,2.7000,126135311,346082141.5800
18,2023-06-21,sh.600280,2.7000,2.7000,2.5100,2.5200,51201500,132967794.0000
19,2023-06-30,sh.600280,2.5200,2.6100,2.4500,2.5800,78987799,201049978.4800
20,2023-07-07,sh.600280,2.6100,2.7300,2.5700,2.6100,83701381,220135985.4300
21,2023-07-14,sh.600280,2.6100,2.8500,2.5600,2.8500,88935653,237799658.2200
22,2023-07-21,sh.600280,2.9700,4.6000,2.9100,4.6000,160747730,556271274.0400
23,2023-07-28,sh.600280,4.9200,5.2900,4.3400,5.1900,1111683396,5321597992.8900
24,2023-08-04,sh.600280,5.1400,6.1000,4.6700,5.3200,996769083,5327471893.1500
25,2023-08-11,sh.600280,5.3400,5.4500,4.5500,4.7500,546098477,2659127581.2200
26,2023-08-18,sh.600280,4.5400,5.4300,4.5300,4.6100,864919356,4403300680.0000
27,2023-08-25,sh.600280,4.5300,4.6200,4.0500,4.0700,368580195,1588149274.1000
28,2023-09-01,sh.600280,4.2600,4.6100,4.0900,4.6100,377203083,1633483596.3900
29,2023-09-08,sh.600280,5.0000,5.0000,4.2000,4.2600,628834597,2917207851.7300
30,2023-09-15,sh.600280,4.1400,4.4400,4.1100,4.3600,310735808,1332414702.3200
31,2023-09-22,sh.600280,4.2800,4.7500,3.9100,4.0200,319685824,1363397524.0100
32,2023-09-28,sh.600280,4.0200,4.1000,3.9100,3.9400,112597024,447468381.7400
33,2023-10-13,sh.600280,3.9300,3.9400,3.7100,3.7200,122498408,464624188.8900
34,2023-10-20,sh.600280,3.7500,3.7600,3.5300,3.5500,120595966,436910033.2800
35,2023-10-27,sh.600280,3.5600,3.6900,3.4400,3.5900,119448072,424349737.0800
36,2023-11-03,sh.600280,3.5900,3.7000,3.5000,3.5200,86335122,307823831.8200
37,2023-11-10,sh.600280,3.5200,3.7000,3.4800,3.5300,127793800,456431656.8600
38,2023-11-17,sh.600280,3.5500,3.9700,3.5200,3.6300,277583092,1019131409.9000
39,2023-11-24,sh.600280,3.5800,4.1900,3.5300,4.1900,435034862,1679407592.2000
40,2023-12-01,sh.600280,4.2800,4.9800,3.9500,4.4300,775788461,3461817203.6100
41,2023-12-08,sh.600280,4.3100,4.5000,3.8300,3.8300,440445584,1841451507.5400
42,2023-12-15,sh.600280,3.8200,4.2700,3.7900,3.8800,283281194,1133327933.2400
43,2023-12-22,sh.600280,3.9000,3.9100,3.6100,3.6100,136500290,509245520.6400
44,2023-12-29,sh.600280,3.5800,3.8800,3.5000,3.7800,198499700,734151849.0000
45,2024-01-05,sh.600280,3.7800,3.9300,3.6900,3.7300,147123994,562342654.6800
46,2024-01-12,sh.600280,3.7000,4.4000,3.6800,3.9300,458043350,1861359584.4000
47,2024-01-19,sh.600280,3.8500,4.1200,3.4000,3.5800,253628119,964488919.0400
48,2024-01-26,sh.600280,3.5000,3.5300,3.2000,3.4400,160349566,547409490.0200
49,2024-02-02,sh.600280,3.4600,3.4700,2.6300,2.7600,136452905,410315618.4800
50,2024-02-08,sh.600280,2.7300,2.7300,2.2300,2.6100,109157200,271464948.0000
51,2024-02-23,sh.600280,2.6400,3.1500,2.6400,3.1000,136190009,388911758.9700
52,2024-03-01,sh.600280,3.1000,3.6300,3.0000,3.2100,231818320,763878093.9000
53,2024-03-08,sh.600280,3.2100,3.4300,3.0300,3.2100,185336108,595445136.1300
54,2024-03-15,sh.600280,3.2400,3.4600,3.1600,3.2900,173851850,573841982.0800
55,2024-03-22,sh.600280,3.3000,3.3900,3.2300,3.3500,158138146,522477750.8900
56,2024-03-29,sh.600280,3.3100,3.3300,2.9100,3.0200,111894170,347219021.6400
57,2024-04-03,sh.600280,3.0400,3.2200,3.0300,3.1900,71024020,221411600.4000
