,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.600381,10.9100,11.2900,10.6500,10.8600,55035221,606003619.5000
1,2023-02-24,sh.600381,10.8300,11.2600,10.5600,10.7100,51243394,559038570.5000
2,2023-03-03,sh.600381,10.6300,10.7100,10.3400,10.3800,29068211,305139471.9100
3,2023-03-10,sh.600381,10.3800,10.4300,10.0100,10.1300,24768510,253720486.5300
4,2023-03-17,sh.600381,10.0800,10.1600,9.3600,9.3800,31339800,303120099.4700
5,2023-03-24,sh.600381,9.3700,9.6200,9.1900,9.4800,30221544,284509303.7900
6,2023-03-31,sh.600381,9.4700,9.4800,9.0400,9.2200,26255567,242812052.0000
7,2023-04-07,sh.600381,9.2400,9.2400,8.8000,9.0100,34263420,308992190.8700
8,2023-04-14,sh.600381,9.0100,9.0400,8.6300,8.6300,31125045,274300165.0800
9,2023-04-21,sh.600381,8.7100,9.7400,8.6500,9.4000,88805046,823719358.9700
10,2023-04-28,sh.600381,9.2600,9.2900,7.7900,8.7400,68107155,580508252.4300
11,2023-05-05,sh.600381,8.7400,9.3600,8.7400,9.0600,26073664,235954070.7700
12,2023-05-12,sh.600381,9.0600,9.1800,8.4000,8.4300,35366034,306716862.6300
13,2023-05-19,sh.600381,8.5700,9.2200,8.1600,8.4400,50746035,439782366.6700
14,2023-05-26,sh.600381,8.4500,8.6300,7.9000,8.1500,30720681,254546905.3700
15,2023-06-02,sh.600381,8.1600,8.2500,7.8100,8.0700,25822081,207778484.1300
16,2023-06-09,sh.600381,8.1500,8.5500,7.9100,7.9400,30854523,251355470.8600
17,2023-06-16,sh.600381,7.8800,8.2300,7.8700,8.1300,28221720,228210057.6100
18,2023-06-21,sh.600381,8.1000,8.4400,7.8500,8.1300,24961306,202601891.2900
19,2023-06-30,sh.600381,8.0400,8.0500,7.7200,7.8200,24719397,193915633.0100
20,2023-07-07,sh.600381,7.7900,8.2400,7.7900,7.8700,21976032,174588619.1700
21,2023-07-14,sh.600381,7.8800,8.0600,7.8300,7.8900,18166553,144144919.9300
22,2023-07-21,sh.600381,7.9000,8.3200,7.8100,8.2400,31812077,256353810.2400
23,2023-07-28,sh.600381,8.2900,8.9000,8.0500,8.9000,52633459,443543599.3000
24,2023-08-04,sh.600381,9.0900,10.0900,8.9800,9.2800,194049427,1840227842.4200
25,2023-08-11,sh.600381,9.2200,9.3000,8.7500,8.7800,76150772,690832682.7600
26,2023-08-18,sh.600381,8.7300,8.8000,8.2600,8.2600,55193789,473896445.1600
27,2023-08-25,sh.600381,8.2700,8.4300,7.9300,7.9500,35940580,293041566.7500
28,2023-09-01,sh.600381,8.3000,8.4000,7.8600,8.1700,44468891,361039598.4200
29,2023-09-08,sh.600381,8.1500,8.6500,8.0600,8.1500,45151693,375681918.3200
30,2023-09-15,sh.600381,8.1100,8.2200,7.9400,8.1500,26561408,214974605.0800
31,2023-09-22,sh.600381,8.1400,8.2800,7.8000,8.0300,26055274,209933759.7500
32,2023-09-28,sh.600381,8.0100,8.0500,7.8500,7.9700,15062235,119946608.9400
33,2023-10-13,sh.600381,8.0000,8.0000,7.7000,7.7500,22521042,176072231.2400
34,2023-10-20,sh.600381,7.7800,7.8100,7.1100,7.1300,26464807,194889509.9300
35,2023-10-27,sh.600381,7.1200,7.5700,6.9000,7.5300,26578178,193327204.1000
36,2023-11-03,sh.600381,7.5200,8.1400,7.5000,7.8400,34305579,267907857.8400
37,2023-11-10,sh.600381,7.8800,8.0000,7.7700,7.9100,20914327,164876293.0500
38,2023-11-17,sh.600381,8.1400,8.2500,7.8500,8.0700,30891036,249776210.9200
39,2023-11-24,sh.600381,8.0700,8.2900,8.0700,8.2300,24648968,201911912.5300
40,2023-12-01,sh.600381,8.2500,8.4300,8.0600,8.2800,28206396,231491562.5100
41,2023-12-08,sh.600381,8.2700,8.2900,7.9300,7.9300,25962862,210503438.8000
42,2023-12-15,sh.600381,7.9200,8.1200,7.8100,7.8800,22337835,178297536.9400
43,2023-12-22,sh.600381,7.9000,7.9400,7.4900,7.5300,19903767,152901483.5600
44,2023-12-29,sh.600381,7.5800,7.8100,7.3700,7.7300,17104057,129730778.1100
45,2024-01-05,sh.600381,7.8000,7.9000,7.6200,7.6500,13581788,105521498.2600
46,2024-01-12,sh.600381,7.6700,8.2800,7.4300,7.7200,46517459,364667761.7300
47,2024-01-19,sh.600381,7.6400,7.9700,6.8800,7.1900,40106341,297681934.1100
48,2024-01-26,sh.600381,7.1000,7.2500,6.4100,7.1200,38339451,262417750.8100
49,2024-02-02,sh.600381,7.1200,7.2200,5.6000,5.8000,36625661,235913083.2200
50,2024-02-08,sh.600381,5.7800,5.7800,4.5500,5.0200,52747076,258521848.7900
51,2024-02-23,sh.600381,5.0500,5.8700,5.0500,5.8300,41264873,228318574.0700
52,2024-03-01,sh.600381,5.8400,6.3700,5.5900,5.9300,43205138,258439133.6400
53,2024-03-08,sh.600381,5.9400,5.9900,5.5500,5.6000,24280995,138542754.5100
54,2024-03-15,sh.600381,5.6000,6.9500,5.5100,6.5700,88179990,565959252.0200
55,2024-03-22,sh.600381,5.9100,6.2400,5.4100,5.5000,259628996,1495898565.0600
56,2024-03-29,sh.600381,5.4100,5.4700,4.8900,5.3100,118220553,613127387.7900
57,2024-04-03,sh.600381,5.3400,5.3700,5.0600,5.1100,56370744,294350000.8800
