,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.600405,6.7500,7.1600,6.6600,6.6900,213841379,1483846181.6300
1,2023-02-24,sh.600405,6.6900,6.8800,6.5900,6.8000,90249993,612263619.2800
2,2023-03-03,sh.600405,6.7300,6.9300,6.5600,6.6500,94880413,639782293.5900
3,2023-03-10,sh.600405,6.6400,6.6600,6.3700,6.3800,60595240,395244957.1700
4,2023-03-17,sh.600405,6.3800,6.4400,6.1100,6.2400,53661353,336107154.2300
5,2023-03-24,sh.600405,6.2000,6.7300,6.2000,6.6600,83414946,540789651.4400
6,2023-03-31,sh.600405,6.5800,6.5900,6.3100,6.4400,72632006,468199350.1500
7,2023-04-07,sh.600405,6.4500,7.0800,6.3800,6.9900,232323186,1589787980.8500
8,2023-04-14,sh.600405,7.6900,7.6900,6.6600,6.7000,299311733,2111896677.0400
9,2023-04-21,sh.600405,6.7300,6.7600,6.0400,6.0500,149767622,953338490.2900
10,2023-04-28,sh.600405,6.0500,6.0500,5.3900,5.7300,88929573,511003181.2400
11,2023-05-05,sh.600405,5.7400,5.8600,5.6000,5.6600,29178611,167011611.5500
12,2023-05-12,sh.600405,5.6900,5.7700,5.5000,5.6000,66824940,377956339.4200
13,2023-05-19,sh.600405,5.6200,6.1000,5.6000,5.9400,98096318,579285922.5300
14,2023-05-26,sh.600405,5.9600,6.1800,5.8100,6.1000,86563169,516805509.8900
15,2023-06-02,sh.600405,6.0000,6.0100,5.7500,5.9600,58565430,345292481.9800
16,2023-06-09,sh.600405,5.9400,5.9700,5.5800,5.6600,43520352,250231954.8500
17,2023-06-16,sh.600405,5.6700,5.9200,5.6100,5.8400,42327662,245298346.1000
18,2023-06-21,sh.600405,5.8200,6.0300,5.7600,5.7700,48654246,287021544.9200
19,2023-06-30,sh.600405,5.7500,5.9000,5.6300,5.8900,50636585,292765378.2800
20,2023-07-07,sh.600405,5.8900,5.9800,5.7600,5.7700,45949916,271156756.3600
21,2023-07-14,sh.600405,5.7700,5.9200,5.7300,5.7700,45415595,264496230.1600
22,2023-07-21,sh.600405,5.7300,5.8300,5.6000,5.6300,31385579,178765652.8100
23,2023-07-28,sh.600405,5.6000,5.7200,5.5900,5.6900,25397299,143983067.5400
24,2023-08-04,sh.600405,5.6800,5.8400,5.6700,5.7900,34421049,198336226.7700
25,2023-08-11,sh.600405,5.7800,5.8300,5.6300,5.6300,21500288,123330635.7200
26,2023-08-18,sh.600405,5.6000,5.6600,5.5000,5.5200,22136434,123379421.4200
27,2023-08-25,sh.600405,5.5200,5.5600,5.1200,5.1600,23463071,125193014.3400
28,2023-09-01,sh.600405,5.4600,5.4700,5.2100,5.3600,23886608,127676084.0400
29,2023-09-08,sh.600405,5.3500,5.5100,5.3300,5.4000,23129432,125595252.5200
30,2023-09-15,sh.600405,5.4200,5.5000,5.2200,5.2900,20760268,111482472.8600
31,2023-09-22,sh.600405,5.2900,5.4000,5.2100,5.3400,18208864,96665449.7200
32,2023-09-28,sh.600405,5.3700,5.3900,5.2100,5.3700,18869930,100129101.0600
33,2023-10-13,sh.600405,5.6200,5.7200,5.4200,5.5600,60519114,336659791.4500
34,2023-10-20,sh.600405,5.5300,5.5800,5.3400,5.4100,27459090,150124330.1700
35,2023-10-27,sh.600405,5.3900,5.4000,5.1600,5.3800,28185296,149136326.1400
36,2023-11-03,sh.600405,5.3000,5.3700,5.2300,5.3300,39665483,210197343.2900
37,2023-11-10,sh.600405,5.3500,5.5200,5.3400,5.4300,45975153,250560892.8500
38,2023-11-17,sh.600405,5.4300,5.6600,5.4300,5.6000,38227101,212736131.5800
39,2023-11-24,sh.600405,5.5800,5.6900,5.4900,5.5200,28070208,157129072.7900
40,2023-12-01,sh.600405,5.5300,6.2500,5.5300,5.6800,159287416,930267729.8800
41,2023-12-08,sh.600405,5.6800,6.3900,5.5800,6.3900,230458388,1382133779.7600
42,2023-12-15,sh.600405,6.3500,6.7100,5.9000,6.0400,315344052,1972440018.5800
43,2023-12-22,sh.600405,6.0000,6.2700,5.6000,5.9900,193242545,1162262293.5700
44,2023-12-29,sh.600405,5.9100,6.0900,5.4900,5.8500,128165923,745316711.7500
45,2024-01-05,sh.600405,5.8700,5.9800,5.6200,5.7300,59552134,345211617.4400
46,2024-01-12,sh.600405,5.7500,5.8200,5.5000,5.5000,89886079,507513493.9700
47,2024-01-19,sh.600405,5.5000,5.5100,4.9400,4.9700,61312328,318667169.0500
48,2024-01-26,sh.600405,4.9300,4.9600,4.4800,4.8500,61652578,290231984.3300
49,2024-02-02,sh.600405,4.8500,4.8700,3.7800,3.9300,60019799,258177209.6600
50,2024-02-08,sh.600405,3.8600,3.9000,3.2000,3.5800,70736062,243126439.0200
51,2024-02-23,sh.600405,3.6300,4.1700,3.6300,4.1700,81308712,315452255.6500
52,2024-03-01,sh.600405,4.2400,4.6600,3.9500,4.6600,93042418,402993437.5600
53,2024-03-08,sh.600405,5.0000,5.1300,4.4000,4.4800,205093249,980347752.6600
54,2024-03-15,sh.600405,4.4800,4.6900,4.4800,4.5800,70331512,322917357.6600
55,2024-03-22,sh.600405,4.6000,5.1800,4.5800,5.1700,167624356,821850938.0900
56,2024-03-29,sh.600405,5.1200,5.2500,4.4800,4.6600,101886469,488256115.8200
57,2024-04-03,sh.600405,4.6600,4.8100,4.6000,4.6400,36720272,172882694.1500
