,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.600446,13.0700,13.8900,12.8000,12.8200,131996059,1770205728.2800
1,2023-02-24,sh.600446,12.9500,13.5800,12.8800,12.9900,100460439,1323074105.8300
2,2023-03-03,sh.600446,12.8400,13.4700,12.6000,13.1900,75763315,994564003.5300
3,2023-03-10,sh.600446,13.1800,13.2000,12.5100,12.7300,52146322,670656667.0300
4,2023-03-17,sh.600446,12.7600,13.2000,12.4800,13.0300,74776066,965026862.1600
5,2023-03-24,sh.600446,13.1500,14.0900,12.8900,14.0100,132489582,1799571976.5400
6,2023-03-31,sh.600446,14.0500,14.8200,13.5100,14.0700,140478629,1997304144.7500
7,2023-04-07,sh.600446,14.0500,16.5600,14.0400,16.0800,255074638,4015462669.0600
8,2023-04-14,sh.600446,16.1000,17.8400,14.7900,17.4700,288328201,4716545115.7000
9,2023-04-21,sh.600446,18.2100,18.9600,15.7200,16.5700,419325420,7166460073.9200
10,2023-04-28,sh.600446,17.3600,19.9300,16.0000,18.9100,639993414,11775954683.0500
11,2023-05-05,sh.600446,18.5300,19.3500,17.8100,18.2000,164492278,3038347999.8700
12,2023-05-12,sh.600446,17.7000,19.2800,16.8100,18.9400,167820295,3045826382.1900
13,2023-05-19,sh.600446,18.9400,18.9400,18.9400,18.9400,0,0.0000
14,2023-05-26,sh.600446,18.9400,18.9400,13.8200,14.1500,128754477,1856566261.0000
15,2023-06-02,sh.600446,13.9100,15.5700,13.0600,14.8600,326183818,4668620693.8500
16,2023-06-09,sh.600446,14.9000,15.3300,14.3000,14.8400,143657033,2126239456.3600
17,2023-06-16,sh.600446,14.9500,16.2000,14.6100,15.6600,194950955,3000081948.0600
18,2023-06-21,sh.600446,16.4800,18.4500,16.3900,16.7800,228328713,3956902140.4500
19,2023-06-30,sh.600446,16.7500,16.7500,14.0000,14.5400,173008240,2594754119.7300
20,2023-07-07,sh.600446,14.5000,14.5000,13.1800,13.2800,150006225,2076769989.4500
21,2023-07-14,sh.600446,13.2300,13.2900,12.2800,12.7800,135951777,1733673505.9900
22,2023-07-21,sh.600446,12.7500,13.0000,12.4600,12.4700,86159127,1095238466.9900
23,2023-07-28,sh.600446,12.4700,13.9700,12.4100,13.9700,205660012,2720880879.5500
24,2023-08-04,sh.600446,14.0300,16.1000,13.6200,15.7900,359852165,5263625787.0100
25,2023-08-11,sh.600446,15.1300,15.5500,14.3500,14.3600,232921111,3498108844.5500
26,2023-08-18,sh.600446,14.1900,15.0400,13.8800,13.9000,158209163,2285868500.0600
27,2023-08-25,sh.600446,13.8300,14.1800,13.0500,13.2200,101029930,1387132438.0900
28,2023-09-01,sh.600446,14.5400,14.5400,13.2700,13.3100,155089853,2149113878.0500
29,2023-09-08,sh.600446,13.3900,13.4900,12.7700,13.1000,76605185,1009314233.5800
30,2023-09-15,sh.600446,13.1000,13.4000,12.5100,12.5600,78699817,1021495553.0100
31,2023-09-22,sh.600446,12.5600,12.8100,12.2300,12.7800,62587629,786854565.4700
32,2023-09-28,sh.600446,12.6900,12.8300,12.4300,12.6800,46770160,591558802.3500
33,2023-10-13,sh.600446,12.6000,13.2500,12.4800,12.6200,63852013,817967767.7100
34,2023-10-20,sh.600446,12.6200,12.8500,12.0700,12.2200,73042374,909267046.9700
35,2023-10-27,sh.600446,12.0500,12.3500,11.5000,11.6500,107772077,1284355942.4100
36,2023-11-03,sh.600446,11.6000,11.9500,11.5300,11.8400,78122177,916971068.2800
37,2023-11-10,sh.600446,12.1700,12.6600,12.1000,12.2300,82612610,1020695630.6500
38,2023-11-17,sh.600446,12.3500,12.9500,12.3400,12.5200,65319103,823367531.7100
39,2023-11-24,sh.600446,12.5200,12.7600,11.9800,12.0400,57288351,709864341.5000
40,2023-12-01,sh.600446,11.9700,12.1300,11.5700,11.9900,59816232,708437702.4400
41,2023-12-08,sh.600446,11.9900,12.4400,11.7300,12.2400,83424878,1010405271.8900
42,2023-12-15,sh.600446,12.2400,12.4400,11.8800,12.0800,63304743,775020931.8300
43,2023-12-22,sh.600446,12.0700,12.1800,11.0100,11.0500,59767053,688771306.6900
44,2023-12-29,sh.600446,11.0500,11.5700,10.7000,11.5700,52319523,579678663.7600
45,2024-01-05,sh.600446,11.5900,11.6400,10.8700,10.9000,39833160,447313690.8000
46,2024-01-12,sh.600446,10.8500,10.8700,10.1600,10.5400,50473828,533179574.1400
47,2024-01-19,sh.600446,10.4200,10.6000,9.8800,10.1000,47226076,483597298.6000
48,2024-01-26,sh.600446,10.0300,11.8000,9.4200,11.0000,235927937,2618591089.2300
49,2024-02-02,sh.600446,10.8900,11.9700,9.8200,11.9700,226714553,2441462624.3400
50,2024-02-08,sh.600446,12.3100,13.1700,10.5400,12.3100,498898157,6051770875.8800
51,2024-02-23,sh.600446,12.3100,13.7400,11.9500,12.9300,423140682,5394824148.0300
52,2024-03-01,sh.600446,12.7500,13.8300,12.3900,13.4200,375877527,4868383475.9200
53,2024-03-08,sh.600446,13.2800,13.4100,12.2200,12.5000,212069511,2727828842.5700
54,2024-03-15,sh.600446,12.4400,13.0500,12.4000,12.9600,140720568,1802563921.4600
55,2024-03-22,sh.600446,13.0600,14.1500,12.9500,13.4200,191031494,2563972006.0400
56,2024-03-29,sh.600446,13.4900,13.6100,11.7700,12.1700,125899393,1567546005.3500
57,2024-04-03,sh.600446,12.3000,12.5800,11.9300,12.0000,52515151,644973116.9800
