,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.600476,17.6700,18.4100,16.6000,16.7000,45451843,797107292.9200
1,2023-02-24,sh.600476,16.6500,16.9400,16.1000,16.3000,28571109,471007469.2000
2,2023-03-03,sh.600476,16.2500,19.5300,15.9600,18.8100,82228833,1487950655.2000
3,2023-03-10,sh.600476,19.2800,22.9700,18.6000,20.6700,117826583,2397288826.5700
4,2023-03-17,sh.600476,20.5000,21.8800,19.0200,19.6000,100478177,2045141466.2800
5,2023-03-24,sh.600476,19.5300,20.3500,18.9000,19.4000,59582658,1167927732.8100
6,2023-03-31,sh.600476,19.6100,19.6600,18.0300,18.7200,54625587,1038979685.3900
7,2023-04-07,sh.600476,18.5900,20.6900,18.3900,20.4000,53158544,1033755375.0400
8,2023-04-14,sh.600476,20.0300,20.1800,16.9000,18.3900,66005122,1205371599.8000
9,2023-04-21,sh.600476,20.2200,20.2300,17.0100,17.1400,90772220,1728291210.1100
10,2023-04-28,sh.600476,17.1800,17.7900,15.5100,16.3000,35961501,589920195.6800
11,2023-05-05,sh.600476,16.2400,16.3100,15.6100,16.2800,14204300,226866302.0000
12,2023-05-12,sh.600476,16.2600,17.2400,16.0000,16.7300,27042800,452531415.2700
13,2023-05-19,sh.600476,16.9000,16.9000,15.9500,16.4000,16031300,262525731.0000
14,2023-05-26,sh.600476,16.4000,16.4000,15.4800,15.9400,11796034,187657865.3000
15,2023-06-02,sh.600476,15.9300,17.3700,15.5800,17.1400,21999766,367227598.2300
16,2023-06-09,sh.600476,17.0700,17.4900,16.7900,17.1900,17270619,296202986.0500
17,2023-06-16,sh.600476,17.2700,18.4600,16.9800,18.0500,26301570,463863770.4000
18,2023-06-21,sh.600476,17.8200,18.1200,17.0900,17.0900,17474600,309213992.0000
19,2023-06-30,sh.600476,16.8000,17.0800,15.3300,16.3500,20588311,333100331.9200
20,2023-07-07,sh.600476,16.3500,16.6400,15.7900,15.9700,11977846,194344388.3600
21,2023-07-14,sh.600476,15.9400,16.4000,15.6500,16.2200,15658831,249911203.3500
22,2023-07-21,sh.600476,16.1400,16.2200,15.4100,15.4300,11279030,177796952.8000
23,2023-07-28,sh.600476,15.3800,16.3600,15.1200,15.4800,14265700,223168814.9900
24,2023-08-04,sh.600476,15.4500,16.3400,15.4200,16.0900,11505900,182273236.0000
25,2023-08-11,sh.600476,16.1000,16.6200,16.0000,16.1200,17216520,279808407.4000
26,2023-08-18,sh.600476,16.0100,17.1700,15.2800,15.7500,23400800,378220167.0000
27,2023-08-25,sh.600476,15.7600,16.5500,14.2300,14.3800,24520350,384876644.0000
28,2023-09-01,sh.600476,15.3500,15.4700,13.9900,14.9500,21246428,317027062.9100
29,2023-09-08,sh.600476,14.9600,15.9800,14.8700,15.6300,17069057,263089841.2500
30,2023-09-15,sh.600476,15.6800,15.8800,14.4300,14.4600,12979140,197477522.7900
31,2023-09-22,sh.600476,14.4000,14.6200,14.0600,14.5200,10450942,149546295.5400
32,2023-09-28,sh.600476,14.5500,15.6900,14.1400,15.6900,13090105,194416404.9800
33,2023-10-13,sh.600476,15.4600,15.6500,14.8900,14.9200,28871784,442193057.3600
34,2023-10-20,sh.600476,14.9400,17.4000,14.5800,15.5400,80004670,1292244114.2700
35,2023-10-27,sh.600476,15.4700,17.2000,15.2100,15.9500,68960781,1119171952.4200
36,2023-11-03,sh.600476,15.9000,16.8800,15.6700,16.7800,49560897,808703207.6800
37,2023-11-10,sh.600476,16.6000,17.8000,16.2600,16.8700,49935060,835233559.1500
38,2023-11-17,sh.600476,16.6900,19.7100,16.6400,18.5600,82965989,1514974568.8600
39,2023-11-24,sh.600476,18.3400,22.4600,17.8400,17.8900,123143531,2442986931.5500
40,2023-12-01,sh.600476,17.6500,18.3600,17.0000,17.6500,43715915,776512205.7400
41,2023-12-08,sh.600476,17.9900,20.4800,17.7900,19.6400,89086227,1707376423.8300
42,2023-12-15,sh.600476,19.0300,20.5300,18.9000,19.4000,105419930,2074363665.2000
43,2023-12-22,sh.600476,19.6300,22.6800,18.6000,18.7100,117014412,2432009263.7100
44,2023-12-29,sh.600476,18.6800,19.6000,16.0200,17.3200,64305169,1096331301.6700
45,2024-01-05,sh.600476,17.4500,17.8500,16.3500,16.5200,26453701,451576279.0400
46,2024-01-12,sh.600476,16.6000,16.7000,15.6000,16.0000,23133100,371867110.0000
47,2024-01-19,sh.600476,15.8600,16.0500,14.6900,14.8500,20687201,317497850.6500
48,2024-01-26,sh.600476,14.9500,16.4000,13.5300,15.8100,42012001,631745205.6400
49,2024-02-02,sh.600476,15.9900,17.3900,13.5400,14.1700,49678426,779726884.0400
50,2024-02-08,sh.600476,14.1900,14.2800,10.8800,12.1300,38059845,451397561.9100
51,2024-02-23,sh.600476,12.2600,15.4000,12.2600,14.9600,46913618,639403999.5000
52,2024-03-01,sh.600476,14.9400,16.3700,14.0100,15.1800,56220663,850263131.3200
53,2024-03-08,sh.600476,15.2900,15.3200,14.4000,14.7700,29262278,433661250.7800
54,2024-03-15,sh.600476,14.8500,15.9000,14.7300,15.3200,29281099,446089182.3800
55,2024-03-22,sh.600476,15.3200,17.0300,15.3200,16.4100,40587240,662015570.9100
56,2024-03-29,sh.600476,16.4200,16.6500,14.5500,15.2600,24354634,375445342.8200
57,2024-04-03,sh.600476,15.3400,16.3500,14.9100,15.0100,16110430,250536781.8900
