,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.600487,14.5500,15.0900,14.2000,14.2200,311830603,4592262121.3200
1,2023-02-24,sh.600487,14.2000,14.9400,14.0400,14.6100,300167882,4360800177.0400
2,2023-03-03,sh.600487,14.5000,15.7300,14.3900,15.5500,513747210,7790581357.7900
3,2023-03-10,sh.600487,15.4800,15.9800,14.5000,14.5600,459224451,7042191240.3200
4,2023-03-17,sh.600487,14.4600,14.7000,13.8900,13.9400,283391828,4036116117.1800
5,2023-03-24,sh.600487,14.1000,15.8700,14.1000,15.7400,542423825,8250574870.9700
6,2023-03-31,sh.600487,15.8100,16.2600,14.7700,15.1000,407129462,6309072717.1000
7,2023-04-07,sh.600487,15.1100,18.1800,15.1100,17.3000,658470711,10860137564.7100
8,2023-04-14,sh.600487,17.2300,17.4900,15.5100,15.8800,600469405,9797945309.0400
9,2023-04-21,sh.600487,15.9900,16.4900,15.1800,15.2900,591320665,9381751663.5400
10,2023-04-28,sh.600487,15.1000,16.0900,14.2600,14.5600,440028497,6583930911.8400
11,2023-05-05,sh.600487,14.4900,14.9300,14.2800,14.4000,104957605,1533156904.6400
12,2023-05-12,sh.600487,14.4100,14.8400,14.1000,14.3900,229671606,3313913434.6800
13,2023-05-19,sh.600487,14.5000,15.3500,14.5000,15.1600,246942867,3701303153.9000
14,2023-05-26,sh.600487,15.1700,15.1700,14.3600,14.5000,158191956,2318633757.1600
15,2023-06-02,sh.600487,14.5100,15.2500,14.1300,14.9600,224552878,3288374225.6800
16,2023-06-09,sh.600487,14.9700,15.0300,13.2500,13.9000,323264314,4540419821.9300
17,2023-06-16,sh.600487,13.7300,15.5500,13.5700,15.4800,452357447,6659681911.2700
18,2023-06-21,sh.600487,15.6500,16.0500,14.9400,14.9500,315843169,4901379616.5000
19,2023-06-30,sh.600487,14.8800,15.1500,13.9100,14.6600,295572004,4307562572.2200
20,2023-07-07,sh.600487,14.6800,15.3800,14.1800,14.3100,234476896,3473815519.5000
21,2023-07-14,sh.600487,14.4600,15.8200,14.0800,15.8200,349958675,5284781006.6500
22,2023-07-21,sh.600487,15.9500,15.9800,14.9100,14.9600,461200954,7153398843.4400
23,2023-07-28,sh.600487,14.9300,15.3300,14.7900,15.2600,240602199,3639579059.7000
24,2023-08-04,sh.600487,15.2600,15.5200,14.9600,15.1700,190280717,2896365077.2200
25,2023-08-11,sh.600487,15.2000,15.2800,14.3800,14.3900,169121058,2496966573.6000
26,2023-08-18,sh.600487,14.1800,14.6400,14.0600,14.1600,107242515,1534909392.9100
27,2023-08-25,sh.600487,14.2500,14.3800,13.6300,13.7900,129414400,1817334963.9000
28,2023-09-01,sh.600487,14.6100,14.6200,13.8700,14.1200,145225011,2062643496.1200
29,2023-09-08,sh.600487,14.1900,14.3600,13.9600,14.0600,114958442,1628128763.1400
30,2023-09-15,sh.600487,14.1500,14.4400,13.8700,13.8900,138497688,1960383485.0400
31,2023-09-22,sh.600487,13.8500,13.9800,13.4500,13.8200,110662556,1514662761.9600
32,2023-09-28,sh.600487,13.8400,14.2500,13.7100,14.1200,105488533,1476669645.4000
33,2023-10-13,sh.600487,14.1200,14.4500,14.0400,14.1700,130080905,1850481937.4400
34,2023-10-20,sh.600487,14.1400,14.2000,13.3600,13.4000,111225514,1533890341.9000
35,2023-10-27,sh.600487,13.3500,13.3600,12.6400,13.2500,138582740,1803768963.8700
36,2023-11-03,sh.600487,13.2500,13.5400,12.9200,13.1300,142999557,1884046611.9500
37,2023-11-10,sh.600487,13.2000,13.4000,13.0700,13.1400,143649734,1904596553.4200
38,2023-11-17,sh.600487,13.1600,13.5200,13.1500,13.4000,110002162,1467277335.8700
39,2023-11-24,sh.600487,13.4000,13.4300,12.7700,12.8300,122558757,1604740033.1700
40,2023-12-01,sh.600487,12.7500,12.8500,12.3600,12.5600,111129477,1396269438.7600
41,2023-12-08,sh.600487,12.6000,12.7900,11.9600,12.0900,148585220,1827876138.4300
42,2023-12-15,sh.600487,11.9600,12.1400,11.7500,11.7800,110363605,1317272497.6200
43,2023-12-22,sh.600487,11.7600,11.9600,11.4000,11.7000,126952061,1470608508.5000
44,2023-12-29,sh.600487,11.6400,12.1500,11.1900,11.9400,173740631,2035379906.0500
45,2024-01-05,sh.600487,11.9000,11.9300,11.3100,11.3800,100560449,1168720455.4900
46,2024-01-12,sh.600487,11.3700,11.3800,10.8300,11.0800,105847315,1175978957.0700
47,2024-01-19,sh.600487,11.0300,11.3400,10.7100,11.0900,114927777,1269274975.1400
48,2024-01-26,sh.600487,11.0800,11.4300,10.5200,11.2800,133812845,1477618283.4600
49,2024-02-02,sh.600487,11.3000,11.4000,10.5300,10.9500,135886700,1504608118.3800
50,2024-02-08,sh.600487,10.8400,11.7400,10.1100,11.7200,173783617,1939640741.1500
51,2024-02-23,sh.600487,11.9000,12.0400,11.6200,11.9300,194997789,2308343130.1800
52,2024-03-01,sh.600487,11.9000,12.5400,11.8200,12.5200,314939456,3849191255.5600
53,2024-03-08,sh.600487,12.5700,13.0900,12.3100,13.0300,387023630,4910614878.3900
54,2024-03-15,sh.600487,13.0000,13.5800,12.8500,13.0900,344299536,4532339159.7100
55,2024-03-22,sh.600487,13.1500,13.2400,12.8200,13.1600,250130655,3262411797.3300
56,2024-03-29,sh.600487,13.1400,13.3600,11.9900,12.3500,246140322,3083200512.1700
57,2024-04-03,sh.600487,12.5500,12.9600,12.3200,12.3600,104846532,1324563985.4500
