,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.600547,18.9700,19.3600,18.6800,18.7600,102291417,1949092726.9200
1,2023-02-24,sh.600547,18.8900,19.2500,18.7400,18.9500,78014862,1485992727.6200
2,2023-03-03,sh.600547,18.8600,19.3200,18.7500,19.2300,69694177,1330521269.6700
3,2023-03-10,sh.600547,19.3000,20.0900,18.8700,19.4500,141354508,2752683536.0700
4,2023-03-17,sh.600547,20.1800,21.3100,19.7800,20.8600,261358470,5388476178.3200
5,2023-03-24,sh.600547,21.4900,22.2600,20.9700,21.8100,259274728,5596311902.4800
6,2023-03-31,sh.600547,21.8100,22.2800,21.1000,22.0400,141833412,3073158013.4700
7,2023-04-07,sh.600547,21.7200,25.0700,21.5400,24.9700,203973636,4839188832.5100
8,2023-04-14,sh.600547,24.9600,27.6000,24.3100,27.2900,280868888,7325289350.3400
9,2023-04-21,sh.600547,26.1200,27.4500,25.4500,25.6500,228308714,6015572509.0400
10,2023-04-28,sh.600547,25.5000,26.4100,24.7800,25.7000,176914466,4514082137.7500
11,2023-05-05,sh.600547,27.2000,27.3900,26.0500,26.3800,77529877,2076790473.3800
12,2023-05-12,sh.600547,25.9000,26.5500,23.9100,23.9900,156372958,3940762625.5000
13,2023-05-19,sh.600547,24.0700,25.3800,23.5300,24.5800,139944174,3399914985.7100
14,2023-05-26,sh.600547,24.5900,25.3400,23.7100,24.8600,105385864,2580281316.3900
15,2023-06-02,sh.600547,24.7200,26.7800,24.5400,26.1400,132498392,3388342757.1800
16,2023-06-09,sh.600547,25.5200,26.0800,24.2500,25.4000,114818415,2881706361.2700
17,2023-06-16,sh.600547,25.2600,25.2600,23.0100,23.9200,177138399,4261884811.9700
18,2023-06-21,sh.600547,23.8600,24.0400,23.3000,23.3500,57358365,1356715227.2900
19,2023-06-30,sh.600547,23.3500,24.0500,23.1700,23.4800,86792586,2052707577.8300
20,2023-07-07,sh.600547,23.5800,24.2200,23.0800,23.4700,79464112,1887261435.8400
21,2023-07-14,sh.600547,23.7600,26.1900,23.7000,25.3000,150614869,3787176204.6500
22,2023-07-21,sh.600547,25.0900,26.1500,24.8300,25.3500,95675367,2456808431.5800
23,2023-07-28,sh.600547,25.0500,25.9900,24.8500,24.8800,104062960,2637357330.1800
24,2023-08-04,sh.600547,24.9500,25.0500,24.1100,24.4100,112324838,2750024428.0800
25,2023-08-11,sh.600547,24.3800,25.6800,24.2700,24.4000,96000835,2393428983.9800
26,2023-08-18,sh.600547,24.3500,25.2900,23.4900,23.8300,85422103,2069966879.5100
27,2023-08-25,sh.600547,23.8800,26.0800,23.6900,25.7500,121262420,3053565909.1000
28,2023-09-01,sh.600547,26.4300,27.1500,25.1200,26.2500,128712209,3359719085.1600
29,2023-09-08,sh.600547,26.1900,26.4800,25.3100,26.0000,76271101,1972186058.9000
30,2023-09-15,sh.600547,25.9000,26.7700,25.7200,26.1600,106514790,2800687704.9300
31,2023-09-22,sh.600547,26.2000,26.6500,25.1500,25.5100,71195741,1841163114.5100
32,2023-09-28,sh.600547,25.5100,25.9600,24.6600,25.1100,61431720,1564361577.4400
33,2023-10-13,sh.600547,25.0000,25.9400,24.0900,25.3100,92919465,2344809855.7800
34,2023-10-20,sh.600547,25.9500,26.0100,24.7800,25.0600,108284931,2741131097.5100
35,2023-10-27,sh.600547,24.6600,25.2500,24.0000,24.7000,84601417,2098366166.5700
36,2023-11-03,sh.600547,24.8400,24.9300,23.3200,23.4700,106793939,2551552881.9100
37,2023-11-10,sh.600547,23.5300,23.6200,22.3800,22.6800,107377377,2462837241.1100
38,2023-11-17,sh.600547,22.6000,22.9000,22.1500,22.7600,105736572,2389337863.9400
39,2023-11-24,sh.600547,22.6000,22.9800,22.3100,22.4200,84210089,1903649015.5400
40,2023-12-01,sh.600547,22.5300,23.2500,22.3200,23.1600,124372316,2848116683.0900
41,2023-12-08,sh.600547,23.8000,24.5500,22.7700,22.7800,115139049,2726926105.6800
42,2023-12-15,sh.600547,22.4300,22.8600,21.7200,22.0000,98161525,2179408528.8000
43,2023-12-22,sh.600547,21.8000,22.4300,21.6100,22.1000,73825801,1623664555.9400
44,2023-12-29,sh.600547,22.0600,23.3500,22.0000,22.8700,98423198,2252420889.8300
45,2024-01-05,sh.600547,22.8800,23.2000,22.4100,22.8500,53370384,1221005905.6800
46,2024-01-12,sh.600547,22.7900,22.8500,21.8700,22.2900,65423950,1459638934.3500
47,2024-01-19,sh.600547,22.2700,22.4500,19.8000,20.9100,88718144,1862919110.1300
48,2024-01-26,sh.600547,20.8900,20.8900,19.6300,20.6400,74265944,1507269233.1200
49,2024-02-02,sh.600547,20.7000,21.2600,20.2500,20.8800,90614915,1880524542.0300
50,2024-02-08,sh.600547,20.6000,21.8200,20.3000,21.8000,93119804,1963603627.3100
51,2024-02-23,sh.600547,21.5100,22.2600,21.0100,22.0300,114675582,2472517440.2700
52,2024-03-01,sh.600547,22.0600,22.7400,21.4500,22.6500,108271307,2375351739.3900
53,2024-03-08,sh.600547,23.3300,25.8700,23.1000,25.3500,186462430,4574905387.2900
54,2024-03-15,sh.600547,25.7000,25.8000,24.0400,25.0600,134586195,3344684394.8000
55,2024-03-22,sh.600547,24.9300,26.4800,24.6800,25.4100,104094997,2644648112.9600
56,2024-03-29,sh.600547,25.4500,28.3000,25.3200,28.2300,139793843,3729137506.3600
57,2024-04-03,sh.600547,28.8000,30.1000,28.7000,29.7400,141485999,4154019917.8500
