,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.600558,3.4500,3.5000,3.3600,3.4100,49887636,172069983.4600
1,2023-02-24,sh.600558,3.4100,3.4700,3.3800,3.4300,28845718,98911495.7900
2,2023-03-03,sh.600558,3.4400,3.4800,3.4000,3.4800,36877816,127255419.8400
3,2023-03-10,sh.600558,3.4900,3.5200,3.3900,3.4000,36342934,125214176.8600
4,2023-03-17,sh.600558,3.3900,3.4800,3.2800,3.3900,48818296,165517138.5900
5,2023-03-24,sh.600558,3.4000,3.5200,3.3700,3.5100,46994114,163064112.5200
6,2023-03-31,sh.600558,3.5000,3.5100,3.3300,3.3900,35843151,122234831.4100
7,2023-04-07,sh.600558,3.3900,3.6300,3.3000,3.4900,53162154,183097816.9000
8,2023-04-14,sh.600558,3.5600,3.5700,3.4100,3.5000,58934066,205619110.1800
9,2023-04-21,sh.600558,3.5000,3.5700,3.4300,3.4500,47693066,167441113.0000
10,2023-04-28,sh.600558,3.4400,3.6300,3.3600,3.6300,51253685,178983617.5300
11,2023-05-05,sh.600558,3.6200,3.7000,3.6000,3.6900,25903520,94804555.1000
12,2023-05-12,sh.600558,3.6800,3.8100,3.6400,3.7300,64196625,238545537.1500
13,2023-05-19,sh.600558,3.7100,3.7600,3.6400,3.7100,40533009,149848052.5100
14,2023-05-26,sh.600558,3.7000,3.7700,3.6600,3.7400,40941018,152114731.1000
15,2023-06-02,sh.600558,3.7400,3.7700,3.6300,3.6300,40176792,148439617.5900
16,2023-06-09,sh.600558,3.6300,3.9800,3.5700,3.8800,136400099,514426511.5600
17,2023-06-16,sh.600558,3.8600,3.9300,3.7600,3.8400,98299549,377463734.9400
18,2023-06-21,sh.600558,3.8300,3.8900,3.7800,3.8300,37429051,143757539.9600
19,2023-06-30,sh.600558,3.8200,4.0400,3.8100,3.9700,98442197,387891861.0100
20,2023-07-07,sh.600558,3.9600,4.0800,3.9200,3.9900,64761733,258589499.7800
21,2023-07-14,sh.600558,3.9900,4.0300,3.8800,3.9700,60974076,241356662.2100
22,2023-07-21,sh.600558,3.9800,4.0000,3.8400,3.8500,40567548,160105094.2800
23,2023-07-28,sh.600558,3.8500,4.0400,3.8200,4.0000,49834669,195060461.9100
24,2023-08-04,sh.600558,3.9600,4.3300,3.9500,4.0100,117835801,483109894.6300
25,2023-08-11,sh.600558,4.0100,4.0100,3.6900,3.7100,72628814,279185685.9300
26,2023-08-18,sh.600558,3.7100,4.0100,3.6300,3.8800,74767523,284734378.8400
27,2023-08-25,sh.600558,3.9100,3.9100,3.6700,3.7200,50026770,189167852.2800
28,2023-09-01,sh.600558,3.9000,4.0200,3.8200,3.9800,71780224,282652105.3100
29,2023-09-08,sh.600558,3.9800,4.0300,3.9000,3.9300,41066400,163334193.5000
30,2023-09-15,sh.600558,3.9300,3.9600,3.8200,3.8400,36470132,141972862.5800
31,2023-09-22,sh.600558,3.8400,3.9600,3.8000,3.8800,37323081,144564244.0100
32,2023-09-28,sh.600558,3.8800,3.9300,3.8300,3.9100,27291510,105819193.0000
33,2023-10-13,sh.600558,3.9100,3.9400,3.6600,3.6800,46348801,175524009.8500
34,2023-10-20,sh.600558,3.6900,3.7000,3.5600,3.5800,48821806,176995139.4300
35,2023-10-27,sh.600558,3.5800,3.8200,3.4600,3.8000,48601100,177375539.0000
36,2023-11-03,sh.600558,3.7600,3.8700,3.7000,3.8700,46580019,175772714.2900
37,2023-11-10,sh.600558,3.8400,4.0100,3.8200,3.9600,74816773,292744558.7200
38,2023-11-17,sh.600558,3.9600,4.1000,3.9400,4.0600,64065020,258532634.5800
39,2023-11-24,sh.600558,4.0500,4.1900,4.0100,4.1500,66334160,272957146.4400
40,2023-12-01,sh.600558,4.1400,4.2500,4.1100,4.1800,49442391,206204405.8100
41,2023-12-08,sh.600558,4.2000,4.2400,4.0500,4.0600,61190746,254335235.7900
42,2023-12-15,sh.600558,4.0500,4.1900,4.0200,4.1600,57961205,238735228.9900
43,2023-12-22,sh.600558,4.1400,4.1800,4.0000,4.0600,50531855,206658321.8900
44,2023-12-29,sh.600558,4.0500,4.1200,3.9500,4.0700,46944107,189167417.3100
45,2024-01-05,sh.600558,4.0700,4.4300,4.0600,4.2000,119539695,504632791.8100
46,2024-01-12,sh.600558,4.1900,4.4200,4.0800,4.2600,125314926,528932652.2900
47,2024-01-19,sh.600558,4.2200,4.3500,3.8000,3.9100,96815948,394501630.6400
48,2024-01-26,sh.600558,3.9100,3.9800,3.5600,3.9300,79859743,302728929.1900
49,2024-02-02,sh.600558,3.9300,4.0600,3.3600,3.4900,99416236,362700289.2800
50,2024-02-08,sh.600558,3.4900,3.4900,2.9000,3.3100,94431659,295428067.8200
51,2024-02-23,sh.600558,3.3900,3.7300,3.3300,3.7100,62000508,221568173.6200
52,2024-03-01,sh.600558,3.7100,3.8700,3.5200,3.6800,66071239,246012799.3800
53,2024-03-08,sh.600558,3.6900,3.8300,3.6100,3.7600,70362843,263432240.1300
54,2024-03-15,sh.600558,3.7900,3.8000,3.6500,3.7600,60417258,225051628.0300
55,2024-03-22,sh.600558,3.7600,4.0600,3.7200,3.8600,98249366,378578327.2400
56,2024-03-29,sh.600558,3.8700,4.2400,3.8500,4.1100,170798787,695877363.6400
57,2024-04-03,sh.600558,4.0600,4.5200,4.0600,4.4400,103490142,445246910.2200
