,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.600597,10.8000,11.0900,10.7100,10.8400,67619628,741089484.4100
1,2023-02-24,sh.600597,10.9100,11.3000,10.7800,11.0200,63910823,704841598.5200
2,2023-03-03,sh.600597,10.9800,11.1700,10.8900,11.0000,44030718,484381063.0800
3,2023-03-10,sh.600597,10.9900,11.0300,10.5300,10.5400,41746222,450001628.0800
4,2023-03-17,sh.600597,10.5100,10.6000,10.3500,10.4400,37147574,389460265.1100
5,2023-03-24,sh.600597,10.4300,10.6800,10.1900,10.5900,44816137,468581207.3300
6,2023-03-31,sh.600597,10.6000,10.7100,10.4600,10.6900,28098415,298234030.5800
7,2023-04-07,sh.600597,10.6800,10.7400,10.4900,10.5400,23532805,249676277.7300
8,2023-04-14,sh.600597,10.5400,10.6400,10.3500,10.4000,37754551,396456358.4700
9,2023-04-21,sh.600597,10.4000,10.6600,10.3500,10.3900,53272221,558901834.1600
10,2023-04-28,sh.600597,10.4600,10.8500,10.0100,10.8000,60080833,627638783.4500
11,2023-05-05,sh.600597,10.8100,10.9900,10.7700,10.9600,34561807,376462971.1000
12,2023-05-12,sh.600597,10.9500,11.3100,10.8500,11.1000,71380902,789524404.8500
13,2023-05-19,sh.600597,11.0800,11.4700,10.9800,11.2600,75694845,852129872.9900
14,2023-05-26,sh.600597,11.2600,11.4000,10.9900,11.2800,45047014,504780624.4800
15,2023-06-02,sh.600597,11.3100,11.4800,11.0000,11.3700,43489597,486423392.6800
16,2023-06-09,sh.600597,11.3700,11.3900,10.8300,10.9000,38955159,431734679.4700
17,2023-06-16,sh.600597,10.8600,11.0300,10.7300,10.9100,49514997,538913007.5200
18,2023-06-21,sh.600597,10.9100,10.9200,10.4600,10.4600,29450663,312582711.4600
19,2023-06-30,sh.600597,10.4500,10.5900,10.2300,10.4000,52485751,545607705.8600
20,2023-07-07,sh.600597,10.3900,10.5600,10.3700,10.4600,32074480,336153944.2500
21,2023-07-14,sh.600597,10.4700,10.6200,10.4000,10.5100,32976754,347275840.7500
22,2023-07-21,sh.600597,10.4800,10.7200,10.3800,10.6600,31326784,329791086.0600
23,2023-07-28,sh.600597,10.6500,10.9500,10.5200,10.9300,43597742,468800001.3900
24,2023-08-04,sh.600597,10.9900,11.2500,10.9300,11.0700,50768698,560680719.0800
25,2023-08-11,sh.600597,11.0800,11.1200,10.8100,10.8200,30786003,338004573.8800
26,2023-08-18,sh.600597,10.7700,10.8500,10.5500,10.6000,28819162,308739479.9000
27,2023-08-25,sh.600597,10.5600,10.6500,10.2800,10.3100,33671283,350123295.4500
28,2023-09-01,sh.600597,10.7000,10.7600,10.3100,10.5600,50959007,533833476.1000
29,2023-09-08,sh.600597,10.5200,10.6700,10.3100,10.3700,30799292,324567173.0000
30,2023-09-15,sh.600597,10.3800,10.5300,10.3100,10.4400,26091450,272487094.3700
31,2023-09-22,sh.600597,10.4100,10.5400,10.2700,10.4300,28340723,296074130.0300
32,2023-09-28,sh.600597,10.4200,10.4300,10.2300,10.3000,20695354,213502172.7800
33,2023-10-13,sh.600597,10.2900,10.3200,10.0800,10.1200,27475815,279699151.1600
34,2023-10-20,sh.600597,10.1100,10.1300,9.7000,9.7600,25732303,255448729.1700
35,2023-10-27,sh.600597,9.7200,10.1300,9.5600,10.1000,30886319,304781044.4200
36,2023-11-03,sh.600597,9.8500,9.8500,9.3800,9.4100,84836272,807428928.6700
37,2023-11-10,sh.600597,9.4500,9.5100,9.2300,9.2900,50246263,472556428.1100
38,2023-11-17,sh.600597,9.2800,9.4100,9.2200,9.2600,37369377,347995891.3600
39,2023-11-24,sh.600597,9.2900,9.4400,9.2500,9.4200,38936331,364616914.4200
40,2023-12-01,sh.600597,9.4200,9.4200,9.2600,9.3100,32265903,300620290.9400
41,2023-12-08,sh.600597,9.2900,9.4100,8.9900,9.0100,54822534,502479333.4500
42,2023-12-15,sh.600597,9.0400,9.0700,8.8500,8.8800,31922231,286080883.5500
43,2023-12-22,sh.600597,8.8600,8.8700,8.5600,8.6300,24094490,209491399.3400
44,2023-12-29,sh.600597,8.6100,8.7700,8.4200,8.7300,25174668,216873524.8700
45,2024-01-05,sh.600597,8.7300,8.7800,8.5400,8.5800,16496839,143435209.3900
46,2024-01-12,sh.600597,8.5400,8.6200,8.3400,8.5600,21761478,184754404.7700
47,2024-01-19,sh.600597,8.5400,8.6300,8.1300,8.3100,24536375,206944340.1600
48,2024-01-26,sh.600597,8.3000,8.7300,7.8100,8.6600,47047468,392703810.3100
49,2024-02-02,sh.600597,8.6300,9.0400,8.3000,8.5600,84606023,733080037.8200
50,2024-02-08,sh.600597,8.4100,9.4500,8.0100,9.2100,86973968,776109451.9600
51,2024-02-23,sh.600597,9.2100,9.2800,9.0100,9.0900,60796282,553613873.1300
52,2024-03-01,sh.600597,9.0700,9.2600,9.0200,9.1600,52222783,477079329.0500
53,2024-03-08,sh.600597,9.1200,9.2300,9.0100,9.0700,40080354,365833814.6200
54,2024-03-15,sh.600597,9.0900,9.3600,9.0700,9.2900,39971112,369410118.3900
55,2024-03-22,sh.600597,9.2900,9.5500,9.1600,9.2100,40164167,373456006.5000
56,2024-03-29,sh.600597,9.1600,9.2300,8.9600,9.1600,30741292,279826136.6900
57,2024-04-03,sh.600597,9.1600,9.4500,9.1600,9.4200,23513056,219783674.2100
