,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.600618,10.5000,10.7300,10.2600,10.3600,20805241,218968176.8900
1,2023-02-24,sh.600618,10.3800,10.7500,10.2900,10.5600,17607952,186486190.3200
2,2023-03-03,sh.600618,10.5600,10.7400,10.4800,10.6000,17061509,180711150.9400
3,2023-03-10,sh.600618,10.5900,10.6800,10.2400,10.2700,16403766,171283372.0900
4,2023-03-17,sh.600618,10.2200,10.3300,10.0300,10.1800,12661703,128940864.2300
5,2023-03-24,sh.600618,10.2300,10.2300,10.0500,10.1000,11994957,121549824.2800
6,2023-03-31,sh.600618,10.1100,10.1400,9.8700,9.9900,11623410,116173674.6900
7,2023-04-07,sh.600618,10.0000,10.1200,9.9200,10.0200,10713281,107389831.2000
8,2023-04-14,sh.600618,9.9900,10.0400,9.8300,9.9200,12736511,125987095.7000
9,2023-04-21,sh.600618,9.9100,10.0500,9.4800,9.5100,16130131,158456319.9300
10,2023-04-28,sh.600618,9.5000,9.6100,9.2300,9.5500,11125000,105279218.7900
11,2023-05-05,sh.600618,9.4800,9.4900,9.2700,9.4700,6384043,59978351.2000
12,2023-05-12,sh.600618,9.4600,9.6100,9.4200,9.4400,10938102,103890175.0400
13,2023-05-19,sh.600618,9.4300,9.5200,9.1200,9.1600,12069293,112480328.5600
14,2023-05-26,sh.600618,9.1600,9.2900,8.8100,8.9200,10728838,97220752.1900
15,2023-06-02,sh.600618,8.9200,9.0200,8.6600,9.0100,11130205,98160423.7200
16,2023-06-09,sh.600618,8.9800,9.2000,8.7900,9.0500,10223055,91894915.3000
17,2023-06-16,sh.600618,9.0100,9.1100,8.8800,9.0000,10064684,90437103.5100
18,2023-06-21,sh.600618,9.0100,9.0100,8.6800,8.7000,6230529,54990349.6200
19,2023-06-30,sh.600618,8.6800,8.9800,8.5500,8.9700,9555055,83852146.1100
20,2023-07-07,sh.600618,9.0100,9.1400,8.9700,9.0800,9404005,85161522.3000
21,2023-07-14,sh.600618,9.1100,9.3700,8.7400,8.7900,16360909,147912879.3400
22,2023-07-21,sh.600618,8.7900,9.0600,8.7300,8.9400,11353111,101035895.4000
23,2023-07-28,sh.600618,8.8900,9.3200,8.8700,9.2100,16962135,155221394.5200
24,2023-08-04,sh.600618,9.2500,9.3100,9.1400,9.2300,10830244,100041169.6800
25,2023-08-11,sh.600618,9.1800,9.2100,8.9100,8.9100,11032133,100174807.6800
26,2023-08-18,sh.600618,8.8800,8.9900,8.7800,8.8300,8030911,71318982.3600
27,2023-08-25,sh.600618,8.8600,9.1200,8.5100,8.6200,19478783,170489705.2100
28,2023-09-01,sh.600618,8.9200,9.0400,8.4600,8.8000,22392834,196193121.4400
29,2023-09-08,sh.600618,8.7700,9.0700,8.6800,8.7500,15185750,135059793.9800
30,2023-09-15,sh.600618,8.7700,9.0700,8.7300,9.0300,10905711,97373094.5600
31,2023-09-22,sh.600618,9.0300,9.8800,8.9700,9.0600,62744323,591431222.9600
32,2023-09-28,sh.600618,9.0200,9.0600,8.6000,8.9200,22361545,198056401.2900
33,2023-10-13,sh.600618,8.9800,8.9800,8.7500,8.8000,15971369,141233919.3300
34,2023-10-20,sh.600618,8.8100,8.8700,8.3500,8.3900,13601220,117101366.4600
35,2023-10-27,sh.600618,8.3900,8.6900,8.1100,8.6600,12580250,106097744.3100
36,2023-11-03,sh.600618,8.6400,9.0300,8.6200,8.8800,19143957,170670132.2700
37,2023-11-10,sh.600618,8.9400,9.2800,8.8800,9.0100,22535770,202907806.7000
38,2023-11-17,sh.600618,9.0000,9.0600,8.8100,9.0400,22351522,199729272.0900
39,2023-11-24,sh.600618,9.0400,9.2500,8.9700,9.1900,16027822,146373234.7400
40,2023-12-01,sh.600618,9.1900,9.2400,9.0300,9.1100,14407602,131517117.2800
41,2023-12-08,sh.600618,9.1500,9.1900,8.9600,8.9600,14904682,135379662.8500
42,2023-12-15,sh.600618,8.9900,9.2800,8.8900,9.1500,15346595,140398850.2500
43,2023-12-22,sh.600618,9.1600,9.3600,8.8100,9.1200,20517797,186118891.1800
44,2023-12-29,sh.600618,8.9300,9.1400,8.5000,9.1000,33046205,291241452.7300
45,2024-01-05,sh.600618,9.0600,9.3400,9.0600,9.1500,14599835,134495280.9000
46,2024-01-12,sh.600618,9.1400,9.1800,8.8800,9.0900,12653862,114288544.8600
47,2024-01-19,sh.600618,9.1500,9.1900,8.3600,8.5600,16157280,142500924.1600
48,2024-01-26,sh.600618,8.5500,8.8900,7.6700,8.8100,26124260,216260358.7000
49,2024-02-02,sh.600618,8.7900,8.8100,7.1500,7.3600,23510297,189110462.6400
50,2024-02-08,sh.600618,7.3300,8.1200,6.5200,7.9700,34506181,249937290.6200
51,2024-02-23,sh.600618,8.1200,8.4500,7.9400,8.1800,25780679,210629696.3800
52,2024-03-01,sh.600618,8.2200,8.4200,7.9300,8.2200,23468713,192016718.2200
53,2024-03-08,sh.600618,8.2200,8.2700,8.0100,8.0900,16454223,133841929.7500
54,2024-03-15,sh.600618,8.0500,8.3100,8.0500,8.3000,15154638,123950685.8800
55,2024-03-22,sh.600618,8.3000,8.4400,8.2000,8.2700,15222161,126773569.1600
56,2024-03-29,sh.600618,8.2400,8.3300,7.9900,8.2000,14769262,120423747.5500
57,2024-04-03,sh.600618,8.2000,8.8600,8.1900,8.8200,15006618,129190455.7000
