,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.600633,9.5200,9.8200,8.9300,8.9700,190385454,1799123218.0500
1,2023-02-24,sh.600633,9.0100,9.9400,8.9600,9.5400,204433789,1948375836.4200
2,2023-03-03,sh.600633,9.4300,10.3400,9.2200,10.1100,241264212,2398149223.1500
3,2023-03-10,sh.600633,10.0900,10.4000,9.8200,9.9200,195501552,1976133736.5000
4,2023-03-17,sh.600633,9.8900,11.1000,9.7300,10.8100,248215285,2639040070.3000
5,2023-03-24,sh.600633,10.8400,12.0500,10.5800,11.4300,277662361,3133352711.3600
6,2023-03-31,sh.600633,11.2700,13.0700,10.8600,12.5200,318862189,3844349544.5900
7,2023-04-07,sh.600633,12.2000,14.4500,12.1900,14.2400,238372375,3174919161.6200
8,2023-04-14,sh.600633,14.0600,16.2200,13.7900,14.4400,422508458,6358049969.9500
9,2023-04-21,sh.600633,14.2000,15.0800,13.6000,14.1000,280035003,3991351287.8100
10,2023-04-28,sh.600633,14.1000,15.7900,12.5800,13.8500,369208461,5340463817.2800
11,2023-05-05,sh.600633,13.7200,14.9400,13.2800,13.7000,132316771,1850318902.9700
12,2023-05-12,sh.600633,13.6900,15.4300,13.3500,13.3800,299978876,4328241006.0500
13,2023-05-19,sh.600633,13.0100,13.2100,11.6800,12.5000,236713308,2908572227.1800
14,2023-05-26,sh.600633,12.4900,12.5200,11.4400,12.2300,134719676,1613009405.3000
15,2023-06-02,sh.600633,12.1800,13.9500,11.9100,13.3900,210243836,2723123485.3200
16,2023-06-09,sh.600633,13.3100,14.2200,12.9000,14.2200,226202291,3084568859.4900
17,2023-06-16,sh.600633,14.8300,17.2200,14.8300,17.2200,423944328,6784648992.6000
18,2023-06-21,sh.600633,18.0000,18.2600,15.5600,15.5800,254853563,4280367726.1500
19,2023-06-30,sh.600633,15.4800,16.7900,15.0000,16.2100,271395418,4332684371.2400
20,2023-07-07,sh.600633,16.3300,17.3800,14.5900,15.9200,251273755,3978935544.3100
21,2023-07-14,sh.600633,15.8500,17.2000,15.1000,16.6400,232834875,3757645222.3100
22,2023-07-21,sh.600633,16.8900,17.7000,15.1300,15.2100,230333972,3803339312.7200
23,2023-07-28,sh.600633,15.2200,15.8700,13.7100,13.8600,190010777,2784508159.5400
24,2023-08-04,sh.600633,13.8000,14.8100,13.5000,14.7100,146509598,2095997183.6700
25,2023-08-11,sh.600633,14.7100,15.2600,13.8600,13.8800,133638153,1947125813.3800
26,2023-08-18,sh.600633,13.7800,16.0500,13.6900,14.6700,307717972,4714378616.8800
27,2023-08-25,sh.600633,14.6100,18.5900,14.4000,15.8400,501103178,8313699464.6800
28,2023-09-01,sh.600633,16.8000,18.3500,15.3500,17.6800,484764067,8061993910.9900
29,2023-09-08,sh.600633,17.2600,17.7000,14.8900,15.3000,357784085,5876937079.2500
30,2023-09-15,sh.600633,15.1900,15.6500,14.7900,15.1200,185641440,2803189484.8900
31,2023-09-22,sh.600633,15.0500,15.6300,12.8800,13.7300,262371478,3696722723.2400
32,2023-09-28,sh.600633,13.6800,13.9100,13.4200,13.5600,125600382,1717372864.9500
33,2023-10-13,sh.600633,13.5300,13.7500,12.5900,12.6600,133430857,1769073877.4100
34,2023-10-20,sh.600633,12.6600,12.8100,11.6500,11.7200,108368089,1323215986.9600
35,2023-10-27,sh.600633,11.6700,12.4300,11.3400,11.7200,153734376,1813472463.5700
36,2023-11-03,sh.600633,11.6700,12.1100,11.5000,11.7500,214825475,2532134259.7100
37,2023-11-10,sh.600633,11.8600,12.9600,11.8500,12.2200,217701437,2708450590.0300
38,2023-11-17,sh.600633,12.4300,13.1500,12.3200,12.7200,191191993,2431285469.4100
39,2023-11-24,sh.600633,13.1800,14.8500,12.8900,12.9800,399222337,5526701269.0800
40,2023-12-01,sh.600633,13.1700,13.8500,12.3900,13.1400,218465757,2851215339.4900
41,2023-12-08,sh.600633,13.2100,13.6300,12.3600,13.1600,237405279,3123633437.4600
42,2023-12-15,sh.600633,13.1500,13.8400,12.8300,13.1500,176935942,2374887593.1800
43,2023-12-22,sh.600633,13.2100,13.4300,11.1200,11.1200,160030044,1979648235.9400
44,2023-12-29,sh.600633,10.8300,11.1900,10.3600,11.0600,169955588,1819525522.2900
45,2024-01-05,sh.600633,11.1600,11.2900,10.8100,10.9700,97633868,1080043129.6000
46,2024-01-12,sh.600633,10.8800,11.1200,10.3700,10.5300,108644037,1166584840.4800
47,2024-01-19,sh.600633,10.4500,10.6400,9.6300,10.1400,96831017,982594527.3500
48,2024-01-26,sh.600633,10.1400,10.7500,9.2700,10.4100,141517509,1415980997.5500
49,2024-02-02,sh.600633,10.3900,10.4800,8.8800,9.2500,133230724,1285648265.1500
50,2024-02-08,sh.600633,9.3300,9.7600,8.2500,9.6800,129989623,1175312231.1400
51,2024-02-23,sh.600633,9.9800,11.1000,9.9000,10.9300,243111995,2561663267.8300
52,2024-03-01,sh.600633,10.8200,11.7000,10.5500,11.3200,250097373,2786384551.3400
53,2024-03-08,sh.600633,11.3300,11.6300,10.7000,10.9400,167365662,1864408498.4900
54,2024-03-15,sh.600633,10.8500,11.4300,10.7000,10.8900,167152711,1846024343.1300
55,2024-03-22,sh.600633,10.9200,12.4800,10.8800,12.2000,373042103,4467529276.7700
56,2024-03-29,sh.600633,12.1900,12.3200,10.7000,10.9600,205081046,2354530961.2100
57,2024-04-03,sh.600633,10.9600,12.1000,10.9100,11.2000,132721514,1512939569.9900
