,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.600642,5.6000,5.6500,5.4800,5.5100,57156745,318435378.2800
1,2023-02-24,sh.600642,5.5000,5.5900,5.4700,5.4900,48318486,267294582.9200
2,2023-03-03,sh.600642,5.5000,5.8800,5.4400,5.8200,127749875,725255346.8000
3,2023-03-10,sh.600642,5.8300,6.1800,5.7800,5.9900,156445131,941670151.4100
4,2023-03-17,sh.600642,5.9900,6.3100,5.9100,6.2500,126682119,776938868.8700
5,2023-03-24,sh.600642,6.2500,6.2700,5.8500,5.9000,112441064,674030091.5800
6,2023-03-31,sh.600642,5.9100,6.0200,5.8300,5.8600,61268855,361339561.6600
7,2023-04-07,sh.600642,5.8600,5.9500,5.8100,5.9300,42470630,248835297.7200
8,2023-04-14,sh.600642,5.9400,6.4500,5.8800,6.4100,108050854,668547412.8000
9,2023-04-21,sh.600642,6.4700,6.5400,6.2700,6.3200,92882070,594482100.9800
10,2023-04-28,sh.600642,6.3200,6.7100,6.2700,6.6700,110651464,724084861.1000
11,2023-05-05,sh.600642,6.7000,7.0900,6.6900,7.0700,67039171,465391274.0000
12,2023-05-12,sh.600642,7.0300,7.3800,6.9000,7.2600,159013311,1132444522.8600
13,2023-05-19,sh.600642,7.3500,7.3900,6.8600,6.9000,165111241,1166556641.8500
14,2023-05-26,sh.600642,6.9500,7.1400,6.7900,7.1200,118459278,827185188.7000
15,2023-06-02,sh.600642,7.1100,7.3300,6.6200,6.7600,188875179,1322605046.9400
16,2023-06-09,sh.600642,6.7500,6.8800,6.5700,6.7700,84315004,565706140.3800
17,2023-06-16,sh.600642,6.7700,6.8600,6.4800,6.5100,79594724,527863518.1700
18,2023-06-21,sh.600642,6.5100,6.6300,6.3800,6.4800,47773613,313359886.2900
19,2023-06-30,sh.600642,6.4500,7.0900,6.4400,6.9900,139481015,956300348.2900
20,2023-07-07,sh.600642,7.0100,7.1000,6.8300,7.0200,107260236,750368832.9300
21,2023-07-14,sh.600642,7.4100,7.6200,6.7800,6.9300,213934553,1496923319.3700
22,2023-07-21,sh.600642,6.9400,7.0500,6.8300,6.9100,65770399,456304791.0200
23,2023-07-28,sh.600642,6.8900,7.1300,6.6300,6.8300,136466762,931554184.5500
24,2023-08-04,sh.600642,6.8500,7.0300,6.7200,6.8500,118950593,818992565.8600
25,2023-08-11,sh.600642,6.8400,6.8600,6.6100,6.6400,70718720,475896295.1500
26,2023-08-18,sh.600642,6.6500,6.9300,6.5400,6.8300,96393621,654063761.8300
27,2023-08-25,sh.600642,6.7900,6.8600,6.5200,6.6200,71024787,472916842.1500
28,2023-09-01,sh.600642,6.8700,6.9300,6.4200,6.4600,138350806,913787017.1700
29,2023-09-08,sh.600642,6.4600,6.6200,6.4000,6.5500,87818842,571626366.5800
30,2023-09-15,sh.600642,6.5400,6.7500,6.4200,6.4200,120226478,790884377.6800
31,2023-09-22,sh.600642,6.4400,6.5500,6.3100,6.4000,105190834,676323338.9300
32,2023-09-28,sh.600642,6.4000,6.4600,6.3200,6.3500,64237590,410574698.0200
33,2023-10-13,sh.600642,6.3600,6.3800,6.1400,6.2000,70237210,438211055.7300
34,2023-10-20,sh.600642,6.1800,6.2600,6.0000,6.0400,59530502,364798549.6700
35,2023-10-27,sh.600642,6.0100,6.1700,5.8500,6.1400,80290145,481370102.1500
36,2023-11-03,sh.600642,6.1100,6.1400,5.8000,5.8700,113913218,674858687.5400
37,2023-11-10,sh.600642,5.8900,5.9400,5.7100,5.8400,100610772,585070133.9000
38,2023-11-17,sh.600642,5.8800,5.9400,5.7600,5.8500,77934351,456124536.4300
39,2023-11-24,sh.600642,5.8500,5.9400,5.8100,5.8600,72548982,426888919.2100
40,2023-12-01,sh.600642,5.8500,6.0200,5.7800,5.9800,83850226,496196553.0500
41,2023-12-08,sh.600642,5.9900,6.0900,5.8700,6.0500,89716889,539138939.7500
42,2023-12-15,sh.600642,6.0600,6.3600,5.9700,6.2600,116235843,723466834.2800
43,2023-12-22,sh.600642,6.2300,6.5000,6.2100,6.4300,124011225,790326334.3200
44,2023-12-29,sh.600642,6.4200,6.6400,6.3400,6.4200,89350902,578879274.3200
45,2024-01-05,sh.600642,6.3800,6.8500,6.3700,6.7600,110513293,739819210.0100
46,2024-01-12,sh.600642,6.7400,6.8400,6.6100,6.7800,120914519,812485085.0400
47,2024-01-19,sh.600642,6.9000,7.1200,6.7500,6.9200,163651338,1138205074.4600
48,2024-01-26,sh.600642,6.9100,7.0800,6.5700,7.0400,112296510,769804534.3000
49,2024-02-02,sh.600642,7.0400,7.3500,7.0400,7.2800,163136884,1183876251.9200
50,2024-02-08,sh.600642,7.2600,7.9000,7.0800,7.4200,213918540,1600446044.1800
51,2024-02-23,sh.600642,7.4500,7.9000,7.2300,7.5100,203380031,1537805628.8300
52,2024-03-01,sh.600642,7.4500,7.5900,7.1500,7.3300,214372460,1573592802.4200
53,2024-03-08,sh.600642,7.2800,7.8800,7.2500,7.8600,168938245,1295664056.5000
54,2024-03-15,sh.600642,7.8800,7.9100,7.2100,7.5000,197587461,1473259923.5800
55,2024-03-22,sh.600642,7.5200,7.8200,7.3700,7.4000,103287659,779641796.8300
56,2024-03-29,sh.600642,7.3900,7.9200,7.3800,7.9100,132217375,1017667128.7400
57,2024-04-03,sh.600642,7.9300,8.1700,7.9200,8.0800,85605246,686678763.7700
