,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.600661,11.1500,11.4100,10.5500,10.6900,45488258,503369093.0600
1,2023-02-24,sh.600661,10.6200,11.0200,10.4600,10.5300,26657652,286883762.8400
2,2023-03-03,sh.600661,10.5300,11.4400,10.2000,11.2700,40220687,432890458.9900
3,2023-03-10,sh.600661,11.0600,11.1800,9.9500,9.9900,39226462,413615667.2800
4,2023-03-17,sh.600661,9.9900,10.0700,9.6300,10.0000,26070434,257870710.1400
5,2023-03-24,sh.600661,9.9700,10.5900,9.7800,10.5400,29580367,304634528.9600
6,2023-03-31,sh.600661,10.5600,10.6400,9.9500,10.4700,22129928,228187500.3500
7,2023-04-07,sh.600661,10.4600,10.5700,9.7500,10.0800,23261029,235629442.4200
8,2023-04-14,sh.600661,10.0000,10.6000,9.8500,10.2900,27924397,284706772.9400
9,2023-04-21,sh.600661,10.2300,10.4200,9.5000,9.5100,26889323,268738318.0400
10,2023-04-28,sh.600661,9.5300,10.2300,9.0600,9.4100,30793944,295085642.0200
11,2023-05-05,sh.600661,9.3800,10.1000,9.2000,9.9600,20537192,199936284.1000
12,2023-05-12,sh.600661,10.1800,11.4800,9.3600,10.7900,95724226,1012553248.5100
13,2023-05-19,sh.600661,10.9200,11.7500,10.2300,10.2500,55415894,603716685.7400
14,2023-05-26,sh.600661,10.0600,10.1700,9.0000,9.5200,36828606,348240459.6400
15,2023-06-02,sh.600661,9.5200,10.4900,9.1200,10.1500,64595592,633105408.0400
16,2023-06-09,sh.600661,10.1000,10.5000,9.9000,10.3300,40719578,418139659.1400
17,2023-06-16,sh.600661,10.2700,11.0800,10.2100,10.3600,42472874,453236446.8100
18,2023-06-21,sh.600661,10.4200,10.4200,9.6400,9.6700,15299049,153394225.8600
19,2023-06-30,sh.600661,9.6000,9.6700,9.1200,9.5300,29482780,275726135.3800
20,2023-07-07,sh.600661,9.5200,9.5800,9.0900,9.2100,18892460,176728674.2700
21,2023-07-14,sh.600661,9.2000,9.4700,9.1500,9.3300,18837961,175197707.0300
22,2023-07-21,sh.600661,9.2400,9.6000,8.9100,9.1700,22469626,206746761.7500
23,2023-07-28,sh.600661,9.1200,9.3100,9.0400,9.2400,14385434,132087657.8500
24,2023-08-04,sh.600661,9.2400,9.5400,9.2000,9.3800,17765584,166867209.1600
25,2023-08-11,sh.600661,9.3100,9.4800,9.0000,9.0200,10622574,98178420.9800
26,2023-08-18,sh.600661,8.9600,9.2600,8.2500,8.6000,22390654,195091643.3500
27,2023-08-25,sh.600661,8.6600,8.8000,8.3600,8.3700,12385222,106577670.2100
28,2023-09-01,sh.600661,8.9000,8.9700,8.5300,8.7200,13133116,115090904.1800
29,2023-09-08,sh.600661,8.7200,9.0400,8.6000,8.7300,9815943,86603413.3300
30,2023-09-15,sh.600661,8.7300,8.8800,8.3900,8.5200,6845509,59346429.3600
31,2023-09-22,sh.600661,8.5300,8.8000,8.2700,8.5600,9357057,79862151.8800
32,2023-09-28,sh.600661,8.5700,8.6000,8.2900,8.5600,6975826,58941346.7500
33,2023-10-13,sh.600661,8.5500,8.9200,8.2600,8.5300,14611990,125108621.8200
34,2023-10-20,sh.600661,8.5400,8.5900,7.9200,7.9500,11776106,97782843.7900
35,2023-10-27,sh.600661,7.9600,8.4900,7.8100,8.2200,14696512,120250699.3300
36,2023-11-03,sh.600661,8.2300,8.8900,8.2200,8.8500,19232234,167671864.1700
37,2023-11-10,sh.600661,8.8500,9.6400,8.7400,8.8200,30627992,277297628.6200
38,2023-11-17,sh.600661,8.8700,9.2500,8.8200,9.1900,17001411,154637536.5700
39,2023-11-24,sh.600661,9.2000,9.4500,9.1400,9.2000,16846016,156764676.8200
40,2023-12-01,sh.600661,9.2100,10.3100,9.1500,10.3100,23253796,227073510.8500
41,2023-12-08,sh.600661,11.3400,15.0900,10.6000,13.5800,184108165,2408197677.8600
42,2023-12-15,sh.600661,12.2200,14.2200,11.3100,11.5000,248107741,3123976886.5300
43,2023-12-22,sh.600661,11.4200,11.8400,10.2200,10.3100,114933710,1253055128.9600
44,2023-12-29,sh.600661,10.3400,10.8000,10.1800,10.7000,68972461,721231629.0000
45,2024-01-05,sh.600661,10.8000,11.3000,10.4100,10.4600,96714030,1044498184.2700
46,2024-01-12,sh.600661,10.4600,10.6800,9.9900,10.0000,59430145,612597610.9100
47,2024-01-19,sh.600661,9.9300,10.1600,9.3500,9.4900,33238000,325885765.0000
48,2024-01-26,sh.600661,9.4500,9.9500,8.5900,9.5000,43038901,394665980.2500
49,2024-02-02,sh.600661,9.5200,9.7000,6.9700,7.3200,49631874,404365816.5800
50,2024-02-08,sh.600661,7.1500,7.6800,5.9900,7.5700,104218095,706408357.0500
51,2024-02-23,sh.600661,8.3300,10.3800,8.3300,9.8800,116311661,1135712497.2700
52,2024-03-01,sh.600661,9.7000,12.8000,9.6000,12.2600,166436378,1931851128.4000
53,2024-03-08,sh.600661,12.2600,13.4000,11.5500,12.6500,92317219,1137382485.2800
54,2024-03-15,sh.600661,12.3800,13.6600,12.3100,13.2700,72687390,951371044.0200
55,2024-03-22,sh.600661,13.2000,13.6100,12.2900,12.3800,63205400,812552845.0400
56,2024-03-29,sh.600661,12.2100,12.3800,10.1500,10.9600,66816292,733501230.1700
57,2024-04-03,sh.600661,10.9700,11.0400,10.1900,10.2800,28464446,301356483.3400
