,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.600706,11.2800,11.4600,10.7300,10.9400,50086447,558696685.0900
1,2023-02-24,sh.600706,10.8400,11.1500,10.6100,10.9700,27915014,306623465.0200
2,2023-03-03,sh.600706,10.9700,11.6500,10.8800,11.5200,54830015,624101438.3700
3,2023-03-10,sh.600706,11.5200,12.6600,11.4400,11.6800,94273374,1130156138.2200
4,2023-03-17,sh.600706,11.6000,13.0000,11.4000,13.0000,78940897,959076255.1600
5,2023-03-24,sh.600706,12.9000,13.3300,12.3400,12.7300,137625011,1753091306.1800
6,2023-03-31,sh.600706,12.7300,13.9200,12.6800,13.4000,132475376,1773452979.6000
7,2023-04-07,sh.600706,13.4800,13.8600,12.8000,13.0000,74228938,987845556.3500
8,2023-04-14,sh.600706,13.0200,20.9300,13.0000,20.9300,211754527,3764421951.8400
9,2023-04-21,sh.600706,20.5100,22.2100,18.3000,19.1000,302375516,6145831049.7400
10,2023-04-28,sh.600706,18.6100,19.5800,16.4500,17.5000,183305941,3308638196.1000
11,2023-05-05,sh.600706,17.4000,17.4000,15.8000,16.2200,66743832,1085613844.1900
12,2023-05-12,sh.600706,16.0700,17.7900,15.3300,17.7900,158607863,2574131109.8300
13,2023-05-19,sh.600706,18.0000,19.2400,15.4100,16.3100,185676104,3152185206.0300
14,2023-05-26,sh.600706,16.1300,17.2200,15.0100,15.1700,119472138,1930257194.8300
15,2023-06-02,sh.600706,14.8900,16.4200,14.4200,16.1600,117588137,1841417914.5000
16,2023-06-09,sh.600706,16.1800,18.6600,15.9000,17.1900,175226301,2986769409.9900
17,2023-06-16,sh.600706,17.0600,17.9200,16.7100,17.8300,116331353,2006048585.4200
18,2023-06-21,sh.600706,17.8300,18.5000,16.2000,16.2000,71446965,1231848792.5100
19,2023-06-30,sh.600706,15.9000,18.2200,15.6100,17.8900,144761344,2522844260.3300
20,2023-07-07,sh.600706,17.7700,19.6000,17.4000,17.8900,133269544,2417454507.3000
21,2023-07-14,sh.600706,18.0500,18.9600,16.6100,16.6800,108106368,1904823896.7700
22,2023-07-21,sh.600706,16.6500,17.5000,16.4100,17.1500,71912399,1221513802.1000
23,2023-07-28,sh.600706,17.2000,18.5000,16.6500,17.4500,111498717,1983525779.0300
24,2023-08-04,sh.600706,17.7700,18.8500,16.9200,17.2500,109200747,1943211211.5200
25,2023-08-11,sh.600706,17.2000,17.6000,16.6000,17.0500,54281061,926015225.7400
26,2023-08-18,sh.600706,16.6300,17.4900,15.3700,15.3800,53366829,874149682.0100
27,2023-08-25,sh.600706,15.3800,15.6000,14.5000,14.9500,41486060,623263067.2000
28,2023-09-01,sh.600706,16.0000,16.2500,14.8000,16.1200,59138419,925053157.6400
29,2023-09-08,sh.600706,15.9900,18.2400,15.9500,17.6200,119769586,2050760236.8900
30,2023-09-15,sh.600706,17.4000,19.2900,17.4000,18.7500,189938854,3471131110.0200
31,2023-09-22,sh.600706,18.5600,20.5000,16.0000,16.6800,200231825,3618609120.7400
32,2023-09-28,sh.600706,16.5000,16.9300,15.8000,16.0600,82920980,1352806335.8000
33,2023-10-13,sh.600706,15.5400,15.6100,14.3800,14.3900,67803827,1006957533.5500
34,2023-10-20,sh.600706,14.2000,14.3700,13.2200,13.2800,42510283,583884328.5000
35,2023-10-27,sh.600706,13.3200,14.3800,12.8800,14.0800,52869382,723904833.9800
36,2023-11-03,sh.600706,14.2500,14.4400,13.9600,14.0800,39586733,560256964.6100
37,2023-11-10,sh.600706,14.1700,14.9500,14.0800,14.3500,59164280,851799732.0000
38,2023-11-17,sh.600706,14.2900,14.9700,14.2900,14.5500,56552880,827461343.8000
39,2023-11-24,sh.600706,14.5000,15.7700,14.4900,15.1900,87045168,1316184302.1700
40,2023-12-01,sh.600706,15.3600,15.7700,14.8000,15.5500,75612149,1163016644.9000
41,2023-12-08,sh.600706,15.4500,16.0900,14.8000,14.8400,69864847,1074503499.7200
42,2023-12-15,sh.600706,14.6000,16.4000,14.5100,16.1000,85846749,1335187500.9000
43,2023-12-22,sh.600706,15.5000,18.2600,15.0600,15.6700,151255075,2476901122.8500
44,2023-12-29,sh.600706,15.4100,15.4800,13.7900,14.8200,73485185,1063317036.8500
45,2024-01-05,sh.600706,14.8500,16.2000,14.8500,15.3300,63342820,975084310.6000
46,2024-01-12,sh.600706,15.4100,15.9800,14.6300,14.6400,83466585,1280849065.1600
47,2024-01-19,sh.600706,14.7100,16.5300,13.9600,14.5400,166958752,2585126098.3700
48,2024-01-26,sh.600706,14.4300,14.4300,12.7000,13.9000,56349012,774484738.4400
49,2024-02-02,sh.600706,14.0600,14.3500,11.4600,11.9900,58519283,753027392.9300
50,2024-02-08,sh.600706,11.7500,12.0000,10.1300,11.9400,47515399,529498313.4900
51,2024-02-23,sh.600706,12.4600,12.9500,11.9800,12.6700,52381909,653019643.6500
52,2024-03-01,sh.600706,12.6700,13.2900,12.1800,12.9300,57972308,739583442.5500
53,2024-03-08,sh.600706,12.9400,14.5700,12.6800,13.5100,66799082,892544945.8200
54,2024-03-15,sh.600706,13.3500,14.1400,13.3300,13.9900,50085602,691182711.6500
55,2024-03-22,sh.600706,14.0300,16.0000,14.0000,15.3700,80179115,1203969113.3900
56,2024-03-29,sh.600706,15.1200,15.8000,14.6500,15.7100,71405418,1083772840.0000
57,2024-04-03,sh.600706,15.6600,16.2200,15.3000,15.4700,45155973,711569834.8300
