,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.600727,7.0200,7.0800,6.7200,6.8300,27033236,187735264.1100
1,2023-02-24,sh.600727,6.8500,7.0500,6.8000,6.9100,19204892,133213851.8400
2,2023-03-03,sh.600727,6.8900,7.0500,6.8400,7.0200,18607826,129913594.3400
3,2023-03-10,sh.600727,7.0300,7.1200,6.8100,6.8900,24794471,172002425.9800
4,2023-03-17,sh.600727,6.8500,6.9100,6.6400,6.7000,18122487,122202754.7200
5,2023-03-24,sh.600727,6.7000,6.7700,6.6300,6.6600,14148980,94519852.8500
6,2023-03-31,sh.600727,6.6600,6.6700,6.4000,6.4800,14845967,96916583.5200
7,2023-04-07,sh.600727,6.4900,6.5400,6.3300,6.4100,11546775,74285873.9700
8,2023-04-14,sh.600727,6.4200,6.4800,6.2400,6.4300,16235627,103019970.0300
9,2023-04-21,sh.600727,6.4200,6.4800,6.0500,6.0700,16996520,106663543.4900
10,2023-04-28,sh.600727,6.0800,6.0800,5.7100,5.9200,17614406,103260019.9300
11,2023-05-05,sh.600727,5.9200,6.0000,5.8800,5.9900,6248714,37182424.0800
12,2023-05-12,sh.600727,6.0000,6.0800,5.9700,5.9900,10768360,64820328.1600
13,2023-05-19,sh.600727,5.9900,6.0500,5.9400,6.0400,9281934,55689662.7800
14,2023-05-26,sh.600727,6.0000,6.0500,5.8700,5.9500,10250777,61164076.1300
15,2023-06-02,sh.600727,5.9700,6.0100,5.7800,5.9800,11230048,66189479.0700
16,2023-06-09,sh.600727,5.9800,6.0200,5.7800,5.8200,9936756,58374213.5600
17,2023-06-16,sh.600727,5.8100,5.8700,5.7500,5.8400,8921302,51941102.6500
18,2023-06-21,sh.600727,5.8600,5.8600,5.5500,5.5700,10921677,61758229.0400
19,2023-06-30,sh.600727,5.5500,5.7300,5.4600,5.7000,12954245,72475941.7000
20,2023-07-07,sh.600727,5.7300,5.8200,5.7200,5.8000,11309250,65330660.3800
21,2023-07-14,sh.600727,5.8200,5.9400,5.7800,5.9100,13561735,79576628.0000
22,2023-07-21,sh.600727,5.9000,6.1200,5.8600,6.0700,13776310,82789690.9700
23,2023-07-28,sh.600727,6.0300,6.1900,5.9800,6.1400,17188415,104767150.6600
24,2023-08-04,sh.600727,6.1500,6.2000,6.0700,6.0900,13021530,79925570.7200
25,2023-08-11,sh.600727,6.0800,6.1100,5.9500,5.9500,11129210,67071148.7400
26,2023-08-18,sh.600727,6.0000,6.0500,5.8600,5.9400,11491288,68547833.8800
27,2023-08-25,sh.600727,5.9600,6.0200,5.7800,5.8300,13441032,79042360.2000
28,2023-09-01,sh.600727,6.0600,6.0800,5.8800,5.9500,17082447,102050313.8800
29,2023-09-08,sh.600727,6.0000,6.1400,5.9600,6.0400,15461453,93944241.5800
30,2023-09-15,sh.600727,6.0400,6.1500,6.0200,6.0800,12662392,77219934.9200
31,2023-09-22,sh.600727,6.0800,6.1200,5.9800,6.0100,11530664,69749082.7400
32,2023-09-28,sh.600727,6.0400,6.0900,5.8100,5.9100,11531300,68261506.5400
33,2023-10-13,sh.600727,5.9400,6.4200,5.6900,5.7900,58744739,352257416.0000
34,2023-10-20,sh.600727,5.7500,5.8700,5.6000,5.6800,19037814,109594756.7100
35,2023-10-27,sh.600727,5.6600,6.0800,5.4700,6.0700,24105596,140805665.4000
36,2023-11-03,sh.600727,6.0700,6.5100,6.0700,6.2900,44037740,279408146.4400
37,2023-11-10,sh.600727,6.3200,6.3700,6.2400,6.3400,22093764,139253061.4400
38,2023-11-17,sh.600727,6.3100,6.4100,6.2800,6.3200,16897320,107195967.4000
39,2023-11-24,sh.600727,6.3500,6.4400,6.3100,6.4000,16927543,108059120.8600
40,2023-12-01,sh.600727,6.3900,6.4600,6.2800,6.3500,16356866,104305600.1100
41,2023-12-08,sh.600727,6.3800,6.4500,6.2300,6.2300,15553859,98861358.0800
42,2023-12-15,sh.600727,6.2100,6.4200,6.1400,6.3900,18018004,113786984.3700
43,2023-12-22,sh.600727,6.3600,6.4200,6.1900,6.3200,16226144,102512738.0800
44,2023-12-29,sh.600727,6.3000,6.8000,6.1200,6.5800,29023928,186087609.6000
45,2024-01-05,sh.600727,6.5800,6.7600,6.5100,6.5800,45190254,300722337.7200
46,2024-01-12,sh.600727,6.5500,6.6400,6.3900,6.5800,23756201,154502004.6800
47,2024-01-19,sh.600727,6.5700,6.5800,6.0500,6.1200,26458777,167822555.9300
48,2024-01-26,sh.600727,6.1100,6.1600,5.4100,6.0500,35914889,206500169.7800
49,2024-02-02,sh.600727,6.0500,6.1100,4.8300,5.0000,47294882,260699461.2900
50,2024-02-08,sh.600727,4.9300,4.9300,4.0200,4.4800,79190122,336645667.5800
51,2024-02-23,sh.600727,4.6100,5.0700,4.5700,5.0600,51944238,249063281.9400
52,2024-03-01,sh.600727,5.0600,5.4900,4.9100,5.1900,51374661,267164400.4400
53,2024-03-08,sh.600727,5.1900,5.3700,5.0200,5.2800,38532383,200284428.4900
54,2024-03-15,sh.600727,5.2500,5.4300,5.1900,5.4200,30613493,162882488.4600
55,2024-03-22,sh.600727,5.4600,5.6700,5.4500,5.5700,30425636,169552504.5800
56,2024-03-29,sh.600727,5.5500,5.6300,5.3700,5.6200,22568649,124152437.3200
57,2024-04-03,sh.600727,5.6800,6.0600,5.6200,5.9900,28139044,165746853.8500
