,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.600744,4.4800,4.5300,4.3400,4.3500,66527315,295963798.7000
1,2023-02-24,sh.600744,4.3500,4.5200,4.3200,4.3400,65902258,290777246.0800
2,2023-03-03,sh.600744,4.3500,4.4800,4.3000,4.4400,48792768,214627386.8700
3,2023-03-10,sh.600744,4.4500,4.4800,4.3200,4.3500,45594786,200906211.4800
4,2023-03-17,sh.600744,4.3400,4.3700,4.2300,4.2600,40897057,175863463.4200
5,2023-03-24,sh.600744,4.2800,4.2900,4.1500,4.1700,38789160,162698014.0100
6,2023-03-31,sh.600744,4.1600,4.1800,4.0500,4.1000,29728337,122309246.4800
7,2023-04-07,sh.600744,4.1000,4.1500,4.0700,4.0900,23899635,97990373.8800
8,2023-04-14,sh.600744,4.0900,4.1800,4.0800,4.1600,45610326,188283820.4400
9,2023-04-21,sh.600744,4.1800,4.2700,4.0400,4.0400,47883675,199300445.9300
10,2023-04-28,sh.600744,4.0400,4.1200,3.9200,4.1100,39580790,159269644.5000
11,2023-05-05,sh.600744,4.0500,4.1400,4.0300,4.1200,19168906,78666419.3800
12,2023-05-12,sh.600744,4.1200,4.2000,4.0700,4.1700,49043541,203010011.0200
13,2023-05-19,sh.600744,4.1800,4.2400,4.0800,4.0800,69194464,287892018.7500
14,2023-05-26,sh.600744,4.0800,4.2200,4.0500,4.1500,87072511,360860152.8700
15,2023-06-02,sh.600744,4.1400,4.3000,3.6300,3.7100,245672931,950626442.6400
16,2023-06-09,sh.600744,3.6900,3.7200,3.4300,3.5100,138338217,492396012.7500
17,2023-06-16,sh.600744,3.5100,3.5400,3.4400,3.5000,84000877,292788984.3600
18,2023-06-21,sh.600744,3.5000,3.5800,3.4700,3.5300,64214731,226301527.8900
19,2023-06-30,sh.600744,3.5000,3.7600,3.5000,3.5900,211452900,767175783.0600
20,2023-07-07,sh.600744,3.5900,3.7100,3.5600,3.6800,137055364,496446157.5100
21,2023-07-14,sh.600744,3.7800,4.0800,3.7300,3.7600,413289049,1595535376.0700
22,2023-07-21,sh.600744,3.6900,3.7400,3.5900,3.6100,141172654,516338861.1400
23,2023-07-28,sh.600744,3.5900,3.6400,3.5500,3.6200,84389969,303358481.1900
24,2023-08-04,sh.600744,3.6400,3.7500,3.6300,3.6400,122948938,452642312.4600
25,2023-08-11,sh.600744,3.6400,3.6400,3.5100,3.5100,54392083,194612933.0600
26,2023-08-18,sh.600744,3.5000,3.5400,3.4100,3.4400,50547559,175566635.2900
27,2023-08-25,sh.600744,3.4400,3.4500,3.2300,3.2500,62006240,206049481.6300
28,2023-09-01,sh.600744,3.4200,3.5500,3.2600,3.3400,109901195,371166766.2400
29,2023-09-08,sh.600744,3.3200,3.4600,3.3100,3.3700,91234035,307468951.2300
30,2023-09-15,sh.600744,3.3400,3.4400,3.3300,3.4100,72956232,247336261.2900
31,2023-09-22,sh.600744,3.3900,3.4300,3.3200,3.3400,53758033,181452587.9800
32,2023-09-28,sh.600744,3.3400,3.3500,3.2800,3.3200,25865148,85622712.4600
33,2023-10-13,sh.600744,3.3200,3.4600,3.2500,3.3400,54036972,180216701.6300
34,2023-10-20,sh.600744,3.3300,3.4500,3.2900,3.3400,76647061,258241918.0600
35,2023-10-27,sh.600744,3.3400,3.4300,3.0500,3.4100,88827536,291495347.8100
36,2023-11-03,sh.600744,3.3900,3.4300,3.3600,3.4000,65294739,221887617.4000
37,2023-11-10,sh.600744,3.4000,3.5100,3.3500,3.4600,80267229,273998639.2900
38,2023-11-17,sh.600744,3.5200,3.5600,3.4100,3.4200,95542825,332350047.0000
39,2023-11-24,sh.600744,3.4400,3.4400,3.3700,3.3800,59447587,202580629.8300
40,2023-12-01,sh.600744,3.3600,3.4200,3.3300,3.3900,48639941,164369231.3100
41,2023-12-08,sh.600744,3.3700,3.4200,3.3100,3.3100,55167232,185394073.9000
42,2023-12-15,sh.600744,3.3000,3.4800,3.2400,3.4000,85569093,290259711.7200
43,2023-12-22,sh.600744,3.4100,3.4100,3.1800,3.2000,64379135,210805687.2400
44,2023-12-29,sh.600744,3.2100,3.2500,3.1400,3.2400,41595360,133193478.0200
45,2024-01-05,sh.600744,3.2400,3.4300,3.2300,3.3800,80275715,269920534.8200
46,2024-01-12,sh.600744,3.3700,3.8200,3.2400,3.8200,325546533,1164862126.2600
47,2024-01-19,sh.600744,4.0000,4.2000,3.2800,3.4600,758621383,2815104789.2300
48,2024-01-26,sh.600744,3.4100,3.5000,3.0100,3.4300,321143365,1049138198.2900
49,2024-02-02,sh.600744,3.3500,3.4300,2.6900,2.7900,244247130,769213388.8700
50,2024-02-08,sh.600744,2.7400,2.7500,2.3000,2.6600,184445432,466295299.9400
51,2024-02-23,sh.600744,2.7100,2.9200,2.6800,2.9200,147297451,412495368.7200
52,2024-03-01,sh.600744,2.9300,3.0500,2.8200,2.9000,162223368,473658120.1600
53,2024-03-08,sh.600744,2.9200,3.0100,2.8500,2.9500,143229199,417492003.0200
54,2024-03-15,sh.600744,2.9700,3.2000,2.9600,3.0800,218137384,673670526.7300
55,2024-03-22,sh.600744,3.0900,3.1500,3.0200,3.0300,109326658,336624123.6900
56,2024-03-29,sh.600744,3.0200,3.0700,2.9100,3.0000,93210279,279211371.4200
57,2024-04-03,sh.600744,3.0100,3.0800,3.0000,3.0700,55074073,167803456.1300
