,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.600792,3.6200,3.6700,3.5400,3.6100,27545300,99496910.0000
1,2023-02-24,sh.600792,3.6300,3.7500,3.6100,3.6900,32350137,119274037.4200
2,2023-03-03,sh.600792,3.6900,3.7200,3.6500,3.6800,20519900,75601667.0000
3,2023-03-10,sh.600792,3.6800,3.7000,3.5300,3.5300,19171944,69340080.2400
4,2023-03-17,sh.600792,3.5200,3.5500,3.3900,3.4100,24521437,84822953.8700
5,2023-03-24,sh.600792,3.4100,3.5000,3.3800,3.4800,22629800,77595602.0000
6,2023-03-31,sh.600792,3.4800,3.4800,3.2900,3.3500,24517138,82802766.6000
7,2023-04-07,sh.600792,3.3500,3.3700,3.2200,3.2500,20938049,68874419.0300
8,2023-04-14,sh.600792,3.2600,3.2600,3.1300,3.2400,26507616,84997100.7200
9,2023-04-21,sh.600792,3.2300,3.3500,3.1800,3.1800,25886423,84679368.3400
10,2023-04-28,sh.600792,3.1900,3.2600,3.0400,3.2600,22667540,71322254.7200
11,2023-05-05,sh.600792,3.2400,3.3600,3.2300,3.3300,9549336,31624812.9600
12,2023-05-12,sh.600792,3.3200,3.4500,3.3200,3.3900,24638206,83352115.1400
13,2023-05-19,sh.600792,3.4100,3.4200,3.3100,3.3300,17193886,57978435.6800
14,2023-05-26,sh.600792,3.3300,3.3400,3.1000,3.1400,18402512,59032415.5400
15,2023-06-02,sh.600792,3.1400,3.1600,3.0600,3.1400,22236809,68984778.6200
16,2023-06-09,sh.600792,3.1500,3.1800,3.0700,3.1200,16746702,52288828.2600
17,2023-06-16,sh.600792,3.1200,3.1400,3.0600,3.1100,15463300,48039839.0000
18,2023-06-21,sh.600792,3.1100,3.1300,2.9900,3.0000,12011104,36712094.1200
19,2023-06-30,sh.600792,2.9800,3.5900,2.9300,3.3700,89797961,300814056.7100
20,2023-07-07,sh.600792,3.4000,3.6400,3.3500,3.5800,73260435,254799940.0100
21,2023-07-14,sh.600792,3.5900,3.6800,3.5400,3.5600,39445749,141298842.9100
22,2023-07-21,sh.600792,3.5200,3.6400,3.4600,3.5900,28731809,102171948.9100
23,2023-07-28,sh.600792,3.5700,3.6800,3.5300,3.6500,29140500,105097018.0000
24,2023-08-04,sh.600792,3.6600,3.7400,3.5400,3.5600,34921920,127582531.8000
25,2023-08-11,sh.600792,3.5400,3.5700,3.4400,3.4400,21561100,75516509.0000
26,2023-08-18,sh.600792,3.4400,3.4900,3.3800,3.4200,19303600,66219281.0000
27,2023-08-25,sh.600792,3.4300,3.5200,3.3000,3.3500,34858500,118881340.0000
28,2023-09-01,sh.600792,3.5100,3.8800,3.3200,3.6900,106221802,382016302.7800
29,2023-09-08,sh.600792,4.0600,4.9200,3.8900,3.8900,338723376,1499893854.0300
30,2023-09-15,sh.600792,3.8000,4.0200,3.7100,3.8000,314336100,1204882606.4900
31,2023-09-22,sh.600792,3.8300,4.2300,3.8100,3.9000,261573884,1050670697.2400
32,2023-09-28,sh.600792,3.8500,4.1300,3.7500,3.8800,141636410,550755771.9800
33,2023-10-13,sh.600792,3.8300,3.9200,3.7400,3.7900,117500701,450437281.8600
34,2023-10-20,sh.600792,3.8000,3.9700,3.6200,3.7900,142385220,548481461.9400
35,2023-10-27,sh.600792,3.7300,3.9200,3.6400,3.7800,100936722,379520144.6800
36,2023-11-03,sh.600792,3.7600,4.3100,3.7600,4.1200,217122205,894710682.6200
37,2023-11-10,sh.600792,4.1300,4.9300,4.0200,4.9300,307356027,1338524989.3900
38,2023-11-17,sh.600792,5.0100,5.8700,4.6800,5.4600,576837845,3032409979.9400
39,2023-11-24,sh.600792,5.4100,6.2600,5.1000,6.0600,532232105,3057873060.5200
40,2023-12-01,sh.600792,5.8400,6.3600,5.1200,5.3100,419558114,2394175700.7200
41,2023-12-08,sh.600792,5.2600,5.4200,5.0300,5.2000,247629802,1288094305.1200
42,2023-12-15,sh.600792,5.0600,5.7800,4.8000,5.5100,340921681,1838783024.7100
43,2023-12-22,sh.600792,5.4100,5.7900,4.7000,4.7600,245677793,1256316612.5700
44,2023-12-29,sh.600792,4.7200,5.0200,4.5000,4.6600,166859288,787106449.2200
45,2024-01-05,sh.600792,4.6800,5.9600,4.6400,5.6000,450600683,2471281889.9900
46,2024-01-12,sh.600792,5.5500,5.9800,5.0600,5.1300,385857004,2105019658.4000
47,2024-01-19,sh.600792,5.0800,5.1700,4.5900,4.6500,210402104,1027907935.5800
48,2024-01-26,sh.600792,4.7000,4.8700,4.3600,4.7200,183108900,846801126.0000
49,2024-02-02,sh.600792,4.7200,4.7200,3.8100,3.9500,117789310,508788238.0400
50,2024-02-08,sh.600792,3.9400,3.9400,3.3700,3.7200,123749600,442745803.7700
51,2024-02-23,sh.600792,3.7300,4.8500,3.7000,4.7100,284930252,1249452370.4000
52,2024-03-01,sh.600792,4.6500,5.0000,4.4000,4.7700,289944653,1357740831.0000
53,2024-03-08,sh.600792,4.7200,4.8500,4.4600,4.5300,192497029,893986071.4800
54,2024-03-15,sh.600792,4.5500,4.5700,4.3500,4.4500,127014772,566334740.8000
55,2024-03-22,sh.600792,4.4800,4.6400,4.3500,4.3600,135327489,608182419.6600
56,2024-03-29,sh.600792,4.3200,4.3800,4.0300,4.1800,77393238,324646358.7400
57,2024-04-03,sh.600792,4.1800,4.3400,4.1500,4.3400,57841102,246254985.3300
