,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.600808,2.9300,3.0000,2.8800,2.9200,123571668,364799548.6400
1,2023-02-24,sh.600808,2.9100,3.1100,2.9100,3.0700,161940281,493370111.9000
2,2023-03-03,sh.600808,3.0700,3.1500,3.0500,3.1400,145263292,450655165.8500
3,2023-03-10,sh.600808,3.1600,3.1700,3.0500,3.0600,129038668,401050120.3000
4,2023-03-17,sh.600808,3.0500,3.1000,3.0100,3.0400,136715934,418114939.9700
5,2023-03-24,sh.600808,3.0500,3.0500,2.9100,2.9200,161912189,479313558.5100
6,2023-03-31,sh.600808,2.9300,2.9300,2.8100,2.8800,137659400,393933447.4900
7,2023-04-07,sh.600808,2.9000,2.9000,2.8000,2.8100,106549049,302408703.5600
8,2023-04-14,sh.600808,2.8000,2.8900,2.7500,2.8600,171865368,486323569.1600
9,2023-04-21,sh.600808,2.8700,2.8800,2.7600,2.7700,118980926,337876995.8700
10,2023-04-28,sh.600808,2.7700,2.7700,2.6100,2.7300,128853654,346045995.3400
11,2023-05-05,sh.600808,2.7300,2.8200,2.7200,2.7800,56055455,155834344.0800
12,2023-05-12,sh.600808,2.7900,2.8900,2.7800,2.8100,139228740,396075893.9400
13,2023-05-19,sh.600808,2.8000,2.8300,2.7000,2.7000,93532505,258297667.2000
14,2023-05-26,sh.600808,2.7000,2.7100,2.6000,2.6900,110657144,293061577.2200
15,2023-06-02,sh.600808,2.6800,2.7500,2.6500,2.7500,117661111,317991126.8000
16,2023-06-09,sh.600808,2.7400,2.7800,2.6200,2.6300,121609919,325024465.3100
17,2023-06-16,sh.600808,2.6400,2.6500,2.6000,2.6400,96578715,253105205.4500
18,2023-06-21,sh.600808,2.6400,2.6500,2.5500,2.5600,55565464,144077214.0400
19,2023-06-30,sh.600808,2.5500,2.6000,2.5400,2.5700,72784813,186744548.0100
20,2023-07-07,sh.600808,2.5700,2.6100,2.5700,2.6000,84813527,219864105.1200
21,2023-07-14,sh.600808,2.5900,2.6000,2.5600,2.5800,71210495,183867129.9600
22,2023-07-21,sh.600808,2.5700,2.5800,2.5300,2.5800,63082435,161504616.6300
23,2023-07-28,sh.600808,2.5800,2.8800,2.5600,2.8700,273886586,751746468.1400
24,2023-08-04,sh.600808,2.8700,3.0400,2.8600,2.9100,287754367,844369387.3100
25,2023-08-11,sh.600808,2.9100,2.9200,2.7600,2.7600,117504613,332764421.4400
26,2023-08-18,sh.600808,2.7500,2.8200,2.7100,2.7300,118015459,325872672.1700
27,2023-08-25,sh.600808,2.7300,2.7600,2.6300,2.6900,121968109,329184330.7700
28,2023-09-01,sh.600808,2.7700,2.8600,2.5800,2.6400,211155983,572311454.6900
29,2023-09-08,sh.600808,2.6500,2.8500,2.6300,2.6300,194755303,532451831.4000
30,2023-09-15,sh.600808,2.6500,2.7600,2.6300,2.7200,117830062,315156922.5400
31,2023-09-22,sh.600808,2.7200,2.7700,2.6600,2.6900,152289900,414301928.0200
32,2023-09-28,sh.600808,2.6900,2.7100,2.6400,2.6400,100067476,267204416.0300
33,2023-10-13,sh.600808,2.6400,2.6600,2.5900,2.6400,115944486,304915773.1800
34,2023-10-20,sh.600808,2.6500,2.6800,2.5700,2.5800,87396493,228473900.3100
35,2023-10-27,sh.600808,2.5700,2.6400,2.5100,2.6100,120796055,311521229.7200
36,2023-11-03,sh.600808,2.6600,2.8200,2.6500,2.7100,213605809,588280915.1300
37,2023-11-10,sh.600808,2.7000,2.7400,2.6500,2.6700,133486620,357490709.6400
38,2023-11-17,sh.600808,2.6700,2.7700,2.6700,2.7200,109642889,298859614.6900
39,2023-11-24,sh.600808,2.7200,2.7800,2.7000,2.7500,91128612,250396642.9100
40,2023-12-01,sh.600808,2.7400,2.7600,2.6800,2.7400,95722980,260312055.2900
41,2023-12-08,sh.600808,2.7500,2.7900,2.6900,2.7700,154882103,425539694.7700
42,2023-12-15,sh.600808,2.7500,2.7600,2.6200,2.6900,142189711,383647796.6000
43,2023-12-22,sh.600808,2.6900,2.7400,2.6200,2.6700,104716037,280656623.8800
44,2023-12-29,sh.600808,2.6700,2.7400,2.6400,2.7200,94041099,252872975.4700
45,2024-01-05,sh.600808,2.7400,2.8500,2.7200,2.8100,128832249,361110237.4000
46,2024-01-12,sh.600808,2.8000,2.8100,2.7400,2.7800,101904447,283187198.3700
47,2024-01-19,sh.600808,2.8000,2.8200,2.5800,2.6400,148355253,401245903.6700
48,2024-01-26,sh.600808,2.6300,2.8000,2.4700,2.7900,211403535,555549996.4000
49,2024-02-02,sh.600808,2.7800,2.8100,2.4900,2.5500,209715456,559235230.0000
50,2024-02-08,sh.600808,2.5400,2.8000,2.3900,2.7600,318974946,833793296.2100
51,2024-02-23,sh.600808,2.8000,2.8300,2.6800,2.7000,178429236,489090188.9400
52,2024-03-01,sh.600808,2.7100,2.7200,2.6200,2.6300,195811724,520366553.6800
53,2024-03-08,sh.600808,2.6300,2.6700,2.5600,2.6100,182554897,475924806.9300
54,2024-03-15,sh.600808,2.6100,2.6300,2.5200,2.5700,189938079,487658165.1000
55,2024-03-22,sh.600808,2.5800,2.6100,2.4700,2.5000,205296217,521653856.3000
56,2024-03-29,sh.600808,2.4900,2.5100,2.4000,2.4400,217089390,530139636.8900
57,2024-04-03,sh.600808,2.4400,2.5900,2.4300,2.5800,190356162,479156677.6200
