,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.600846,9.0700,9.6400,9.0700,9.3000,28340821,265286216.9900
1,2023-02-24,sh.600846,9.3000,9.5800,9.3000,9.3900,34273893,323622816.1800
2,2023-03-03,sh.600846,9.4700,9.5300,9.2300,9.3500,26886346,252591021.3100
3,2023-03-10,sh.600846,9.4200,9.4200,8.9100,8.9500,22988858,210737658.3700
4,2023-03-17,sh.600846,9.0000,9.2100,8.8300,8.9300,23211444,208843680.4400
5,2023-03-24,sh.600846,9.0000,9.1300,8.8000,8.9000,21227394,189903736.3300
6,2023-03-31,sh.600846,8.9600,9.1900,8.7100,8.7500,25407382,227140557.6400
7,2023-04-07,sh.600846,8.7500,9.2500,8.7100,9.0900,27743697,250959616.4400
8,2023-04-14,sh.600846,9.0600,9.1600,8.7800,9.1400,32264571,291297429.5000
9,2023-04-21,sh.600846,9.1700,10.5400,9.1100,9.9500,93652830,934012514.9200
10,2023-04-28,sh.600846,9.9200,10.3700,9.6900,10.3300,68007173,685538911.1400
11,2023-05-05,sh.600846,10.2000,10.7000,10.1100,10.4800,27182848,282644854.7200
12,2023-05-12,sh.600846,10.6000,11.0600,10.2500,10.9500,77615980,826626535.5400
13,2023-05-19,sh.600846,11.0200,11.4900,10.2300,11.3500,79133510,867414911.8900
14,2023-05-26,sh.600846,11.5000,12.2300,10.4900,10.8000,99935248,1115862423.2900
15,2023-06-02,sh.600846,10.8000,10.8800,10.2900,10.6500,55045782,580512484.0300
16,2023-06-09,sh.600846,10.6000,11.1900,10.3900,10.9700,49922953,541126222.6000
17,2023-06-16,sh.600846,10.8400,11.1500,10.7400,11.0300,50564096,553970388.6900
18,2023-06-21,sh.600846,11.0000,11.7000,10.9500,11.2100,38555950,436704220.8800
19,2023-06-30,sh.600846,11.2300,12.1000,10.7300,11.2000,80264665,916546319.4900
20,2023-07-07,sh.600846,11.3100,11.6200,9.3600,9.6000,142410242,1476487297.4900
21,2023-07-14,sh.600846,9.5400,10.0500,9.4600,9.6200,66742705,651498317.8700
22,2023-07-21,sh.600846,9.5900,9.8600,9.5000,9.5400,31163766,301730420.9400
23,2023-07-28,sh.600846,9.5400,9.9500,9.5100,9.8200,37628797,368196653.1300
24,2023-08-04,sh.600846,9.7900,10.1900,9.7800,9.9000,45184839,450441149.4900
25,2023-08-11,sh.600846,9.8800,10.1000,9.4100,9.5400,40345491,392562605.6300
26,2023-08-18,sh.600846,9.5000,9.7500,9.4200,9.4500,22120259,212061556.6400
27,2023-08-25,sh.600846,9.5300,9.6200,9.1000,9.1800,25451415,238902640.6000
28,2023-09-01,sh.600846,9.5300,9.6800,8.9700,9.4000,43287370,405304583.3100
29,2023-09-08,sh.600846,9.4000,10.2300,9.3800,9.4700,76394671,757581853.9200
30,2023-09-15,sh.600846,9.4500,9.7600,9.3400,9.3700,33512346,318074017.9500
31,2023-09-22,sh.600846,9.3700,9.8400,9.1800,9.8000,34729679,328210174.8100
32,2023-09-28,sh.600846,9.7800,9.9800,9.6200,9.8300,28787053,281915869.4400
33,2023-10-13,sh.600846,9.8600,9.8600,8.8200,9.2000,35454689,334532077.5300
34,2023-10-20,sh.600846,9.1600,9.6200,8.4500,8.4700,38245376,349100926.7600
35,2023-10-27,sh.600846,8.4000,8.9500,7.8700,8.7300,44777355,379803247.7600
36,2023-11-03,sh.600846,8.7300,10.1000,8.7300,9.7300,92766146,905262648.4600
37,2023-11-10,sh.600846,9.8200,10.0100,9.5600,9.7100,40951307,400161182.1900
38,2023-11-17,sh.600846,9.7800,9.8500,9.5200,9.8200,27611884,267289621.8300
39,2023-11-24,sh.600846,9.8400,10.1000,9.6200,9.7600,30200339,297571774.5200
40,2023-12-01,sh.600846,9.7800,9.9600,9.4800,9.7800,22744090,220144526.3500
41,2023-12-08,sh.600846,9.7600,9.7800,9.2000,9.2800,28279958,265956719.6300
42,2023-12-15,sh.600846,9.2600,11.0100,9.2300,10.4000,124785064,1294301393.0700
43,2023-12-22,sh.600846,10.4200,10.6400,9.7600,9.8800,66563182,674471423.3200
44,2023-12-29,sh.600846,9.8500,9.9200,8.9700,9.3000,49854755,469023581.3500
45,2024-01-05,sh.600846,9.3000,9.5000,9.0200,9.1000,29892858,277724209.4400
46,2024-01-12,sh.600846,9.0500,9.2600,8.8900,8.9800,22748638,206781611.9200
47,2024-01-19,sh.600846,8.9900,9.5700,8.9100,9.4600,49758899,458677731.5400
48,2024-01-26,sh.600846,9.4500,9.9900,8.7900,9.5800,67614599,641009155.2200
49,2024-02-02,sh.600846,9.5800,9.8700,8.0600,8.4500,53731473,478312714.5300
50,2024-02-08,sh.600846,8.3400,8.7000,7.4600,8.6300,33937294,275302446.6000
51,2024-02-23,sh.600846,8.6600,9.0200,8.4800,8.9700,42117691,370582288.7800
52,2024-03-01,sh.600846,8.8500,9.1500,8.4800,8.8700,40699359,360899836.9500
53,2024-03-08,sh.600846,8.8900,9.0000,8.3100,8.4200,27239957,234148399.9500
54,2024-03-15,sh.600846,8.4000,8.7600,8.3600,8.6200,25267208,216181460.9500
55,2024-03-22,sh.600846,8.6200,8.7300,8.4000,8.5600,23063538,198611493.1000
56,2024-03-29,sh.600846,8.5600,8.5900,7.9900,8.1500,28166971,231657962.4500
57,2024-04-03,sh.600846,8.2400,8.3200,8.0900,8.1300,14529767,119038083.5200
