,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.600864,5.0400,5.1400,4.9000,4.9000,68173817,343426340.9600
1,2023-02-24,sh.600864,4.9900,5.1800,4.9200,5.0400,89629276,452529669.8400
2,2023-03-03,sh.600864,5.0100,5.5300,4.9500,5.2000,266430293,1411069009.6400
3,2023-03-10,sh.600864,5.2200,5.2300,4.9800,5.0000,113135360,577718170.7100
4,2023-03-17,sh.600864,5.0000,5.0600,4.8700,5.0100,84058309,417856487.1100
5,2023-03-24,sh.600864,5.0500,5.2500,5.0400,5.1600,97146768,497577450.2900
6,2023-03-31,sh.600864,5.1500,5.1900,5.0100,5.0700,67167723,342769739.6200
7,2023-04-07,sh.600864,5.0800,5.1800,5.0500,5.1200,58835357,301633421.8000
8,2023-04-14,sh.600864,5.1500,5.1800,5.0300,5.1500,69602330,355860526.2800
9,2023-04-21,sh.600864,5.1600,5.2600,4.8700,4.8700,96485475,493729189.3300
10,2023-04-28,sh.600864,4.8800,5.2500,4.6900,5.2400,121641877,612560367.4900
11,2023-05-05,sh.600864,5.2000,5.4000,5.1700,5.3300,55446796,294156557.5100
12,2023-05-12,sh.600864,5.3300,5.6500,5.3100,5.4800,134962494,737955090.4400
13,2023-05-19,sh.600864,5.4800,5.7900,5.4200,5.4500,141321492,787970575.1400
14,2023-05-26,sh.600864,5.4600,5.5800,5.2200,5.5000,118097936,633671283.9100
15,2023-06-02,sh.600864,5.4500,5.7000,5.2900,5.3100,141647738,778674368.3600
16,2023-06-09,sh.600864,5.3100,5.3400,5.1300,5.1700,71069321,371327733.8200
17,2023-06-16,sh.600864,5.1600,5.1800,5.0400,5.1200,76780158,392858446.5900
18,2023-06-21,sh.600864,5.1300,5.1400,5.0100,5.0200,36691164,185862596.8500
19,2023-06-30,sh.600864,5.0100,5.1500,4.9600,5.1100,65218268,329632832.9400
20,2023-07-07,sh.600864,5.1100,5.2400,5.0900,5.2200,74298486,383817366.6000
21,2023-07-14,sh.600864,5.2400,5.2800,5.0700,5.0900,81252017,420575721.6500
22,2023-07-21,sh.600864,5.1000,5.1300,4.9900,5.0700,64282843,324947572.5700
23,2023-07-28,sh.600864,5.0600,5.8500,5.0300,5.8500,210141645,1145804483.4900
24,2023-08-04,sh.600864,5.8600,7.0200,5.8000,6.7400,691605083,4357789045.7800
25,2023-08-11,sh.600864,6.7000,7.4100,6.2300,6.2500,929526447,6250931343.5100
26,2023-08-18,sh.600864,5.9300,6.5500,5.9300,6.2200,471023642,2936552878.4200
27,2023-08-25,sh.600864,6.1800,6.3500,5.9200,6.2100,314775608,1930080543.8100
28,2023-09-01,sh.600864,6.8300,6.8300,5.6900,5.7100,501312434,3186375150.8300
29,2023-09-08,sh.600864,5.7300,5.7500,5.5200,5.6300,185589987,1043172463.7900
30,2023-09-15,sh.600864,5.6400,5.8200,5.5500,5.7000,205237109,1168713908.4700
31,2023-09-22,sh.600864,5.6500,6.1500,5.5800,6.1300,337038802,1989756746.0500
32,2023-09-28,sh.600864,6.1000,6.1200,5.7100,5.7600,173624589,1021515809.6600
33,2023-10-13,sh.600864,5.7200,5.7300,5.3900,5.4800,129074439,707809501.2000
34,2023-10-20,sh.600864,5.4600,5.8400,5.4200,5.7800,207996058,1169131628.8300
35,2023-10-27,sh.600864,5.7000,6.3300,5.4100,6.0100,420452131,2501805018.0000
36,2023-11-03,sh.600864,6.0300,6.2800,5.8000,5.8900,273308698,1639399690.6500
37,2023-11-10,sh.600864,6.0100,6.3200,5.9600,6.2200,323508987,1979735034.0700
38,2023-11-17,sh.600864,6.1600,6.4300,6.0800,6.1300,266795767,1658995772.0400
39,2023-11-24,sh.600864,6.1200,6.2100,5.8900,5.9200,141838616,856738595.1500
40,2023-12-01,sh.600864,5.9300,5.9300,5.7000,5.7700,127505913,736572245.3000
41,2023-12-08,sh.600864,5.8000,6.2400,5.7600,6.0500,298250283,1798511073.2500
42,2023-12-15,sh.600864,5.9800,6.1900,5.8500,6.0900,183568640,1108168418.8100
43,2023-12-22,sh.600864,6.0700,6.1400,5.5300,5.6100,162597691,946197923.0700
44,2023-12-29,sh.600864,5.6000,5.7500,5.4800,5.6900,137760762,774225692.5300
45,2024-01-05,sh.600864,5.6900,5.7200,5.5600,5.5800,79957426,452663839.4000
46,2024-01-12,sh.600864,5.5700,5.9800,5.3700,5.7900,399308844,2316587113.3800
47,2024-01-19,sh.600864,5.7300,6.4800,5.7200,6.1000,616342485,3743352833.6700
48,2024-01-26,sh.600864,6.1600,6.9900,5.8200,6.5300,694200901,4412582109.3800
49,2024-02-02,sh.600864,6.4500,6.7300,5.4800,5.6900,883006142,5580338603.0300
50,2024-02-08,sh.600864,5.5000,5.5400,4.7100,5.3700,360711699,1894185437.7300
51,2024-02-23,sh.600864,5.3800,5.6800,5.2300,5.6600,386066926,2124895948.6300
52,2024-03-01,sh.600864,5.6300,5.9200,5.5300,5.7700,346463505,1973617208.9500
53,2024-03-08,sh.600864,5.7600,5.7600,5.4300,5.4600,178972609,1000221044.1900
54,2024-03-15,sh.600864,5.4500,5.6400,5.4400,5.5900,168411389,931695574.0500
55,2024-03-22,sh.600864,5.6400,5.7400,5.5500,5.6400,214479822,1210067665.9600
56,2024-03-29,sh.600864,5.5400,5.5700,5.1200,5.2300,175580383,931860266.2300
57,2024-04-03,sh.600864,5.3000,5.3500,5.2300,5.2500,64432447,340796602.7000
