,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.601022,13.5700,13.6500,12.7400,12.8900,61967224,821924657.9100
1,2023-02-24,sh.601022,12.8000,13.4000,12.7000,13.0500,41073699,533654462.6000
2,2023-03-03,sh.601022,12.9100,12.9300,12.5200,12.8000,40833778,519470719.1700
3,2023-03-10,sh.601022,12.8000,12.8300,12.3100,12.4200,33022499,414259963.2700
4,2023-03-17,sh.601022,12.3900,13.5500,12.3800,13.1100,81351627,1054308432.7700
5,2023-03-24,sh.601022,13.1000,13.1300,12.5400,12.6100,40421586,515795661.2100
6,2023-03-31,sh.601022,12.6200,12.7100,11.8600,12.0300,26800357,329441678.5400
7,2023-04-07,sh.601022,11.9700,12.1600,11.6700,12.0500,18031103,215917210.5600
8,2023-04-14,sh.601022,12.0000,12.0500,11.4100,11.4900,22294823,259412908.7300
9,2023-04-21,sh.601022,11.4900,11.7200,10.9100,10.9200,19356788,220246525.0800
10,2023-04-28,sh.601022,10.9200,11.0000,10.2600,10.8200,18789329,199152646.1200
11,2023-05-05,sh.601022,10.8200,11.6500,10.7300,11.1500,14285470,159895033.9100
12,2023-05-12,sh.601022,11.0800,11.8200,10.9000,10.9200,35231189,399955510.7800
13,2023-05-19,sh.601022,10.9100,11.0900,10.6500,10.7100,12262231,132925550.1600
14,2023-05-26,sh.601022,10.8200,10.9900,10.4300,10.5200,15786865,169315050.3000
15,2023-06-02,sh.601022,10.5200,10.6100,10.3000,10.4600,10683095,111903442.1400
16,2023-06-09,sh.601022,10.5300,10.8800,10.1300,10.6100,16003308,166574153.6300
17,2023-06-16,sh.601022,10.4500,10.8000,10.4500,10.5000,16628409,175765650.4700
18,2023-06-21,sh.601022,10.4900,10.4900,10.2200,10.2600,7408986,76479631.1900
19,2023-06-30,sh.601022,10.2600,10.4300,10.1800,10.3900,10808557,111693622.8500
20,2023-07-07,sh.601022,10.4400,10.5300,10.3200,10.4800,10847074,113211098.6300
21,2023-07-14,sh.601022,10.5000,10.5600,10.3700,10.4000,9946336,103853253.3500
22,2023-07-21,sh.601022,10.3900,10.7900,10.2500,10.6700,21477501,227388736.2600
23,2023-07-28,sh.601022,10.5800,10.7300,10.5400,10.6600,16238998,172428178.3000
24,2023-08-04,sh.601022,10.7000,10.8500,10.5700,10.6000,20170617,215756929.0500
25,2023-08-11,sh.601022,10.5900,10.8300,10.4100,10.6500,19721114,210032183.7600
26,2023-08-18,sh.601022,10.6100,12.0000,10.3400,12.0000,74383937,856346046.4500
27,2023-08-25,sh.601022,12.2400,12.9900,9.7000,9.7600,182506880,2123058455.3500
28,2023-09-01,sh.601022,10.1000,10.6600,9.3800,10.2100,64719304,642710687.9700
29,2023-09-08,sh.601022,10.1200,10.6000,9.7400,9.7800,46799570,473379902.1800
30,2023-09-15,sh.601022,9.8000,10.1500,9.7000,9.7200,30058810,297535316.2100
31,2023-09-22,sh.601022,9.6800,9.9300,9.5500,9.8200,23660961,230762051.3700
32,2023-09-28,sh.601022,9.7500,9.9800,9.6200,9.9000,15182255,148801758.8400
33,2023-10-13,sh.601022,9.8800,9.9000,9.3200,9.3500,20236391,193547032.6400
34,2023-10-20,sh.601022,9.3100,9.5600,8.8600,8.8800,15968417,147041780.0400
35,2023-10-27,sh.601022,8.8900,9.1200,8.4700,8.9700,18842361,165318402.1400
36,2023-11-03,sh.601022,8.9400,9.0500,8.8700,8.9600,10322181,92545860.9300
37,2023-11-10,sh.601022,9.0000,10.9000,8.9600,10.9000,70663101,707662686.9800
38,2023-11-17,sh.601022,11.9900,14.5100,11.1400,11.3300,205301038,2596022733.6600
39,2023-11-24,sh.601022,11.0700,11.5500,10.5100,10.5200,149028810,1642244542.9000
40,2023-12-01,sh.601022,10.4600,11.0300,10.2700,10.8700,86213878,912230549.2400
41,2023-12-08,sh.601022,10.8700,10.9700,10.0600,10.0800,76566819,808009658.0300
42,2023-12-15,sh.601022,10.1000,10.8500,10.0200,10.3800,77426519,810948489.6100
43,2023-12-22,sh.601022,11.4000,13.7000,11.1600,13.4800,283118113,3500525471.5300
44,2023-12-29,sh.601022,12.8000,13.0500,10.3900,11.0900,240297189,2832809163.3200
45,2024-01-05,sh.601022,11.4300,12.8100,11.4200,11.6400,195117471,2369285684.9100
46,2024-01-12,sh.601022,11.7500,11.7800,9.7800,11.0900,151400947,1618416403.8100
47,2024-01-19,sh.601022,11.1000,11.9800,10.2900,10.3600,134997933,1494060269.3200
48,2024-01-26,sh.601022,10.3100,10.5400,9.5900,10.2400,98447128,994228025.3500
49,2024-02-02,sh.601022,10.2400,10.3600,8.1800,8.4600,59430396,549462091.5600
50,2024-02-08,sh.601022,8.4500,8.5800,7.3000,8.4100,77887682,627743493.4400
51,2024-02-23,sh.601022,8.4100,9.1400,8.4000,9.1000,69005258,602843425.8400
52,2024-03-01,sh.601022,9.1900,9.6000,8.7500,9.1500,59203925,543281892.4300
53,2024-03-08,sh.601022,9.1000,9.1700,8.7700,8.8600,33069726,295556087.5000
54,2024-03-15,sh.601022,8.8700,9.5000,8.8300,9.1000,64134097,584151260.5300
55,2024-03-22,sh.601022,9.0800,9.8800,9.0700,9.3100,93889240,882841450.7400
56,2024-03-29,sh.601022,9.2700,9.6400,8.5500,8.9000,69164759,624698603.5700
57,2024-04-03,sh.601022,8.9500,9.7900,8.6500,9.3200,86537590,790341779.4300
