,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.601101,6.6000,6.6400,6.3800,6.5200,50045685,327872006.8100
1,2023-02-24,sh.601101,6.5200,7.3100,6.5100,7.1700,188771683,1316598380.2200
2,2023-03-03,sh.601101,7.1200,7.2300,6.7300,6.9400,120818804,842714890.6800
3,2023-03-10,sh.601101,6.9400,6.9500,6.5500,6.6200,63501389,428723279.6100
4,2023-03-17,sh.601101,6.5900,6.6200,6.3800,6.4500,39854740,259361722.8300
5,2023-03-24,sh.601101,6.4200,6.4600,6.2900,6.3900,31515831,201254363.3400
6,2023-03-31,sh.601101,6.3900,6.4100,6.2000,6.3200,34259295,216185405.9400
7,2023-04-07,sh.601101,6.3200,6.3900,6.2300,6.2800,26083695,164849713.0000
8,2023-04-14,sh.601101,6.2700,6.3000,6.2000,6.2300,30773588,192323851.2400
9,2023-04-21,sh.601101,6.2300,6.4500,6.2000,6.2200,70171489,443291816.4500
10,2023-04-28,sh.601101,6.2200,6.3500,6.1200,6.3500,50957580,318280973.9200
11,2023-05-05,sh.601101,6.3000,6.4300,6.2500,6.4200,21803676,138860500.5300
12,2023-05-12,sh.601101,6.4300,6.6000,6.3900,6.4800,60872530,395707935.8900
13,2023-05-19,sh.601101,6.4900,6.6100,6.3600,6.3800,47069730,306137590.1800
14,2023-05-26,sh.601101,6.3800,6.4100,6.0400,6.0800,35677535,222216100.3900
15,2023-06-02,sh.601101,6.0500,6.1300,5.9700,6.0500,29098697,175987815.9800
16,2023-06-09,sh.601101,6.0500,6.1500,5.9200,6.1500,30476185,183487520.5600
17,2023-06-16,sh.601101,6.1000,6.1300,6.0200,6.1300,28770216,174892774.3900
18,2023-06-21,sh.601101,5.8400,5.8400,5.6200,5.6300,15514705,88884131.6400
19,2023-06-30,sh.601101,5.6100,5.8400,5.5200,5.8200,31638559,180771042.6300
20,2023-07-07,sh.601101,5.8200,6.0000,5.8000,5.9700,31827054,188356944.4200
21,2023-07-14,sh.601101,6.0000,6.0400,5.9200,5.9600,34115222,204050965.8900
22,2023-07-21,sh.601101,5.9600,6.0300,5.8600,5.9300,28028221,166632846.5600
23,2023-07-28,sh.601101,5.9300,6.1500,5.8800,6.1200,43101309,261075518.6900
24,2023-08-04,sh.601101,6.1600,6.1800,6.0600,6.0600,36907869,225809953.4600
25,2023-08-11,sh.601101,6.0600,6.1000,5.9300,5.9400,33806946,203134355.5400
26,2023-08-18,sh.601101,5.9200,5.9600,5.7500,5.8100,32090486,188222834.4900
27,2023-08-25,sh.601101,5.8200,5.8600,5.3000,5.3800,71799839,391573422.1800
28,2023-09-01,sh.601101,5.5700,5.7200,5.4500,5.6800,70920818,396774919.9600
29,2023-09-08,sh.601101,5.7600,6.0200,5.7600,5.8500,67827497,400783371.4300
30,2023-09-15,sh.601101,5.9000,6.1700,5.8500,6.1200,70737073,426337911.4600
31,2023-09-22,sh.601101,6.1400,6.1800,5.9600,5.9700,63924140,388602154.8200
32,2023-09-28,sh.601101,5.9900,6.0800,5.8900,5.9700,32051285,191560491.3900
33,2023-10-13,sh.601101,5.9100,6.0000,5.6700,5.7400,41694642,243073846.0900
34,2023-10-20,sh.601101,5.8000,5.9900,5.7100,5.7500,51102926,299215316.1900
35,2023-10-27,sh.601101,5.7800,5.9600,5.5400,5.7300,41804880,239957940.6300
36,2023-11-03,sh.601101,5.7000,5.7800,5.5900,5.7200,48907745,277500538.2200
37,2023-11-10,sh.601101,5.7700,5.9900,5.6300,5.9800,82843274,478594536.4900
38,2023-11-17,sh.601101,6.0100,6.0400,5.8900,5.9400,50028873,297340910.0300
39,2023-11-24,sh.601101,5.9500,6.2400,5.9100,6.1800,77604601,472306189.6300
40,2023-12-01,sh.601101,6.2200,6.3900,6.2000,6.3500,77765026,489441956.2600
41,2023-12-08,sh.601101,6.3500,6.5500,6.2000,6.4700,87961460,562914051.9700
42,2023-12-15,sh.601101,6.4300,6.6300,6.3400,6.4800,52086677,340102714.6100
43,2023-12-22,sh.601101,6.4600,6.5300,6.2800,6.3700,43352704,277687860.2600
44,2023-12-29,sh.601101,6.3600,6.6000,6.2700,6.3200,58212679,373252941.9100
45,2024-01-05,sh.601101,6.3100,6.8700,6.3000,6.7500,64854686,431803549.2500
46,2024-01-12,sh.601101,6.7300,6.7800,6.5400,6.6200,44908590,299407583.6800
47,2024-01-19,sh.601101,6.5700,6.6700,6.2200,6.3000,40001843,258426624.7300
48,2024-01-26,sh.601101,6.2800,7.3000,5.8500,7.1000,114176029,766723732.4300
49,2024-02-02,sh.601101,7.0500,7.1900,6.4900,6.6500,97643029,675549848.0700
50,2024-02-08,sh.601101,6.6400,7.0200,6.1300,6.8900,75912870,500095756.2900
51,2024-02-23,sh.601101,6.8900,8.1700,6.7600,7.8000,141894040,1058507250.1700
52,2024-03-01,sh.601101,7.7900,7.8100,7.1600,7.6000,127268081,943810031.5800
53,2024-03-08,sh.601101,7.5900,7.8700,7.4500,7.6100,121848691,936055897.5100
54,2024-03-15,sh.601101,7.6400,7.6600,7.0700,7.2400,105393439,769485911.8800
55,2024-03-22,sh.601101,7.2400,7.4600,7.0300,7.3400,67467455,490229393.8000
56,2024-03-29,sh.601101,7.2800,7.4000,6.9200,7.4000,55656678,397461406.4700
57,2024-04-03,sh.601101,7.3500,7.6200,7.1400,7.6000,46153455,343160382.3100
