,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.601116,10.6000,11.4900,10.3800,10.6200,45316770,497510091.2600
1,2023-02-24,sh.601116,10.6500,10.8100,10.4100,10.5300,17009636,180783162.1400
2,2023-03-03,sh.601116,10.6000,10.6100,10.3000,10.5500,15284090,159883225.3500
3,2023-03-10,sh.601116,10.5000,10.9400,9.9700,10.0000,24742167,260206884.0700
4,2023-03-17,sh.601116,9.9300,10.2900,9.8400,9.9500,15206515,152316661.5600
5,2023-03-24,sh.601116,9.9500,10.4500,9.8000,10.1900,15799222,160000604.1500
6,2023-03-31,sh.601116,10.1900,15.1300,10.0300,15.1300,129423848,1703455051.2700
7,2023-04-07,sh.601116,14.8100,16.0500,13.7700,14.2300,219848517,3238882600.2500
8,2023-04-14,sh.601116,14.2600,14.4700,12.5300,12.8900,154722857,2040168770.0000
9,2023-04-21,sh.601116,12.9100,13.2000,11.9800,12.0000,88496022,1109594516.3500
10,2023-04-28,sh.601116,12.0000,12.3100,11.5300,12.0500,64683078,769309647.2300
11,2023-05-05,sh.601116,12.0500,12.0900,11.5900,11.7500,21108158,248690621.0500
12,2023-05-12,sh.601116,11.7000,12.8800,11.5100,12.4800,70170709,842769548.2900
13,2023-05-19,sh.601116,12.2200,12.2700,11.0500,11.6300,82159575,953601052.1200
14,2023-05-26,sh.601116,11.4200,12.1500,10.7800,11.1400,54342991,620068076.6100
15,2023-06-02,sh.601116,10.9800,11.4900,10.6300,11.2700,35385905,393718360.3600
16,2023-06-09,sh.601116,11.2200,11.8900,11.1500,11.6300,58855672,684688626.5000
17,2023-06-16,sh.601116,11.6500,15.3300,11.4400,12.9600,186695790,2481032551.0400
18,2023-06-21,sh.601116,12.9000,12.9000,11.9000,11.9200,72093135,889955697.4600
19,2023-06-30,sh.601116,11.8600,12.1300,11.2500,11.3900,63852350,737828265.7700
20,2023-07-07,sh.601116,11.3300,12.7300,11.3300,12.7300,76497174,915204676.2900
21,2023-07-14,sh.601116,12.8100,13.8600,12.2300,12.4400,142414404,1823106297.3800
22,2023-07-21,sh.601116,12.3400,15.1900,12.1300,13.7300,202013968,2778829825.0900
23,2023-07-28,sh.601116,13.5500,14.4900,12.7400,13.7600,193567955,2614502496.9900
24,2023-08-04,sh.601116,13.6000,15.0000,13.2800,13.3200,149781306,2092468057.5800
25,2023-08-11,sh.601116,13.1100,13.3100,12.3200,12.3200,56545842,722632653.0000
26,2023-08-18,sh.601116,12.1700,12.9200,12.1100,12.4700,62618407,790816646.2900
27,2023-08-25,sh.601116,12.4000,12.4400,11.6800,11.7600,35297201,422597120.3100
28,2023-09-01,sh.601116,12.4300,13.3100,11.5900,13.3100,65205676,817278042.0000
29,2023-09-08,sh.601116,13.1100,14.0400,12.7500,13.1000,112994132,1496394099.3500
30,2023-09-15,sh.601116,12.9000,13.4000,12.2500,12.6600,77557538,1000392955.8600
31,2023-09-22,sh.601116,12.6700,13.2700,11.8200,12.1500,56830547,714679511.7200
32,2023-09-28,sh.601116,12.1300,12.3000,11.8100,11.9600,22710435,271866252.0900
33,2023-10-13,sh.601116,11.9000,11.9100,11.1800,11.2200,25974533,297929063.0300
34,2023-10-20,sh.601116,11.2700,11.2900,10.7000,10.7200,19736916,216657087.8500
35,2023-10-27,sh.601116,10.7400,11.2200,10.3800,11.1400,24866204,269672159.3400
36,2023-11-03,sh.601116,11.0200,11.2500,10.8800,11.1100,20173359,223331912.3800
37,2023-11-10,sh.601116,11.1200,11.3400,11.0300,11.1800,22107124,248032179.2800
38,2023-11-17,sh.601116,11.1900,12.3300,11.1000,11.7000,36324913,420419750.3000
39,2023-11-24,sh.601116,11.5500,13.5000,11.5000,12.9100,143487989,1798569074.9600
40,2023-12-01,sh.601116,12.3600,12.7500,11.7000,12.3600,104003848,1285139262.8200
41,2023-12-08,sh.601116,12.2100,12.7400,11.3400,11.4900,83927943,1028227350.4700
42,2023-12-15,sh.601116,11.3000,12.0900,11.2100,11.5900,39080298,458215979.9900
43,2023-12-22,sh.601116,11.6100,11.6100,10.7000,10.7500,26463469,293376016.2400
44,2023-12-29,sh.601116,10.7400,10.8700,10.1700,10.8600,31475254,332061640.2500
45,2024-01-05,sh.601116,10.8400,10.9800,10.6800,10.7300,14585910,158416084.9000
46,2024-01-12,sh.601116,10.7200,11.3200,10.5300,10.7600,44830876,489925859.5800
47,2024-01-19,sh.601116,10.6300,11.0800,9.5500,9.9100,35154284,363578016.7600
48,2024-01-26,sh.601116,9.9100,11.4400,8.9700,10.6600,63959319,669007899.2500
49,2024-02-02,sh.601116,10.6700,10.7500,8.1700,8.5600,46992296,442449075.0200
50,2024-02-08,sh.601116,8.5500,8.5500,7.1400,8.5000,33490267,267040129.3800
51,2024-02-23,sh.601116,8.5500,9.2200,8.5200,9.1400,35761140,316359601.2700
52,2024-03-01,sh.601116,9.1500,9.6700,8.7700,9.1600,39246726,365016309.4800
53,2024-03-08,sh.601116,9.1200,9.4600,8.8900,9.0100,27804450,252835649.0300
54,2024-03-15,sh.601116,9.0200,9.4000,9.0100,9.3500,29496138,272737796.4000
55,2024-03-22,sh.601116,9.3000,9.6700,9.2700,9.5300,29360880,278063571.4300
56,2024-03-29,sh.601116,9.4600,9.5000,8.7500,8.9300,22647614,205447919.0900
57,2024-04-03,sh.601116,8.9200,9.4900,8.9200,9.3800,16173498,149683864.7600
