,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.601330,7.2300,7.2400,7.0400,7.1000,19025069,136307239.4300
1,2023-02-24,sh.601330,7.1200,7.3500,7.0700,7.2000,19610600,141430226.6100
2,2023-03-03,sh.601330,7.1800,7.2900,7.1100,7.2700,16340717,117662722.8300
3,2023-03-10,sh.601330,7.2700,7.3600,7.1300,7.1900,25651781,185868488.5000
4,2023-03-17,sh.601330,7.1500,7.2400,6.9900,7.1200,20405351,145245593.8100
5,2023-03-24,sh.601330,7.1600,7.2100,7.0300,7.2000,13728580,97799776.8400
6,2023-03-31,sh.601330,7.1900,7.4500,7.0700,7.4400,29221804,212955886.6400
7,2023-04-07,sh.601330,7.4400,7.6300,7.3500,7.4200,40572043,302561398.3700
8,2023-04-14,sh.601330,7.4200,7.6300,7.3300,7.6300,33047062,247460162.6500
9,2023-04-21,sh.601330,7.6300,7.7600,7.4300,7.4300,33129046,251327062.3700
10,2023-04-28,sh.601330,7.4200,7.8800,7.3600,7.8000,42210447,324237535.5500
11,2023-05-05,sh.601330,7.7000,8.0400,7.6400,7.8600,22350592,175828332.7200
12,2023-05-12,sh.601330,7.8400,8.3600,7.7600,7.9700,61533025,496111043.7000
13,2023-05-19,sh.601330,7.8800,8.0200,7.6000,7.6100,37406158,291939975.2500
14,2023-05-26,sh.601330,7.6900,8.2000,7.3200,7.5400,40373564,309659575.9500
15,2023-06-02,sh.601330,7.5300,7.6500,7.4500,7.4900,19551037,147620708.5900
16,2023-06-09,sh.601330,7.5100,7.6200,7.2500,7.2700,18897081,139860378.7800
17,2023-06-16,sh.601330,7.2700,7.3900,7.1900,7.3300,19269932,140531482.8800
18,2023-06-21,sh.601330,7.3500,7.4500,7.1900,7.4200,17156549,125596122.8200
19,2023-06-30,sh.601330,7.4300,7.5800,7.3300,7.3900,29149031,216687749.4000
20,2023-07-07,sh.601330,7.3800,7.4700,7.2200,7.4500,19633508,145114762.9600
21,2023-07-14,sh.601330,7.4700,7.5400,7.3800,7.4800,19685595,147020000.4500
22,2023-07-21,sh.601330,7.4600,7.6200,7.3800,7.4700,18549260,139311737.9700
23,2023-07-28,sh.601330,7.4600,7.5500,7.4100,7.5000,20168120,150944678.3000
24,2023-08-04,sh.601330,7.5200,7.6800,7.5200,7.5500,22950348,174397114.8600
25,2023-08-11,sh.601330,7.5500,7.5800,7.3600,7.3600,13443092,100832314.8500
26,2023-08-18,sh.601330,7.3500,7.4100,7.1100,7.2900,18163902,131920387.3000
27,2023-08-25,sh.601330,7.3200,7.5000,7.1300,7.3000,27689647,202322888.7400
28,2023-09-01,sh.601330,7.5500,7.5900,7.0700,7.1400,29625093,216415353.7500
29,2023-09-08,sh.601330,7.1400,7.2100,6.9900,7.0000,16757277,119352181.3200
30,2023-09-15,sh.601330,7.0100,7.1900,6.9500,7.1100,12603702,89551437.1600
31,2023-09-22,sh.601330,7.1000,7.2600,7.0300,7.0900,23470292,167375723.5800
32,2023-09-28,sh.601330,7.0700,7.1100,7.0000,7.0300,9828582,69300168.8700
33,2023-10-13,sh.601330,7.0300,7.0300,6.8400,6.8600,11643655,80560134.7100
34,2023-10-20,sh.601330,6.8600,6.8800,6.6300,6.6500,12373146,83304052.1700
35,2023-10-27,sh.601330,6.6600,6.8900,6.4600,6.8600,14107470,94397300.2000
36,2023-11-03,sh.601330,6.8500,6.9200,6.7900,6.8400,12046857,82492898.1600
37,2023-11-10,sh.601330,6.8900,6.9200,6.7100,6.8100,15178855,103717531.0300
38,2023-11-17,sh.601330,6.8300,6.8900,6.7600,6.8400,15048487,102776103.3600
39,2023-11-24,sh.601330,6.8300,6.9400,6.8100,6.8700,15075022,103809902.7900
40,2023-12-01,sh.601330,6.8500,6.9300,6.7800,6.8900,12024800,82554269.0000
41,2023-12-08,sh.601330,6.9000,6.9500,6.6700,6.6800,14053169,95348660.9200
42,2023-12-15,sh.601330,6.6700,6.8700,6.6000,6.7900,13708169,92675026.4500
43,2023-12-22,sh.601330,6.7700,6.7800,6.5200,6.6000,13425969,89181223.0900
44,2023-12-29,sh.601330,6.5800,6.6700,6.4100,6.6400,13760499,89731648.5000
45,2024-01-05,sh.601330,6.6600,6.9200,6.6300,6.8500,17080819,116643719.2600
46,2024-01-12,sh.601330,6.8400,7.0100,6.7000,6.8900,20189659,138243556.6300
47,2024-01-19,sh.601330,6.8000,6.9200,6.4000,6.4700,19646502,130456309.4800
48,2024-01-26,sh.601330,6.4300,6.7200,5.9200,6.6700,24627700,155423082.9500
49,2024-02-02,sh.601330,6.6700,7.0600,6.3000,6.5400,46845678,308198273.9600
50,2024-02-08,sh.601330,6.4000,6.8400,6.1700,6.7300,39665448,257198374.9400
51,2024-02-23,sh.601330,6.7100,6.8800,6.6300,6.7700,26593467,179233687.3700
52,2024-03-01,sh.601330,6.7800,6.9900,6.7000,6.8500,29693916,203091321.2800
53,2024-03-08,sh.601330,6.8600,6.9100,6.7500,6.8600,18451135,125967481.6500
54,2024-03-15,sh.601330,6.8700,7.0500,6.8600,7.0300,21955529,152263522.1900
55,2024-03-22,sh.601330,7.0800,7.0800,6.7800,6.8100,20612900,143225278.9800
56,2024-03-29,sh.601330,6.8200,6.8700,6.6800,6.7100,18347604,124457380.2800
57,2024-04-03,sh.601330,6.7300,6.9400,6.7300,6.9300,11889952,81466492.3700
