,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.601609,7.1500,7.3000,6.9500,6.9800,39298031,280674522.1000
1,2023-02-24,sh.601609,6.9900,7.2200,6.9600,7.0900,26792802,191156172.9700
2,2023-03-03,sh.601609,7.0900,7.1400,7.0100,7.0700,24577457,173925623.1100
3,2023-03-10,sh.601609,7.0700,7.0900,6.8500,6.8900,25487673,177839288.6500
4,2023-03-17,sh.601609,6.8600,6.8900,6.7500,6.7700,23346200,159129072.0400
5,2023-03-24,sh.601609,6.7900,6.9400,6.7600,6.9000,19631951,134891475.1100
6,2023-03-31,sh.601609,6.9000,6.9000,6.6800,6.7600,17989427,121993156.6600
7,2023-04-07,sh.601609,6.7800,6.8100,6.6300,6.6800,17130062,114726446.9700
8,2023-04-14,sh.601609,6.6800,6.8000,6.5800,6.7800,26347270,176737982.0900
9,2023-04-21,sh.601609,6.7900,6.8300,6.5800,6.5800,23769800,160247137.0000
10,2023-04-28,sh.601609,6.5700,6.8800,6.5300,6.7800,27312061,182932738.4000
11,2023-05-05,sh.601609,6.7400,6.8300,6.6800,6.7700,10938724,73909947.6400
12,2023-05-12,sh.601609,6.7900,6.8500,6.6500,6.6700,29391029,198594723.7600
13,2023-05-19,sh.601609,6.6400,6.7200,6.6300,6.6700,13648506,91102666.6900
14,2023-05-26,sh.601609,6.6600,6.7000,6.5000,6.5900,16930546,111711431.7500
15,2023-06-02,sh.601609,6.6000,6.6200,6.4800,6.5300,25696725,167811729.4600
16,2023-06-09,sh.601609,6.5300,6.5300,6.3600,6.3700,17018300,109516716.1500
17,2023-06-16,sh.601609,6.3700,6.4600,6.3300,6.4000,15916168,101875433.9400
18,2023-06-21,sh.601609,6.4100,6.4100,6.2800,6.2900,9315908,59019437.1200
19,2023-06-30,sh.601609,6.3100,6.5200,6.2200,6.4900,17864080,113920588.3400
20,2023-07-07,sh.601609,6.5100,6.6900,6.4800,6.6700,29891750,197393922.3900
21,2023-07-14,sh.601609,6.6600,6.7700,6.6200,6.7000,21960362,146914292.4100
22,2023-07-21,sh.601609,6.7000,6.7900,6.6200,6.7200,19079385,128156946.5000
23,2023-07-28,sh.601609,6.7300,6.7900,6.5100,6.6300,42956322,287677095.9700
24,2023-08-04,sh.601609,6.6300,6.8700,6.6100,6.7600,38155520,258064865.8500
25,2023-08-11,sh.601609,6.7700,6.7800,6.5200,6.5300,22537150,150015083.0000
26,2023-08-18,sh.601609,6.5100,6.5700,6.3800,6.4300,20147970,130409097.6000
27,2023-08-25,sh.601609,6.4300,6.6400,6.3600,6.4000,32928219,213467576.6000
28,2023-09-01,sh.601609,6.6600,6.7000,6.4500,6.6700,42925444,283093084.6500
29,2023-09-08,sh.601609,6.6900,6.7700,6.6300,6.6400,31611522,212441221.1900
30,2023-09-15,sh.601609,6.6500,6.8000,6.6300,6.7800,27829584,187608935.7800
31,2023-09-22,sh.601609,6.7600,6.8000,6.6600,6.7300,23576213,158999765.1600
32,2023-09-28,sh.601609,6.7100,6.7500,6.5700,6.6700,18805362,125178456.5800
33,2023-10-13,sh.601609,6.6400,6.8400,6.6100,6.8200,30415262,205072579.6400
34,2023-10-20,sh.601609,6.8200,6.8900,6.5200,6.5500,35841265,240390194.6500
35,2023-10-27,sh.601609,6.5300,6.8100,6.3000,6.7700,36127606,237550103.2700
36,2023-11-03,sh.601609,6.7800,6.9700,6.7700,6.8500,41171027,283106505.5500
37,2023-11-10,sh.601609,6.9300,6.9600,6.7200,6.7400,37529768,256099960.2600
38,2023-11-17,sh.601609,6.7400,6.9200,6.6400,6.9100,29871297,202108630.8700
39,2023-11-24,sh.601609,6.9100,7.0300,6.8500,6.9400,33562630,233148024.0000
40,2023-12-01,sh.601609,6.9300,7.0200,6.8400,6.8700,29567781,204492078.4600
41,2023-12-08,sh.601609,6.8700,6.9500,6.7200,6.7400,30064116,205008456.0000
42,2023-12-15,sh.601609,6.7000,6.8000,6.6000,6.6400,25839400,173311442.0000
43,2023-12-22,sh.601609,6.6100,6.6600,6.4000,6.5700,28470943,185833523.7600
44,2023-12-29,sh.601609,6.5200,6.7700,6.4600,6.7700,28056395,184993458.0900
45,2024-01-05,sh.601609,6.7700,6.9000,6.7400,6.8000,32705376,223956032.3000
46,2024-01-12,sh.601609,6.8000,6.8100,6.6200,6.7000,25518990,171039196.1000
47,2024-01-19,sh.601609,6.7000,6.7500,6.1300,6.2100,38792166,248398469.6100
48,2024-01-26,sh.601609,6.1600,6.2800,5.5700,6.2400,50914635,301851782.7800
49,2024-02-02,sh.601609,6.2400,6.2800,5.1800,5.3500,45674726,263452771.5300
50,2024-02-08,sh.601609,5.2800,5.6700,4.7500,5.6400,72332483,379432207.0100
51,2024-02-23,sh.601609,5.6500,5.9000,5.4900,5.8400,46104311,262922498.2200
52,2024-03-01,sh.601609,5.8100,6.0100,5.6500,5.8100,45907000,268261548.0000
53,2024-03-08,sh.601609,5.8100,5.9700,5.6500,5.8500,42921834,248564906.9400
54,2024-03-15,sh.601609,5.7900,6.0800,5.7500,6.0800,53969530,318024386.2000
55,2024-03-22,sh.601609,6.1700,6.2900,5.9800,6.0900,62093329,378923538.0300
56,2024-03-29,sh.601609,6.0500,6.1600,5.8100,6.1500,45110320,271457114.6700
57,2024-04-03,sh.601609,6.2200,6.5500,6.2000,6.5300,46545861,298028627.6300
