,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.601658,4.5700,4.6600,4.5000,4.5600,554839206,2540175105.4700
1,2023-02-24,sh.601658,4.5600,4.6900,4.5300,4.5400,638345646,2944302168.3300
2,2023-03-03,sh.601658,4.5300,4.8900,4.5000,4.8900,864779499,4035159585.2100
3,2023-03-10,sh.601658,4.8500,4.9800,4.7000,4.7100,1083493514,5233425385.7200
4,2023-03-17,sh.601658,4.6900,5.0000,4.6800,4.9500,955409702,4628672274.9000
5,2023-03-24,sh.601658,4.9500,5.0200,4.6600,4.6800,884088935,4258888737.1500
6,2023-03-31,sh.601658,4.6800,4.8500,4.5800,4.6500,1046469636,4910640804.7700
7,2023-04-07,sh.601658,4.6500,4.7700,4.6100,4.6900,622910632,2915077854.4300
8,2023-04-14,sh.601658,4.6700,4.9600,4.6500,4.9500,924693909,4441565512.8000
9,2023-04-21,sh.601658,4.9300,5.5000,4.9000,5.3300,1422809130,7504044917.6700
10,2023-04-28,sh.601658,5.3700,5.6400,5.2600,5.5100,1013685161,5528905776.1700
11,2023-05-05,sh.601658,5.4700,5.9000,5.3900,5.7200,431900043,2467839223.0300
12,2023-05-12,sh.601658,5.7200,6.1500,5.2100,5.2400,1431826529,8042048546.4000
13,2023-05-19,sh.601658,5.2500,5.5300,5.1800,5.4000,847261406,4548267224.6400
14,2023-05-26,sh.601658,5.3800,5.5500,5.0800,5.2000,587769061,3106129476.9100
15,2023-06-02,sh.601658,5.1900,5.3000,5.0800,5.2100,507390289,2635391845.4700
16,2023-06-09,sh.601658,5.2000,5.5300,5.1700,5.5100,596513629,3184688452.9400
17,2023-06-16,sh.601658,5.5000,5.5100,5.1000,5.1200,661094940,3510037793.8200
18,2023-06-21,sh.601658,5.1200,5.1300,4.9500,4.9900,371078747,1865165041.4200
19,2023-06-30,sh.601658,4.9700,4.9800,4.8400,4.8900,516998662,2536674243.9600
20,2023-07-07,sh.601658,4.9000,5.0200,4.8600,4.8800,505106305,2494989974.7500
21,2023-07-14,sh.601658,4.9100,5.0200,4.7200,4.8500,538108823,2629379031.8500
22,2023-07-21,sh.601658,4.8300,4.8500,4.7300,4.7500,374238498,1786850071.8400
23,2023-07-28,sh.601658,4.7400,5.2400,4.7200,5.2300,596183630,2977876234.9600
24,2023-08-04,sh.601658,5.2200,5.3700,4.9000,5.0400,730943363,3706771631.4800
25,2023-08-11,sh.601658,5.0100,5.0500,4.9000,4.9200,342581876,1708771104.2700
26,2023-08-18,sh.601658,4.8800,5.0000,4.8000,4.8900,542900953,2657264035.9500
27,2023-08-25,sh.601658,4.9000,4.9400,4.8000,4.8500,454635129,2209538611.1800
28,2023-09-01,sh.601658,5.0200,5.1200,4.8200,4.9000,657754218,3234097440.9100
29,2023-09-08,sh.601658,4.9300,5.0500,4.8700,4.9000,477728813,2363939049.5500
30,2023-09-15,sh.601658,4.9000,5.0600,4.8500,4.9900,487775204,2405621777.8500
31,2023-09-22,sh.601658,4.9700,5.1400,4.9300,5.0700,463606986,2338435744.5400
32,2023-09-28,sh.601658,5.0700,5.1200,4.9600,4.9700,331757842,1668285058.2300
33,2023-10-13,sh.601658,4.9500,5.1400,4.8800,5.0800,517492200,2588337171.8000
34,2023-10-20,sh.601658,5.0900,5.1800,4.9100,4.9200,438767317,2220710128.2700
35,2023-10-27,sh.601658,4.9000,4.9400,4.7200,4.7900,553934160,2652012331.4000
36,2023-11-03,sh.601658,4.7600,4.7600,4.5100,4.6400,719913605,3318428002.3900
37,2023-11-10,sh.601658,4.6500,4.6600,4.5500,4.5700,398492273,1828933883.6500
38,2023-11-17,sh.601658,4.5600,4.5800,4.4800,4.5000,450713711,2041518590.9200
39,2023-11-24,sh.601658,4.5100,4.5700,4.4900,4.5400,327001523,1482659524.8000
40,2023-12-01,sh.601658,4.5400,4.5500,4.3300,4.4200,602787164,2659198916.9600
41,2023-12-08,sh.601658,4.4200,4.4400,4.2800,4.3700,384270879,1675626861.2700
42,2023-12-15,sh.601658,4.3500,4.4100,4.2800,4.3400,404009303,1757395020.3100
43,2023-12-22,sh.601658,4.3200,4.3400,4.2300,4.2900,421759665,1808184693.9100
44,2023-12-29,sh.601658,4.3000,4.3700,4.2100,4.3500,423608301,1821509263.6300
45,2024-01-05,sh.601658,4.3500,4.5100,4.3100,4.4600,482365913,2121077237.0200
46,2024-01-12,sh.601658,4.4500,4.4800,4.3400,4.3400,459815819,2019359443.7900
47,2024-01-19,sh.601658,4.3300,4.5100,4.2900,4.4000,612277034,2699907181.8900
48,2024-01-26,sh.601658,4.3900,4.6900,4.3700,4.6600,805370826,3632329074.7200
49,2024-02-02,sh.601658,4.6700,4.8200,4.6300,4.7000,779737522,3683557295.5200
50,2024-02-08,sh.601658,4.7000,4.8800,4.5900,4.6900,884060696,4187195453.8700
51,2024-02-23,sh.601658,4.7100,5.0500,4.6700,4.9900,754954828,3672566320.6400
52,2024-03-01,sh.601658,4.9800,4.9900,4.7800,4.8400,578770096,2803557224.3900
53,2024-03-08,sh.601658,4.8200,4.8700,4.7300,4.8600,595961411,2866191568.7900
54,2024-03-15,sh.601658,4.8600,4.8800,4.7100,4.7400,457544312,2187122275.5000
55,2024-03-22,sh.601658,4.7400,4.7800,4.6800,4.7400,407137302,1927556664.8700
56,2024-03-29,sh.601658,4.7400,4.8800,4.7200,4.7500,569438983,2728288304.5900
57,2024-04-03,sh.601658,4.7500,4.7700,4.7000,4.7100,352158136,1669451967.4500
