,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.601702,15.9100,16.0500,14.4700,14.6000,42944629,658179333.2300
1,2023-02-24,sh.601702,14.6100,15.2300,14.5800,14.7700,22880899,341147679.4100
2,2023-03-03,sh.601702,14.7800,14.8000,13.8600,13.9600,34700796,494589489.7000
3,2023-03-10,sh.601702,13.9100,14.1400,12.9600,13.3800,46176083,621961240.5400
4,2023-03-17,sh.601702,13.2100,13.5500,12.5000,12.5600,50787891,663170762.6600
5,2023-03-24,sh.601702,12.6200,13.4300,12.3100,13.0600,34355262,443813176.7800
6,2023-03-31,sh.601702,13.1000,13.1000,12.5200,12.8300,40813280,519957956.5700
7,2023-04-07,sh.601702,12.7700,13.5600,12.2500,12.9300,53391770,685802857.7600
8,2023-04-14,sh.601702,13.0300,13.9800,12.9700,13.6700,94160038,1283550264.1400
9,2023-04-21,sh.601702,13.5600,13.9900,12.8000,12.8700,43812119,588412772.1700
10,2023-04-28,sh.601702,12.8000,14.4000,12.1700,13.5600,74815142,999733206.2400
11,2023-05-05,sh.601702,13.6000,13.6100,11.9400,12.1000,34667894,435942709.5200
12,2023-05-12,sh.601702,12.1100,12.6900,11.7200,12.2500,53847190,657259795.3000
13,2023-05-19,sh.601702,12.2300,13.1700,12.2300,12.9000,38007918,483312319.7800
14,2023-05-26,sh.601702,12.8100,13.2500,12.4200,12.7500,31957109,411305156.0200
15,2023-06-02,sh.601702,12.7300,13.7500,12.5800,13.5700,42052893,548639992.0500
16,2023-06-09,sh.601702,13.6200,13.6600,12.6900,12.8900,43504359,568383827.2500
17,2023-06-16,sh.601702,12.8900,14.2800,12.7100,13.9700,63286759,859124560.9800
18,2023-06-21,sh.601702,13.9400,14.0900,13.4000,13.4300,19569480,267848860.6200
19,2023-06-30,sh.601702,13.5600,13.8200,13.1900,13.6800,36359925,491015628.5200
20,2023-07-07,sh.601702,13.6800,15.7900,13.6800,14.8200,114540514,1707113085.0400
21,2023-07-14,sh.601702,14.7100,15.3900,14.6600,14.8300,49905130,747598253.0100
22,2023-07-21,sh.601702,14.6500,15.1500,14.0800,14.4200,27882840,406857129.6000
23,2023-07-28,sh.601702,14.3500,15.2000,14.1000,14.8200,48178704,708968923.1800
24,2023-08-04,sh.601702,14.7200,15.5900,14.7200,15.4500,46331166,707480991.1000
25,2023-08-11,sh.601702,15.3800,15.3800,14.4700,14.5400,23064058,344868761.1700
26,2023-08-18,sh.601702,14.2800,14.8000,14.0100,14.3400,19633809,283777460.1900
27,2023-08-25,sh.601702,14.4400,15.4000,14.3400,15.2400,29374801,443315953.4800
28,2023-09-01,sh.601702,15.8700,16.8500,14.8000,16.1800,45912376,733127134.5100
29,2023-09-08,sh.601702,16.1800,16.2800,14.9000,15.9900,39569341,619143939.9200
30,2023-09-15,sh.601702,15.8700,16.2200,15.5600,15.9800,20008506,318261791.2100
31,2023-09-22,sh.601702,15.9500,16.1000,15.2100,15.6200,12268740,192218567.3600
32,2023-09-28,sh.601702,15.6400,15.6700,14.6900,15.3000,20013120,303085749.3000
33,2023-10-13,sh.601702,15.5400,16.7500,15.3100,16.6400,25590407,415790525.6500
34,2023-10-20,sh.601702,16.6400,16.6900,15.6000,15.8400,14256281,227994761.6600
35,2023-10-27,sh.601702,15.7800,16.4200,15.5300,16.2700,15233579,243725096.4900
36,2023-11-03,sh.601702,16.3000,16.8600,15.8600,15.9500,14262603,232867177.4800
37,2023-11-10,sh.601702,16.0600,16.7700,15.9500,16.4200,20873927,341040677.0000
38,2023-11-17,sh.601702,16.3800,18.2300,16.2800,17.4900,30411435,528144916.6500
39,2023-11-24,sh.601702,17.4900,17.5400,16.7300,16.8300,15615977,267126240.2100
40,2023-12-01,sh.601702,16.7500,17.3300,16.5000,16.9000,15417776,261347098.2700
41,2023-12-08,sh.601702,16.8500,17.1000,15.9800,16.0300,15204808,250837570.9500
42,2023-12-15,sh.601702,16.0500,17.3300,15.8000,16.8000,19896532,332146491.2600
43,2023-12-22,sh.601702,16.9300,17.0000,16.1400,16.4900,10944904,181229929.5500
44,2023-12-29,sh.601702,16.4500,17.9800,16.4200,17.9500,21412573,372222057.8900
45,2024-01-05,sh.601702,17.9700,18.2700,16.4600,17.0700,29283449,505656613.5800
46,2024-01-12,sh.601702,17.1400,17.1600,15.2000,16.6700,37055079,601244227.4000
47,2024-01-19,sh.601702,16.6900,16.8500,15.4600,15.5400,20407397,330616909.3700
48,2024-01-26,sh.601702,15.4500,16.1800,14.1200,15.3900,28417977,435371469.7200
49,2024-02-02,sh.601702,15.3500,15.7800,14.2800,14.7000,25206019,378220991.9200
50,2024-02-08,sh.601702,14.6300,16.8900,13.7400,16.2200,25122896,391986443.4600
51,2024-02-23,sh.601702,16.5900,16.5900,15.2000,15.7800,25833241,406640790.1100
52,2024-03-01,sh.601702,15.7500,16.5000,15.5000,16.1900,26447285,425954880.6600
53,2024-03-08,sh.601702,16.1500,18.2000,16.0000,17.5900,27195158,468254983.7000
54,2024-03-15,sh.601702,17.6400,19.0900,17.5600,18.8500,23395782,426579447.2700
55,2024-03-22,sh.601702,18.9600,19.0800,17.7800,17.8800,19157156,351768713.6400
56,2024-03-29,sh.601702,17.9500,19.4700,17.5000,18.7600,30591811,562551294.9300
57,2024-04-03,sh.601702,18.8600,19.1500,18.2000,18.9000,19909658,372907122.1100
