,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.601799,134.4900,145.5000,132.7200,136.1200,8680880,1206320812.1800
1,2023-02-24,sh.601799,136.1600,148.5000,133.0000,141.7700,7741903,1094566261.9000
2,2023-03-03,sh.601799,142.0000,159.8000,140.1900,142.4200,12121556,1787418552.4100
3,2023-03-10,sh.601799,142.4200,142.5700,130.0100,133.3500,7761479,1059015379.7000
4,2023-03-17,sh.601799,132.9800,135.0100,123.0000,123.8600,6459659,831718877.5800
5,2023-03-24,sh.601799,123.8900,134.2100,120.5800,126.7000,9875534,1257574919.0900
6,2023-03-31,sh.601799,126.7900,129.7700,116.3000,119.9000,12560042,1531306422.2200
7,2023-04-07,sh.601799,118.8700,121.3200,112.5200,119.5200,6520213,756874105.2100
8,2023-04-14,sh.601799,119.5000,122.6800,114.5000,119.2200,6519587,763316011.4300
9,2023-04-21,sh.601799,119.1300,121.9600,114.0000,114.1700,6383330,754985324.0300
10,2023-04-28,sh.601799,114.1700,116.1400,107.5800,109.4500,5948848,661902506.1000
11,2023-05-05,sh.601799,109.0000,112.8000,105.0000,106.2000,2079449,224440608.7400
12,2023-05-12,sh.601799,108.5500,115.0000,104.5400,111.0100,7795153,851384783.5000
13,2023-05-19,sh.601799,111.2400,112.4800,105.6500,107.3500,4593070,499638739.9900
14,2023-05-26,sh.601799,107.3500,112.4800,105.8100,108.3200,3864978,422055088.4700
15,2023-06-02,sh.601799,107.2000,112.4800,104.8600,111.1900,4484427,485351816.6900
16,2023-06-09,sh.601799,111.2000,112.0000,105.0000,106.5800,4387630,475908482.8200
17,2023-06-16,sh.601799,106.5700,121.0000,106.0300,115.5000,6791650,782362766.7700
18,2023-06-21,sh.601799,115.3600,119.2200,115.3600,116.3100,4642166,544276895.6200
19,2023-06-30,sh.601799,115.5400,123.7500,115.0000,123.6000,5242771,626755230.9600
20,2023-07-07,sh.601799,123.5800,134.9000,123.0300,134.6000,8064073,1057277019.3400
21,2023-07-14,sh.601799,134.6000,134.8500,128.3400,129.8500,4878816,641291759.5200
22,2023-07-21,sh.601799,129.5000,135.1600,129.5000,133.0700,3575777,471033152.3000
23,2023-07-28,sh.601799,133.0700,151.5000,129.6000,143.0000,9932576,1395593690.0600
24,2023-08-04,sh.601799,142.8400,152.0000,137.3800,140.8500,8334848,1202183856.5300
25,2023-08-11,sh.601799,141.1400,148.6400,139.6900,140.1200,4541780,649510179.9300
26,2023-08-18,sh.601799,139.0000,140.1400,132.8100,136.5100,6652646,908776243.4900
27,2023-08-25,sh.601799,136.3300,136.9900,132.0500,135.3400,5079816,682671051.9200
28,2023-09-01,sh.601799,142.0000,150.7000,134.1100,147.8600,7935518,1151381784.1200
29,2023-09-08,sh.601799,146.0000,156.2000,144.1700,151.8000,7810980,1169374942.6400
30,2023-09-15,sh.601799,151.7400,156.8000,145.5500,148.2500,6708143,1010769060.5400
31,2023-09-22,sh.601799,151.2100,156.8000,145.0000,145.2200,7041266,1062922751.8400
32,2023-09-28,sh.601799,145.2200,153.4900,145.2200,152.0000,5953836,891142676.7500
33,2023-10-13,sh.601799,153.6600,163.0000,149.5800,150.5000,10112956,1567386558.9700
34,2023-10-20,sh.601799,150.6000,157.5600,147.6600,149.3900,6294889,963569967.5600
35,2023-10-27,sh.601799,149.6900,151.5500,135.0900,142.8900,13731501,1964212977.3700
36,2023-11-03,sh.601799,141.5000,151.7900,140.1500,145.6600,6660896,970438714.6900
37,2023-11-10,sh.601799,146.4200,148.7500,139.6200,143.5000,6539485,939416531.2400
38,2023-11-17,sh.601799,143.4200,144.0000,139.2900,143.9600,4885594,690270503.5300
39,2023-11-24,sh.601799,143.9900,144.5000,138.0500,142.5000,4154833,590336226.1900
40,2023-12-01,sh.601799,142.3200,147.0000,139.8900,144.4000,6073274,871273010.3800
41,2023-12-08,sh.601799,144.0000,144.7100,132.1000,132.9100,5123370,701844715.1800
42,2023-12-15,sh.601799,132.2400,141.5000,130.2100,138.0200,4600939,633623770.5300
43,2023-12-22,sh.601799,138.5000,139.2000,129.7100,130.5300,4411931,587897860.5700
44,2023-12-29,sh.601799,131.0000,135.0000,126.5000,131.1100,9465007,1231029156.2000
45,2024-01-05,sh.601799,130.1800,130.9900,122.2000,122.7400,4735219,597519568.6000
46,2024-01-12,sh.601799,122.8000,132.0000,118.0000,131.0000,7475789,925097275.5500
47,2024-01-19,sh.601799,133.0000,137.3000,126.7200,136.6900,7249520,951529357.9600
48,2024-01-26,sh.601799,137.0000,139.3800,128.8800,131.4600,7444146,984909669.3500
49,2024-02-02,sh.601799,131.3000,133.2800,120.3500,123.2100,7266698,930634588.0500
50,2024-02-08,sh.601799,124.0000,138.8000,121.2200,137.9400,6159654,798108084.2300
51,2024-02-23,sh.601799,138.3000,139.5000,128.0300,135.0000,6487149,866696335.6500
52,2024-03-01,sh.601799,137.7000,142.5000,133.5900,141.2500,6120496,850922837.9800
53,2024-03-08,sh.601799,141.0500,151.1200,140.3600,149.4600,5957533,875395221.7500
54,2024-03-15,sh.601799,149.4500,152.0000,141.7000,152.0000,4787733,698798055.5600
55,2024-03-22,sh.601799,152.0000,152.8500,140.5100,144.0000,4366425,633138697.4700
56,2024-03-29,sh.601799,143.7300,145.4900,136.5100,140.0600,4524316,638482848.5800
57,2024-04-03,sh.601799,140.1000,144.7800,137.8000,139.0400,3484595,490049056.4900
