,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.601801,5.6200,5.8600,5.5100,5.5500,82427440,465303215.5300
1,2023-02-24,sh.601801,5.5700,5.7300,5.5600,5.6500,50900934,288016893.4800
2,2023-03-03,sh.601801,5.5900,5.8000,5.5400,5.7800,43724588,247909503.6900
3,2023-03-10,sh.601801,5.7900,5.9900,5.6500,5.6700,56129337,326023371.1600
4,2023-03-17,sh.601801,5.6500,5.9000,5.6000,5.8800,59307256,342616230.7400
5,2023-03-24,sh.601801,5.9000,6.2200,5.8300,6.1700,71410047,432107289.0000
6,2023-03-31,sh.601801,6.1500,6.4500,6.1200,6.3500,82682683,518481318.4700
7,2023-04-07,sh.601801,6.3500,6.5500,6.1900,6.2800,65421563,417202077.9800
8,2023-04-14,sh.601801,6.2800,7.0900,6.1800,6.6600,127066975,846463031.0900
9,2023-04-21,sh.601801,6.6200,7.0700,6.3900,6.6900,99611651,667487035.3500
10,2023-04-28,sh.601801,6.6000,7.9200,6.5400,7.9200,316037739,2285137149.3200
11,2023-05-05,sh.601801,8.6100,9.5800,8.5500,9.5800,93945956,873906454.7800
12,2023-05-12,sh.601801,9.5000,10.5200,8.6200,9.9400,568902872,5471319454.4300
13,2023-05-19,sh.601801,10.0000,10.2600,8.0200,8.6500,389140991,3489305726.2000
14,2023-05-26,sh.601801,8.5900,9.1600,8.0800,8.7800,231904305,1985254439.9100
15,2023-06-02,sh.601801,8.7800,9.9300,8.4400,9.6400,368988311,3407793453.6700
16,2023-06-09,sh.601801,9.7000,11.2800,9.7000,10.1900,395609092,4142675799.3100
17,2023-06-16,sh.601801,9.9900,11.6500,9.8500,10.6200,243072734,2603433363.9700
18,2023-06-21,sh.601801,10.9900,11.3800,9.8100,10.0100,152697277,1591069758.6800
19,2023-06-30,sh.601801,9.8300,10.0900,8.6200,9.3900,198344123,1833217611.6000
20,2023-07-07,sh.601801,9.3400,9.3900,8.3900,8.6200,122192345,1081630099.1200
21,2023-07-14,sh.601801,8.6600,8.8600,8.2000,8.6100,96252251,823692852.8500
22,2023-07-21,sh.601801,8.5900,8.7700,8.0400,8.2100,80536849,674068205.5300
23,2023-07-28,sh.601801,8.1600,8.3700,7.7100,7.8300,101834309,816734223.2300
24,2023-08-04,sh.601801,7.8000,8.0500,7.7000,7.9900,62809317,497520719.3400
25,2023-08-11,sh.601801,7.9800,8.6100,7.6800,7.7300,102529347,834449668.7200
26,2023-08-18,sh.601801,7.6600,8.1300,7.6100,7.7100,59017494,464359999.4500
27,2023-08-25,sh.601801,7.6900,8.1700,7.6000,7.7000,81273044,638914678.3700
28,2023-09-01,sh.601801,8.1400,8.3200,7.7100,7.9800,97060594,779562964.0200
29,2023-09-08,sh.601801,8.0000,8.0500,7.0800,7.0900,87642070,657148892.9300
30,2023-09-15,sh.601801,7.1100,7.5900,7.1100,7.3300,74989805,550979429.4300
31,2023-09-22,sh.601801,7.2300,7.3500,6.9700,7.3200,61235748,439429635.6900
32,2023-09-28,sh.601801,7.3000,7.3700,7.0800,7.2600,51175885,369706554.5400
33,2023-10-13,sh.601801,7.2200,8.0000,7.0300,7.3200,221051087,1649485952.0600
34,2023-10-20,sh.601801,7.2800,7.2800,6.5400,6.6000,180034508,1234068704.2200
35,2023-10-27,sh.601801,6.5400,7.0400,6.2800,7.0200,149890038,1002865070.8500
36,2023-11-03,sh.601801,6.9900,7.0300,6.5400,6.8000,166030989,1110335578.2000
37,2023-11-10,sh.601801,6.8200,7.4800,6.7800,7.1100,118724383,849918653.7900
38,2023-11-17,sh.601801,7.1300,8.5800,7.0600,8.2000,252210627,1972961025.7600
39,2023-11-24,sh.601801,8.2000,8.2400,7.5100,7.6100,250508333,1958204837.0400
40,2023-12-01,sh.601801,7.5400,7.7100,7.2500,7.5700,118596569,883999323.9600
41,2023-12-08,sh.601801,7.6000,7.7800,7.2700,7.5700,117618828,895544897.7000
42,2023-12-15,sh.601801,7.6800,8.7000,7.5800,8.0800,263904227,2147164331.3100
43,2023-12-22,sh.601801,8.1200,8.2200,6.7700,6.7700,154795504,1170372169.8500
44,2023-12-29,sh.601801,6.7100,7.0000,6.5700,6.9500,152650757,1025226540.0100
45,2024-01-05,sh.601801,6.9800,7.3200,6.9000,7.0800,82897591,589883179.3800
46,2024-01-12,sh.601801,7.0300,7.0900,6.7000,6.9000,88999938,613189407.3500
47,2024-01-19,sh.601801,6.8300,7.0000,6.4800,6.7200,79022335,534531791.6000
48,2024-01-26,sh.601801,6.6500,7.1000,6.1100,7.0100,138019801,914000231.8600
49,2024-02-02,sh.601801,6.9500,6.9800,5.9000,6.2300,132232500,856851325.6700
50,2024-02-08,sh.601801,6.1000,6.4600,5.1700,6.4300,218240193,1264736031.8000
51,2024-02-23,sh.601801,6.5400,6.8200,6.3700,6.7500,142148272,938348208.7300
52,2024-03-01,sh.601801,6.7100,7.3000,6.5900,7.1300,131908301,915477882.4400
53,2024-03-08,sh.601801,7.0900,7.5700,6.8800,7.4500,191583917,1394213137.4800
54,2024-03-15,sh.601801,7.4000,8.0000,7.1800,7.5200,235774759,1769912559.1200
55,2024-03-22,sh.601801,7.5600,8.7600,7.5400,8.4800,211213057,1728504778.0300
56,2024-03-29,sh.601801,8.4500,8.5400,7.3800,7.6200,131257110,1023123568.1800
57,2024-04-03,sh.601801,7.6200,8.0800,7.5300,7.7800,72144435,562463430.2000
