,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.601968,6.8900,6.9600,6.6300,6.6600,25210320,172073512.6000
1,2023-02-24,sh.601968,6.6800,7.1300,6.6500,6.9200,32236600,223305115.0000
2,2023-03-03,sh.601968,6.9100,7.1100,6.8500,7.0300,20397100,142792883.0000
3,2023-03-10,sh.601968,7.0600,7.6800,7.0400,7.3700,48817343,362177024.1100
4,2023-03-17,sh.601968,7.3900,7.5200,7.1300,7.1600,23760000,173349345.0000
5,2023-03-24,sh.601968,7.1600,7.2300,6.9600,7.0300,27419900,194072515.0000
6,2023-03-31,sh.601968,7.0400,7.7700,6.9800,7.2700,58261406,429579560.9900
7,2023-04-07,sh.601968,7.2300,7.2900,6.9900,7.0000,26276201,186873354.0200
8,2023-04-14,sh.601968,6.9900,7.3000,6.9700,7.2300,24469481,173302101.0800
9,2023-04-21,sh.601968,7.2600,7.3400,6.9100,6.9400,22230580,158316696.0000
10,2023-04-28,sh.601968,6.9400,6.9500,6.5500,6.7700,22310390,150480993.2100
11,2023-05-05,sh.601968,6.7800,6.8500,6.5900,6.6100,7079526,47475020.2000
12,2023-05-12,sh.601968,6.6400,6.9300,6.4100,6.4900,19021794,126998816.5000
13,2023-05-19,sh.601968,6.5100,6.6000,6.4500,6.5100,8611276,56115549.2800
14,2023-05-26,sh.601968,6.5400,6.6700,6.3100,6.4100,11341202,73617822.8400
15,2023-06-02,sh.601968,6.4400,6.4600,6.2700,6.4100,8903169,56803202.1600
16,2023-06-09,sh.601968,6.4300,7.1400,6.4300,7.0900,43213247,293680343.3300
17,2023-06-16,sh.601968,7.0700,7.3400,6.8800,7.2300,34139501,242386717.0000
18,2023-06-21,sh.601968,7.2500,7.3100,6.9900,7.1100,16560100,118251666.0000
19,2023-06-30,sh.601968,7.0900,7.5000,6.9800,7.2000,33683540,242001493.9700
20,2023-07-07,sh.601968,7.2200,7.3700,7.1000,7.1100,18172611,131459890.6400
21,2023-07-14,sh.601968,7.1500,7.3500,7.0200,7.2500,26877600,192136874.6700
22,2023-07-21,sh.601968,7.2800,7.2800,6.9800,7.0800,20812400,147684107.0000
23,2023-07-28,sh.601968,7.0800,7.1800,6.9000,7.0800,20669245,145908394.0500
24,2023-08-04,sh.601968,7.1000,7.1700,6.9200,6.9300,15992039,112495408.2900
25,2023-08-11,sh.601968,6.9500,6.9500,6.6100,6.6300,23105856,156324868.3600
26,2023-08-18,sh.601968,6.6100,7.3200,6.5900,7.1100,37566372,260677854.9200
27,2023-08-25,sh.601968,7.0700,7.0800,6.2000,6.2900,39455100,259472596.0000
28,2023-09-01,sh.601968,6.5400,6.6600,6.2600,6.2900,26191000,168714917.0000
29,2023-09-08,sh.601968,6.3300,6.3900,6.1800,6.2600,17682600,111331132.0000
30,2023-09-15,sh.601968,6.3100,6.3100,5.9700,6.0700,24768201,151764034.7100
31,2023-09-22,sh.601968,6.0500,6.1000,5.8400,5.9500,17947679,107377942.6200
32,2023-09-28,sh.601968,5.9400,6.1100,5.8200,5.8800,22588896,134495032.8400
33,2023-10-13,sh.601968,5.8300,5.8500,5.4700,5.5600,23038239,129878335.3400
34,2023-10-20,sh.601968,5.5700,5.7000,5.4000,5.4300,19717717,109159010.5600
35,2023-10-27,sh.601968,5.4200,5.6200,5.2800,5.5900,18195584,99563968.8500
36,2023-11-03,sh.601968,5.5900,5.7900,5.5600,5.6500,28493342,161037574.7900
37,2023-11-10,sh.601968,5.6800,5.7100,5.5500,5.6400,20197401,113468290.6000
38,2023-11-17,sh.601968,5.6400,5.7000,5.5300,5.6000,28636700,160570574.0000
39,2023-11-24,sh.601968,5.6200,5.8100,5.4800,5.5200,33156652,186055105.3200
40,2023-12-01,sh.601968,5.5200,5.6300,5.4200,5.6200,21896261,120578722.5000
41,2023-12-08,sh.601968,5.6300,5.6500,5.2900,5.2900,28926561,157616498.9300
42,2023-12-15,sh.601968,5.2800,6.1700,5.2000,5.5200,123300639,694890143.8800
43,2023-12-22,sh.601968,5.5000,5.5200,4.9900,5.0800,78596711,412287754.9900
44,2023-12-29,sh.601968,5.1000,5.1400,4.8200,5.1300,39862828,198087082.4100
45,2024-01-05,sh.601968,5.1300,5.2800,5.1200,5.1800,25166089,131173902.6900
46,2024-01-12,sh.601968,5.1800,5.1900,5.0200,5.0600,25549300,130283215.0000
47,2024-01-19,sh.601968,5.0200,5.1200,4.7500,4.8300,33082600,163908153.0000
48,2024-01-26,sh.601968,4.8300,5.0900,4.4100,5.0300,51573878,244980926.8600
49,2024-02-02,sh.601968,5.0300,6.0800,4.7700,4.7700,226274348,1205605453.7500
50,2024-02-08,sh.601968,4.4300,4.4700,3.8600,4.3500,77815447,325621739.9000
51,2024-02-23,sh.601968,4.3800,5.2100,4.3300,5.1700,140500369,679651602.6100
52,2024-03-01,sh.601968,5.2400,5.4400,4.8400,4.9800,97286300,498844369.0000
53,2024-03-08,sh.601968,4.9600,5.1500,4.7500,4.8800,52834014,259783335.5800
54,2024-03-15,sh.601968,4.9100,5.3300,4.8700,5.2900,53749102,274224238.6400
55,2024-03-22,sh.601968,5.3000,5.3700,5.1500,5.2000,39163039,204890070.2700
56,2024-03-29,sh.601968,5.1800,5.2400,4.9600,5.1900,27755788,141520421.4400
57,2024-04-03,sh.601968,5.2000,5.4600,5.1800,5.3900,21329151,113154498.4900
