,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.603070,19.4800,19.7700,18.3800,18.4800,15627993,301266956.5500
1,2023-02-24,sh.603070,18.5900,18.8800,18.1800,18.6000,7563261,140964986.5600
2,2023-03-03,sh.603070,18.5500,19.2800,18.4300,18.7200,12997088,245236439.5800
3,2023-03-10,sh.603070,18.7300,18.8900,18.0000,18.0800,7754808,142037099.4400
4,2023-03-17,sh.603070,18.0200,18.3200,17.5800,17.8000,6234549,112083458.0000
5,2023-03-24,sh.603070,17.8000,18.3900,17.4800,18.2700,6677218,120522154.7300
6,2023-03-31,sh.603070,18.2000,18.2800,17.7000,17.7600,5339835,95765367.0400
7,2023-04-07,sh.603070,17.8200,17.9100,16.9600,17.1300,7218146,125826802.4900
8,2023-04-14,sh.603070,17.1600,17.4700,16.9000,17.0000,4906815,83745964.3300
9,2023-04-21,sh.603070,17.0300,17.4200,16.1600,16.2000,6462286,109065580.9100
10,2023-04-28,sh.603070,16.1900,16.3700,14.9600,16.1300,6994634,110624851.1100
11,2023-05-05,sh.603070,16.1300,16.6000,15.9800,16.2000,2100271,34103892.3000
12,2023-05-12,sh.603070,16.2000,16.3400,15.7300,15.8000,4075548,65252005.5400
13,2023-05-19,sh.603070,15.8000,17.3700,15.7300,17.0300,11017989,185133429.5400
14,2023-05-26,sh.603070,17.0600,19.2300,17.0600,17.8000,50826062,939309501.1700
15,2023-06-02,sh.603070,17.7600,18.0300,17.0300,17.3000,17783721,310194968.5600
16,2023-06-09,sh.603070,17.3700,19.7900,17.1000,19.0900,44325732,820014603.7300
17,2023-06-16,sh.603070,19.0900,19.3500,18.2400,18.6800,26045129,487169241.1500
18,2023-06-21,sh.603070,18.7500,18.9600,17.8100,17.8100,10255737,187696905.0300
19,2023-06-30,sh.603070,17.7700,18.9400,17.5100,18.6900,18689000,345189883.8700
20,2023-07-07,sh.603070,18.8800,19.8800,18.1000,18.1600,23133802,436071240.7600
21,2023-07-14,sh.603070,18.1400,23.5700,18.1400,20.9500,103401626,2193166600.8700
22,2023-07-21,sh.603070,20.6400,22.5000,19.2300,19.3000,57887032,1204240901.3400
23,2023-07-28,sh.603070,19.1700,19.4200,17.3200,17.4600,26864368,490828717.9400
24,2023-08-04,sh.603070,17.3700,17.6000,17.0100,17.3400,13613241,235965999.4100
25,2023-08-11,sh.603070,17.3500,17.6800,17.1000,17.1000,11874632,206881097.1500
26,2023-08-18,sh.603070,17.0100,17.4100,16.5600,16.9300,9496706,161377082.3000
27,2023-08-25,sh.603070,16.9300,17.0900,15.8100,15.9100,8419241,138812693.6300
28,2023-09-01,sh.603070,16.6800,17.0300,15.7600,16.9800,11302182,186809011.7700
29,2023-09-08,sh.603070,16.9700,17.5800,16.8500,17.3600,11524735,199226322.9000
30,2023-09-15,sh.603070,17.3600,17.4700,16.4700,16.6000,6981879,118882821.6300
31,2023-09-22,sh.603070,16.5900,16.8800,16.0300,16.6800,7108596,116747135.9200
32,2023-09-28,sh.603070,16.5900,16.9900,16.5900,16.9200,6404748,107626068.9000
33,2023-10-13,sh.603070,16.9000,17.3000,16.7600,17.0000,7648785,130412463.1600
34,2023-10-20,sh.603070,17.0000,17.0000,16.1000,16.1000,6703475,110210888.5700
35,2023-10-27,sh.603070,16.1100,16.5600,15.5300,16.5200,7046807,113273683.8800
36,2023-11-03,sh.603070,16.5200,16.8200,16.2800,16.5300,6344059,104798540.9000
37,2023-11-10,sh.603070,16.5300,16.9600,16.4200,16.8100,8431290,141151676.5200
38,2023-11-17,sh.603070,16.8500,17.3000,16.7500,17.0800,10534414,179204320.1400
39,2023-11-24,sh.603070,17.0800,17.1400,16.6200,16.7200,7831137,131864455.3500
40,2023-12-01,sh.603070,16.7200,17.0700,16.5000,16.5900,6642831,111801427.3200
41,2023-12-08,sh.603070,16.6000,16.6000,15.8000,15.8200,8340248,134621896.5000
42,2023-12-15,sh.603070,15.8100,16.1000,15.5400,15.6500,8596900,136032718.5900
43,2023-12-22,sh.603070,15.6100,15.8400,15.2500,15.4100,6998582,108513445.9600
44,2023-12-29,sh.603070,15.4100,16.0900,14.9600,16.0600,6035126,93953053.9600
45,2024-01-05,sh.603070,16.0600,16.1800,15.7000,15.7800,5593008,89437437.9200
46,2024-01-12,sh.603070,15.6500,15.9900,15.2600,15.7300,6530300,102188129.0000
47,2024-01-19,sh.603070,15.7000,15.9500,14.7200,14.7500,9551802,146895631.3400
48,2024-01-26,sh.603070,14.7400,14.9300,13.3000,14.4300,9182497,128665686.9800
49,2024-02-02,sh.603070,14.4800,14.5500,11.2300,11.8000,9699422,124890121.2100
50,2024-02-08,sh.603070,11.7500,11.7500,9.7000,11.0700,14586586,152657096.0200
51,2024-02-23,sh.603070,11.1900,12.4100,11.1900,12.4000,11035024,130101916.6800
52,2024-03-01,sh.603070,12.7200,13.4000,11.8900,12.9800,14566459,185026194.5400
53,2024-03-08,sh.603070,12.9800,13.2400,12.4000,12.9000,12643577,162424988.3600
54,2024-03-15,sh.603070,12.9900,13.4200,12.8900,13.2100,9058161,119287110.6500
55,2024-03-22,sh.603070,13.2100,13.7700,13.1400,13.3200,9983462,134703250.1600
56,2024-03-29,sh.603070,13.2800,13.4500,12.4300,12.9900,7155327,92966663.9100
57,2024-04-03,sh.603070,12.9000,13.5500,12.9000,13.3500,4423512,58835532.9500
