,date,code,open,high,low,close,volume,amount
0,2023-03-17,sh.603073,23.8200,31.0000,23.8200,28.1500,18977931,547350180.6800
1,2023-03-24,sh.603073,25.3500,26.0200,21.3200,21.4200,37687950,860876145.7800
2,2023-03-31,sh.603073,21.4500,22.1700,20.4500,20.5900,23950364,510661340.6400
3,2023-04-07,sh.603073,20.5300,21.8700,20.5300,21.3100,17768903,377285784.8300
4,2023-04-14,sh.603073,21.2000,21.2000,19.9600,20.3100,13109966,267435528.9800
5,2023-04-21,sh.603073,20.2300,20.2300,18.5500,18.6000,10579449,206848460.0400
6,2023-04-28,sh.603073,18.5900,18.6800,17.6900,18.6000,9070574,165722411.5100
7,2023-05-05,sh.603073,18.5200,18.7600,18.2400,18.4300,2614499,48390748.4200
8,2023-05-12,sh.603073,18.0900,20.2000,18.0100,20.2000,8523450,162600875.1800
9,2023-05-19,sh.603073,20.0000,21.8800,19.7000,20.0000,34571235,709029877.5700
10,2023-05-26,sh.603073,20.0000,24.0000,19.7000,21.4500,38055633,821273142.6900
11,2023-06-02,sh.603073,21.1000,23.0000,19.9800,20.7200,32560915,684803091.6100
12,2023-06-09,sh.603073,20.6300,21.8100,19.0200,19.2500,22829151,470434347.5900
13,2023-06-16,sh.603073,18.9900,20.9800,18.6100,20.0100,15799548,312752537.6400
14,2023-06-21,sh.603073,19.9700,21.2500,19.8200,20.6000,11774654,243059569.8900
15,2023-06-30,sh.603073,20.4500,21.5000,20.1400,20.8600,19926551,415621121.3900
16,2023-07-07,sh.603073,20.9600,21.1200,19.3600,19.4500,13823349,278986989.4500
17,2023-07-14,sh.603073,19.4500,20.2800,19.1000,19.9100,11699387,229358976.2400
18,2023-07-21,sh.603073,19.8500,20.0900,19.2200,19.4600,7154150,141089100.7700
19,2023-07-28,sh.603073,19.3500,20.6500,19.3300,20.2500,9303437,186060844.4400
20,2023-08-04,sh.603073,20.0500,20.2400,19.1200,19.2300,9770193,192012114.6100
21,2023-08-11,sh.603073,19.1800,19.3900,18.8600,19.1000,5623146,107508242.1200
22,2023-08-18,sh.603073,18.9600,22.3200,18.9100,20.9000,32369935,665949011.3400
23,2023-08-25,sh.603073,20.5600,22.9800,18.0000,18.0700,39845555,817459504.6000
24,2023-09-01,sh.603073,18.8000,20.9800,17.9100,20.5800,21917549,432200233.3400
25,2023-09-08,sh.603073,20.5900,20.8700,19.8400,20.6200,9378456,191093239.2600
26,2023-09-15,sh.603073,20.6600,20.7000,19.2400,19.5400,8549865,170060181.4600
27,2023-09-22,sh.603073,19.5100,20.0000,19.0900,19.7000,6918286,135145140.4200
28,2023-09-28,sh.603073,19.5900,20.8000,19.1300,19.9300,7801538,154778149.5700
29,2023-10-13,sh.603073,19.8700,20.0400,18.7800,18.8000,7057265,137013217.5400
30,2023-10-20,sh.603073,18.8100,19.4700,18.5300,18.7100,7387678,140443413.0900
31,2023-10-27,sh.603073,18.6100,19.8000,17.9100,19.6400,8329814,158071726.0700
32,2023-11-03,sh.603073,19.6500,19.9800,19.3000,19.7700,5224145,103021670.2300
33,2023-11-10,sh.603073,19.7700,20.4500,19.5100,20.2200,7217222,143900536.5200
34,2023-11-17,sh.603073,20.4500,23.1300,20.1500,21.1100,42875335,925095285.1900
35,2023-11-24,sh.603073,21.2300,22.7600,20.6100,21.7000,35044958,751442969.9300
36,2023-12-01,sh.603073,21.4800,21.9500,20.5300,20.8300,17275150,368531288.3500
37,2023-12-08,sh.603073,20.8000,20.8500,19.2600,19.2700,10343120,208340782.1600
38,2023-12-15,sh.603073,19.2000,19.8100,19.0700,19.7000,6420923,125600827.5900
39,2023-12-22,sh.603073,19.6500,20.2100,19.2200,19.6600,6137807,121026189.7100
40,2023-12-29,sh.603073,19.5500,20.1800,19.0600,20.0700,5923592,115747878.8800
41,2024-01-05,sh.603073,19.9900,20.5400,19.9600,20.2200,4724770,95832450.3700
42,2024-01-12,sh.603073,20.2300,21.2300,20.0000,20.0200,10583359,215629553.6700
43,2024-01-19,sh.603073,19.8900,21.0000,18.9200,19.8000,9814467,195927582.3400
44,2024-01-26,sh.603073,19.6000,19.8000,17.5500,18.5600,9367259,173189192.4500
45,2024-02-02,sh.603073,18.6600,19.0000,14.7500,15.3000,7443250,125892030.6000
46,2024-02-08,sh.603073,15.1600,15.1700,12.3000,13.7000,7854760,105085276.7100
47,2024-02-23,sh.603073,14.1100,15.6600,13.7200,15.6000,8299690,121429163.2200
48,2024-03-01,sh.603073,15.6300,16.5700,14.5200,15.5100,10908495,171189144.6800
49,2024-03-08,sh.603073,15.4100,15.6000,14.8100,15.1200,5349846,80946024.7000
50,2024-03-15,sh.603073,15.1200,15.7400,15.0900,15.7000,6065873,93847053.8700
51,2024-03-22,sh.603073,15.8100,16.5500,15.7200,16.0900,7355084,118672021.5000
52,2024-03-29,sh.603073,16.0600,16.3000,15.4200,16.0900,6668798,105867362.3900
53,2024-04-03,sh.603073,16.0100,17.3700,15.9200,17.1200,8516971,142513964.1700
