,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.603086,14.0300,14.1500,13.0200,13.1100,52855111,722599979.9300
1,2023-02-24,sh.603086,13.1200,13.5300,12.9400,13.2700,29953911,397150046.6400
2,2023-03-03,sh.603086,13.2300,13.3600,12.9500,12.9900,26427540,347587929.7000
3,2023-03-10,sh.603086,13.0000,13.0900,12.4300,12.4300,20031697,256889620.9000
4,2023-03-17,sh.603086,12.4000,12.4800,11.7900,11.9000,21039454,254436124.4000
5,2023-03-24,sh.603086,11.9100,12.1000,11.5500,11.5600,19549682,230456096.9200
6,2023-03-31,sh.603086,11.5800,11.5900,11.0400,11.2800,19348272,218378759.7900
7,2023-04-07,sh.603086,11.3400,11.4000,11.0800,11.3000,15497660,174509060.0800
8,2023-04-14,sh.603086,11.2400,11.3000,11.0900,11.3000,12749816,142887412.8500
9,2023-04-21,sh.603086,11.2800,11.5300,10.9300,10.9500,14693680,165592300.6500
10,2023-04-28,sh.603086,10.9500,11.2000,10.3500,10.6900,20503803,218867793.0900
11,2023-05-05,sh.603086,10.7000,10.8600,10.3400,10.3800,7901717,83566438.3400
12,2023-05-12,sh.603086,10.3300,10.4700,10.2100,10.2200,12912802,133321160.4500
13,2023-05-19,sh.603086,10.2100,10.4300,10.1600,10.4100,10267866,105897935.5200
14,2023-05-26,sh.603086,10.4400,10.8500,10.3800,10.5100,16631020,175813355.8700
15,2023-06-02,sh.603086,10.5600,10.5800,10.0300,10.4300,15923839,163748225.7000
16,2023-06-09,sh.603086,10.4700,10.4900,6.9300,6.9600,14645175,131898155.7500
17,2023-06-16,sh.603086,6.9700,7.0400,6.6500,6.8100,21720377,148526096.4400
18,2023-06-21,sh.603086,6.8400,6.8600,6.5600,6.5700,10081422,67485542.0000
19,2023-06-30,sh.603086,6.5500,6.8800,6.4500,6.8500,21711694,144012469.8400
20,2023-07-07,sh.603086,6.8500,7.0600,6.8500,6.8900,17096659,118397260.6900
21,2023-07-14,sh.603086,6.9100,7.0500,6.8800,6.9600,14126838,98426564.9800
22,2023-07-21,sh.603086,6.8000,7.0200,6.7400,6.8700,18740351,128615099.0500
23,2023-07-28,sh.603086,6.8700,6.9800,6.8100,6.9300,13916521,95878588.5000
24,2023-08-04,sh.603086,6.9400,7.0200,6.7800,6.7900,17373798,120034521.5600
25,2023-08-11,sh.603086,6.7600,6.7800,6.5700,6.5700,17677504,117684315.3600
26,2023-08-18,sh.603086,6.5300,6.6700,6.3100,6.4600,18734535,121919377.9300
27,2023-08-25,sh.603086,6.6000,6.7600,6.0400,6.1000,31905852,200086287.0000
28,2023-09-01,sh.603086,6.3800,6.3800,6.1200,6.1600,24330958,151833637.1000
29,2023-09-08,sh.603086,6.1800,6.4600,6.1500,6.2900,19071217,120925231.0400
30,2023-09-15,sh.603086,6.3100,6.3700,6.1700,6.2200,13305717,83429358.4000
31,2023-09-22,sh.603086,6.2300,6.3700,6.1200,6.2700,15396161,96474786.8000
32,2023-09-28,sh.603086,6.2700,6.2700,5.9900,6.1700,15416159,94401173.7000
33,2023-10-13,sh.603086,6.1600,6.1800,5.9400,5.9400,24018694,144773725.2400
34,2023-10-20,sh.603086,5.9500,5.9600,5.6700,5.7400,16304991,94723808.3200
35,2023-10-27,sh.603086,5.7300,5.9700,5.5000,5.9500,22600857,130366220.9200
36,2023-11-03,sh.603086,5.7900,5.9200,5.6800,5.8100,29951302,173005491.0100
37,2023-11-10,sh.603086,5.8300,6.0200,5.8300,5.9700,17310513,102659497.5000
38,2023-11-17,sh.603086,5.9500,6.0100,5.8700,5.9700,16993833,101013963.8100
39,2023-11-24,sh.603086,5.9900,6.2500,5.9800,6.0800,23708792,144752193.5900
40,2023-12-01,sh.603086,6.0700,6.0900,5.9400,5.9700,17250905,103792007.7700
41,2023-12-08,sh.603086,5.9800,6.0200,5.7900,5.8000,19255728,113986917.5800
42,2023-12-15,sh.603086,5.7400,5.9100,5.7100,5.8300,14365536,83700736.9700
43,2023-12-22,sh.603086,5.8100,5.8600,5.6500,5.7400,15670209,90242953.5600
44,2023-12-29,sh.603086,5.7400,5.9100,5.5700,5.8800,16727210,95772367.3200
45,2024-01-05,sh.603086,5.8900,6.0000,5.8100,5.8500,14540994,86269074.4300
46,2024-01-12,sh.603086,5.8500,5.9400,5.7100,5.8200,17267615,100230635.0500
47,2024-01-19,sh.603086,5.8000,5.8700,5.3600,5.4800,19779485,111753543.0900
48,2024-01-26,sh.603086,5.4900,5.5000,4.8700,5.2800,27321875,140236065.3300
49,2024-02-02,sh.603086,5.3000,5.3300,3.9300,4.1200,39002900,176455102.7600
50,2024-02-08,sh.603086,4.0800,4.0900,3.1800,3.5400,56084259,191483326.5700
51,2024-02-23,sh.603086,3.5700,4.2000,3.5600,4.1900,42769898,165055818.8200
52,2024-03-01,sh.603086,4.1900,4.5800,3.8600,4.0800,54902214,230446946.5500
53,2024-03-08,sh.603086,4.1100,4.1300,3.8400,3.9800,33339473,131892247.9700
54,2024-03-15,sh.603086,3.9900,4.2500,3.9500,4.2400,27584083,114035729.4000
55,2024-03-22,sh.603086,4.2600,4.5300,4.2500,4.3700,28958230,127182914.1800
56,2024-03-29,sh.603086,4.3600,4.4000,4.1300,4.3700,26890321,114796915.5100
57,2024-04-03,sh.603086,4.3900,4.6600,4.3900,4.6400,27464240,124510973.9100
