,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.603099,9.6000,9.7600,9.2400,9.3200,16413600,156576462.0000
1,2023-02-24,sh.603099,9.3300,9.5000,9.2800,9.3900,8323100,78260176.0000
2,2023-03-03,sh.603099,9.3900,9.8500,9.3300,9.8000,17784650,172378835.9000
3,2023-03-10,sh.603099,9.8500,9.9400,9.5000,9.5100,16589730,161999027.4200
4,2023-03-17,sh.603099,9.4700,9.6300,8.9900,9.2800,13412455,124799924.8400
5,2023-03-24,sh.603099,9.1000,10.3900,9.1000,10.0900,23091990,226497019.3400
6,2023-03-31,sh.603099,10.0300,10.3600,10.0000,10.2300,22277902,226379834.1500
7,2023-04-07,sh.603099,10.2500,10.6000,10.1500,10.4400,16680787,172880240.4100
8,2023-04-14,sh.603099,10.4300,10.7900,10.2200,10.3900,28945602,303833799.8600
9,2023-04-21,sh.603099,10.3800,10.9900,10.0200,10.2300,42007700,437347747.6700
10,2023-04-28,sh.603099,10.0000,10.5100,9.5200,10.3700,32377978,324971318.3700
11,2023-05-05,sh.603099,10.3000,10.3500,9.4400,9.5000,12089700,117147229.0000
12,2023-05-12,sh.603099,9.5000,9.6000,9.0800,9.3300,19896600,183812474.0000
13,2023-05-19,sh.603099,9.7100,10.4400,9.6000,9.7400,39964001,400756098.0400
14,2023-05-26,sh.603099,9.6700,9.9100,9.3400,9.5800,13957158,134642219.1200
15,2023-06-02,sh.603099,9.5800,11.8900,9.5200,11.0000,59837239,660821046.3200
16,2023-06-09,sh.603099,11.0600,12.6900,11.0600,12.2400,61378067,736430918.3800
17,2023-06-16,sh.603099,12.1800,13.1000,11.8700,12.0500,31253447,384897074.0300
18,2023-06-21,sh.603099,12.0500,12.2400,11.2800,11.3100,11522740,134630286.7000
19,2023-06-30,sh.603099,11.2000,13.7800,11.2000,12.8200,78080210,1018946520.0200
20,2023-07-07,sh.603099,12.7500,14.8000,12.4900,13.5100,77131383,1064699654.8700
21,2023-07-14,sh.603099,13.5300,15.4000,13.4000,14.6300,63780567,917139462.2400
22,2023-07-21,sh.603099,14.5200,15.3000,14.0100,14.0500,30641577,445375434.3400
23,2023-07-28,sh.603099,14.0300,14.7800,13.5300,13.7200,23693300,332627570.0000
24,2023-08-04,sh.603099,13.8800,14.1900,13.4000,13.5200,17250429,236221614.7700
25,2023-08-11,sh.603099,13.6400,13.7800,12.8500,13.2400,15953670,210926752.9300
26,2023-08-18,sh.603099,12.9400,13.6000,12.9100,12.9200,11315010,150339486.6300
27,2023-08-25,sh.603099,12.8600,13.1600,12.5100,12.7900,9704137,124779428.9700
28,2023-09-01,sh.603099,13.2600,13.5000,12.6100,13.3400,14614156,190377596.3000
29,2023-09-08,sh.603099,13.5400,13.8600,13.0100,13.3900,26243321,352224459.1000
30,2023-09-15,sh.603099,13.3300,14.3800,12.8500,13.7200,23245489,310658296.5700
31,2023-09-22,sh.603099,14.0500,16.6000,13.3200,13.9400,80415228,1186726249.3200
32,2023-09-28,sh.603099,13.6500,13.8400,12.8000,13.1300,36715002,488132067.5800
33,2023-10-13,sh.603099,13.1000,13.9600,12.1500,13.2200,44102754,586839590.6800
34,2023-10-20,sh.603099,13.2200,13.3300,12.5200,12.8100,19575600,256172776.7700
35,2023-10-27,sh.603099,12.8900,15.1400,12.7700,14.7300,50732369,722404088.3200
36,2023-11-03,sh.603099,14.6700,14.8800,13.6000,13.7400,24237301,343459885.1200
37,2023-11-10,sh.603099,13.7900,14.1500,13.2000,13.7000,37744800,515403221.0000
38,2023-11-17,sh.603099,13.8000,15.3000,13.7200,14.5000,54964114,784507841.8900
39,2023-11-24,sh.603099,14.4300,16.1300,14.4200,15.6000,67317952,1032259107.0200
40,2023-12-01,sh.603099,16.4000,16.6600,14.8500,15.3800,54942818,850294618.3300
41,2023-12-08,sh.603099,15.4000,16.1600,15.0000,15.3200,44864459,696911010.7200
42,2023-12-15,sh.603099,15.2000,15.7700,14.8900,15.2900,29720400,456358084.0000
43,2023-12-22,sh.603099,15.2300,15.6500,14.2100,14.4300,28846620,431883193.6000
44,2023-12-29,sh.603099,14.4600,15.1900,14.0600,14.9800,17286859,249964606.1800
45,2024-01-05,sh.603099,15.2400,21.9300,15.0500,21.9300,114058585,2197352811.0900
46,2024-01-12,sh.603099,22.8100,32.5000,21.9900,31.5100,190107178,5428711841.4500
47,2024-01-19,sh.603099,30.9900,40.4500,30.4800,36.7800,247777271,9007835268.5400
48,2024-01-26,sh.603099,36.7700,38.9100,29.9600,30.9800,208758978,7099444486.3400
49,2024-02-02,sh.603099,30.2200,31.4000,25.3000,26.4500,149835285,4159837798.3500
50,2024-02-08,sh.603099,25.4900,27.1200,20.1200,22.1000,88839350,2051493313.2200
51,2024-02-23,sh.603099,21.5300,27.3600,21.2800,25.5500,133985515,3338695923.0500
52,2024-03-01,sh.603099,25.1000,26.2000,21.5300,23.0500,102521885,2503744190.7100
53,2024-03-08,sh.603099,23.2400,27.0500,22.2600,25.2400,146706457,3623060074.3000
54,2024-03-15,sh.603099,25.0000,26.8900,24.1500,25.5000,124768430,3163741736.4500
55,2024-03-22,sh.603099,24.9200,26.5500,24.3600,25.0600,114653091,2919142403.8600
56,2024-03-29,sh.603099,24.5100,24.5200,20.7000,22.8200,89636035,2001291691.1800
57,2024-04-03,sh.603099,22.7800,23.1700,21.5400,21.6700,39411774,884625374.2800
