,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.603183,4.8800,4.8900,4.6500,4.6900,37669666,180641770.9500
1,2023-02-24,sh.603183,4.7400,4.8300,4.7000,4.7400,24945027,118870286.9800
2,2023-03-03,sh.603183,4.7400,4.8800,4.6600,4.8200,32489290,155290043.8900
3,2023-03-10,sh.603183,4.8400,4.9000,4.7100,4.8000,44246977,213005863.0700
4,2023-03-17,sh.603183,4.7800,4.8600,4.6800,4.7500,37761830,180691316.5100
5,2023-03-24,sh.603183,4.7600,4.8800,4.7000,4.7700,37894448,181577014.9200
6,2023-03-31,sh.603183,4.8000,4.8000,4.5300,4.5600,36423163,169067350.0200
7,2023-04-07,sh.603183,4.5800,4.5900,4.4900,4.5500,25138295,114309278.8300
8,2023-04-14,sh.603183,4.5600,4.8700,4.4500,4.8400,86755592,409052655.9500
9,2023-04-21,sh.603183,4.8000,5.0200,4.7900,4.8100,62851267,309495542.7600
10,2023-04-28,sh.603183,4.8100,4.9500,4.6700,4.9200,52533956,254438526.8600
11,2023-05-05,sh.603183,4.9200,5.0400,4.8800,5.0200,26591023,132269366.2700
12,2023-05-12,sh.603183,4.9900,5.2300,4.9300,4.9900,73942879,373499468.0700
13,2023-05-19,sh.603183,5.0000,5.0400,4.8600,4.9200,38623408,190407097.0400
14,2023-05-26,sh.603183,4.9100,4.9500,4.8100,4.8200,30796234,150050681.4700
15,2023-06-02,sh.603183,4.8200,4.8700,4.7100,4.8300,28238075,135254355.0000
16,2023-06-09,sh.603183,4.8200,4.9700,4.7300,4.9200,37300790,181354906.2300
17,2023-06-16,sh.603183,4.9000,4.9200,4.7100,4.8200,40451731,194123399.7800
18,2023-06-21,sh.603183,4.8100,4.8200,4.6000,4.6100,21537370,100931830.0500
19,2023-06-30,sh.603183,4.5800,4.7300,4.5300,4.7200,26320629,122093509.1200
20,2023-07-07,sh.603183,4.7300,4.8200,4.7200,4.7600,23982485,114321708.1300
21,2023-07-14,sh.603183,4.7800,4.9200,4.6800,4.8900,33080105,158917809.8900
22,2023-07-21,sh.603183,4.8900,4.9900,4.8100,4.9300,43213350,213320151.0500
23,2023-07-28,sh.603183,4.9500,5.2300,4.9300,5.1300,59111995,302338687.4900
24,2023-08-04,sh.603183,5.1300,5.2500,5.1100,5.1700,39390068,204088198.0000
25,2023-08-11,sh.603183,5.1100,5.2100,5.0200,5.0300,35316408,180654823.1400
26,2023-08-18,sh.603183,5.0300,5.2200,4.9500,5.0800,36794656,186492429.5700
27,2023-08-25,sh.603183,5.0500,5.1800,4.9000,4.9300,38575884,194694993.6300
28,2023-09-01,sh.603183,5.1400,5.2000,4.8300,4.8400,44002776,221770391.1600
29,2023-09-08,sh.603183,4.8600,4.9600,4.7800,4.8200,37782719,183041457.4300
30,2023-09-15,sh.603183,4.8300,4.8800,4.7600,4.8000,26849353,129438941.1200
31,2023-09-22,sh.603183,4.7700,4.9200,4.7400,4.8600,27831327,135237600.4000
32,2023-09-28,sh.603183,4.8600,4.8800,4.7600,4.8800,21443365,103250302.3800
33,2023-10-13,sh.603183,4.8300,4.8500,4.6100,4.6400,46819272,219893170.3500
34,2023-10-20,sh.603183,4.6200,4.7200,4.5800,4.6100,35073297,162604224.4400
35,2023-10-27,sh.603183,4.6300,4.7600,4.4900,4.7100,38350250,178409794.7400
36,2023-11-03,sh.603183,4.6900,4.8000,4.6600,4.7500,38154314,181192935.9400
37,2023-11-10,sh.603183,4.7600,4.8300,4.7100,4.7600,36075091,172181144.0300
38,2023-11-17,sh.603183,4.7800,4.8400,4.7600,4.8100,30556271,146561033.2300
39,2023-11-24,sh.603183,4.8100,4.8900,4.7800,4.8200,32065125,154993909.1900
40,2023-12-01,sh.603183,4.8200,4.8400,4.6900,4.7600,29691862,141576429.8000
41,2023-12-08,sh.603183,4.7900,4.9000,4.6800,4.6900,38739720,185744218.5100
42,2023-12-15,sh.603183,4.6800,4.8700,4.6100,4.8100,36920109,175788565.6800
43,2023-12-22,sh.603183,4.8200,4.8500,4.6500,4.6800,30855971,146284160.1500
44,2023-12-29,sh.603183,4.6800,4.7000,4.5300,4.6700,27264130,125850946.8500
45,2024-01-05,sh.603183,4.6600,4.8700,4.6500,4.7800,25311755,121396173.7200
46,2024-01-12,sh.603183,4.7900,4.8300,4.7000,4.7600,25465249,121258166.4300
47,2024-01-19,sh.603183,4.7500,4.8000,4.4000,4.4500,32301279,148990232.4800
48,2024-01-26,sh.603183,4.4300,4.4800,3.9900,4.4400,47819218,201646290.5300
49,2024-02-02,sh.603183,4.4400,4.4500,3.4800,3.5900,50876390,202466839.7600
50,2024-02-08,sh.603183,3.5400,3.5400,2.6600,2.9800,86464150,251710019.0900
51,2024-02-23,sh.603183,3.0000,3.5500,3.0000,3.5400,67009182,218240369.3700
52,2024-03-01,sh.603183,3.5400,3.8400,3.2000,3.4600,71928574,253977211.1400
53,2024-03-08,sh.603183,3.4700,3.4800,3.2700,3.3900,44550773,149722507.3000
54,2024-03-15,sh.603183,3.3900,3.5800,3.3700,3.5800,39626201,138161975.1500
55,2024-03-22,sh.603183,3.6000,3.7800,3.5800,3.6500,43325693,158599019.7400
56,2024-03-29,sh.603183,3.6300,3.6800,3.4600,3.6600,38399266,137501136.6600
57,2024-04-03,sh.603183,3.6700,3.8300,3.6600,3.8100,23724077,89146681.9500
