,date,code,open,high,low,close,volume,amount
0,2023-10-20,sh.603193,22.0000,26.6800,16.9000,18.9000,109677641,2226244555.6100
1,2023-10-27,sh.603193,18.0000,19.7300,16.4500,18.8000,90249102,1621085294.8000
2,2023-11-03,sh.603193,18.8200,19.7100,17.4200,17.8400,63825480,1189230064.8600
3,2023-11-10,sh.603193,17.8000,18.7700,17.5700,17.8700,29983198,545080222.0900
4,2023-11-17,sh.603193,17.9700,18.2300,17.5700,17.6300,21564469,386192030.4000
5,2023-11-24,sh.603193,17.6500,18.2400,17.4000,17.5800,22972554,407976783.3100
6,2023-12-01,sh.603193,17.6400,17.6700,16.8400,17.1300,14344775,247688798.0400
7,2023-12-08,sh.603193,17.2000,17.2600,16.4300,16.4400,13304926,224942264.5700
8,2023-12-15,sh.603193,16.3500,16.9000,16.2100,16.5400,8188901,136001364.0400
9,2023-12-22,sh.603193,16.5000,18.9000,16.1500,18.8800,38614347,690325591.3100
10,2023-12-29,sh.603193,18.7600,18.7600,17.0700,18.1800,78196319,1403430698.7400
11,2024-01-05,sh.603193,18.1000,19.4400,17.4600,17.5400,38707554,705512633.6200
12,2024-01-12,sh.603193,17.4500,18.6000,16.7200,18.0900,39598109,708674356.2800
13,2024-01-19,sh.603193,17.9000,19.0600,16.7100,16.7400,39670134,706937589.4900
14,2024-01-26,sh.603193,16.6000,17.1400,14.9100,16.5500,27873341,447754099.5300
15,2024-02-02,sh.603193,16.7100,16.8500,13.4000,13.8300,17794471,269608078.1400
16,2024-02-08,sh.603193,13.6900,14.0800,11.9200,13.6400,24151342,314968064.9600
17,2024-02-23,sh.603193,13.6500,15.9900,13.5900,15.8900,23545037,345920038.7400
18,2024-03-01,sh.603193,15.8500,17.1800,15.3600,16.9400,18390509,297746209.9500
19,2024-03-08,sh.603193,16.8000,17.1400,15.5300,15.7200,11928185,194573155.5600
20,2024-03-15,sh.603193,15.9300,17.1200,15.5400,16.6600,11494286,190389588.7400
21,2024-03-22,sh.603193,16.8000,17.0200,15.9600,16.0700,11643543,192790134.4300
22,2024-03-29,sh.603193,16.0700,16.1700,14.8200,15.9000,13381244,206966837.7500
23,2024-04-03,sh.603193,15.9900,16.1500,15.3200,15.4300,5970961,93799782.6600
