,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.603230,11.6600,12.1400,11.4800,11.4900,14188185,167163814.2400
1,2023-02-24,sh.603230,11.5300,11.8300,11.4700,11.5500,9150095,106422894.5300
2,2023-03-03,sh.603230,11.5500,11.8700,11.4200,11.7800,7664277,89154181.3700
3,2023-03-10,sh.603230,11.8000,11.9700,11.6100,11.7200,9203984,108795257.6200
4,2023-03-17,sh.603230,11.6900,12.0600,11.4500,11.9900,11447819,134755590.0400
5,2023-03-24,sh.603230,11.8700,12.3900,11.8600,12.2200,17135440,209042422.1400
6,2023-03-31,sh.603230,12.2000,12.7200,12.0300,12.3200,17281481,213198669.7300
7,2023-04-07,sh.603230,12.3500,12.5800,11.9700,12.1600,10959597,134673047.0100
8,2023-04-14,sh.603230,12.1700,13.7900,12.1700,13.0100,44889096,582703395.4800
9,2023-04-21,sh.603230,12.9100,13.5800,12.3200,13.1000,41497501,538349179.2700
10,2023-04-28,sh.603230,13.0500,16.9300,13.0500,15.6700,145092510,2169483094.9100
11,2023-05-05,sh.603230,15.7300,17.2400,15.4900,16.1800,56566223,927165425.1100
12,2023-05-12,sh.603230,15.8300,15.8800,13.8600,13.9200,98209430,1436727340.9600
13,2023-05-19,sh.603230,13.8400,14.0900,13.0100,13.3300,47967824,642980641.7000
14,2023-05-26,sh.603230,13.3000,13.3800,12.6500,13.1700,34157820,445910793.8000
15,2023-06-02,sh.603230,13.1800,14.1700,12.7000,13.7200,57786543,783715677.0300
16,2023-06-09,sh.603230,13.6500,14.3400,13.6000,14.1200,56313185,790829731.5300
17,2023-06-16,sh.603230,14.1400,14.5600,13.7400,14.0500,48762567,690850738.4500
18,2023-06-21,sh.603230,14.0300,14.1400,12.9800,13.0700,22850628,310921785.6400
19,2023-06-30,sh.603230,13.0200,13.1000,12.4200,12.9000,22135440,282741024.2000
20,2023-07-07,sh.603230,12.8100,12.8100,12.2500,12.4300,15457798,193749235.2500
21,2023-07-14,sh.603230,12.4600,13.0600,12.4400,12.9400,18934881,241862532.4400
22,2023-07-21,sh.603230,12.9200,13.0900,12.6400,12.7400,12958641,166792937.5400
23,2023-07-28,sh.603230,12.7800,13.0300,12.2600,12.3300,16604841,210786683.8400
24,2023-08-04,sh.603230,12.3300,12.7600,12.3300,12.5200,16143768,202759994.2000
25,2023-08-11,sh.603230,12.5100,13.1500,12.3000,12.3000,24468104,311676073.2400
26,2023-08-18,sh.603230,12.3000,12.7400,12.0600,12.1800,14997708,185741721.0800
27,2023-08-25,sh.603230,12.2100,12.7100,11.9600,12.1400,24452948,302949639.3400
28,2023-09-01,sh.603230,12.7100,12.8000,12.1000,12.3200,22135635,275263756.6100
29,2023-09-08,sh.603230,12.3600,12.4100,11.5000,11.5700,17829393,214253545.3300
30,2023-09-15,sh.603230,11.5300,11.7800,11.4600,11.6000,8355956,96918711.6800
31,2023-09-22,sh.603230,11.5600,11.8300,11.3300,11.8000,9164250,106878120.4400
32,2023-09-28,sh.603230,11.7900,11.9000,11.6600,11.8500,6017324,70933597.7800
33,2023-10-13,sh.603230,11.8400,12.0900,11.5900,11.7400,11891218,140469540.4000
34,2023-10-20,sh.603230,11.7500,11.8300,11.0100,11.0400,10072254,114992905.1300
35,2023-10-27,sh.603230,11.0700,12.0800,10.6900,11.9600,16317166,188272535.6400
36,2023-11-03,sh.603230,11.9700,12.3600,11.8800,12.2600,17553689,212851271.9700
37,2023-11-10,sh.603230,12.2800,13.0900,12.2600,12.5100,20736162,263976715.7600
38,2023-11-17,sh.603230,12.6100,13.0900,12.6000,12.9300,14174622,181809642.4600
39,2023-11-24,sh.603230,12.9300,13.1500,12.8400,12.9200,13988340,181933035.2000
40,2023-12-01,sh.603230,12.8000,13.2500,12.6300,13.2000,14352900,185373816.0600
41,2023-12-08,sh.603230,13.2300,15.6900,12.8500,15.0300,80763939,1159664185.4300
42,2023-12-15,sh.603230,14.2600,18.9100,14.2000,18.9100,109459135,1696898898.3700
43,2023-12-22,sh.603230,20.8000,22.8800,14.8800,14.8800,181416987,3352208444.0100
44,2023-12-29,sh.603230,14.5000,16.0900,14.4300,15.5000,100274250,1537123711.3800
45,2024-01-05,sh.603230,15.5000,16.0800,14.9100,15.0500,69679252,1082381289.7400
46,2024-01-12,sh.603230,15.1400,15.2800,14.3700,14.5100,47277819,700941263.8300
47,2024-01-19,sh.603230,14.5400,14.8300,13.6700,14.0700,37278641,535153766.6700
48,2024-01-26,sh.603230,14.0700,14.9100,12.9000,14.5700,52135904,730300039.3400
49,2024-02-02,sh.603230,14.5000,16.0600,13.3000,15.4800,108886128,1623854108.9200
50,2024-02-08,sh.603230,14.7000,15.3700,10.2800,11.6300,82297584,1024288250.6200
51,2024-02-23,sh.603230,11.6300,13.6600,11.6300,13.5800,81624781,1037287067.1800
52,2024-03-01,sh.603230,13.4000,14.4400,12.6800,13.3800,67668946,909946950.0100
53,2024-03-08,sh.603230,13.4100,13.7700,12.8300,13.4000,47197040,628326146.2000
54,2024-03-15,sh.603230,13.3800,14.5000,13.2000,14.1500,70501566,981950168.2300
55,2024-03-22,sh.603230,14.1500,16.2000,13.9400,15.5600,103829026,1525832402.7600
56,2024-03-29,sh.603230,15.4400,16.6500,14.3200,15.4100,129620004,2005441166.6600
57,2024-04-03,sh.603230,15.5100,15.5500,14.0300,14.0900,42141899,627021637.5100
