,date,code,open,high,low,close,volume,amount
0,2023-08-25,sh.603275,62.4400,81.1700,48.9700,49.0000,51751999,3214451897.6700
1,2023-09-01,sh.603275,63.2000,63.2100,49.0100,51.8600,65392115,3559560593.3400
2,2023-09-08,sh.603275,51.4900,52.2900,49.0100,49.6200,31400007,1590608306.3000
3,2023-09-15,sh.603275,49.5500,49.5500,44.2000,45.0700,19113914,895013862.0400
4,2023-09-22,sh.603275,44.9000,47.7400,44.5300,46.1400,20122568,931228601.9200
5,2023-09-28,sh.603275,46.5000,49.7800,46.1200,46.2800,22438158,1066057107.8700
6,2023-10-13,sh.603275,46.1500,46.3800,43.6700,44.0500,13532762,611319866.7000
7,2023-10-20,sh.603275,44.4400,44.6500,40.2600,40.8500,10861541,456744676.3400
8,2023-10-27,sh.603275,40.7600,43.1500,38.4100,42.7000,14464217,590761542.8500
9,2023-11-03,sh.603275,42.1300,44.3800,41.5300,43.1700,10986918,469660726.5800
10,2023-11-10,sh.603275,43.0600,44.4500,43.0600,44.3800,10417869,458287086.6700
11,2023-11-17,sh.603275,44.6900,46.0900,44.2400,45.6400,9267328,422047315.0800
12,2023-11-24,sh.603275,45.4300,48.0000,44.7800,45.0700,11350172,528219268.5200
13,2023-12-01,sh.603275,44.8200,45.8800,42.8800,43.1200,5959996,264508095.0000
14,2023-12-08,sh.603275,43.6000,43.6000,41.0500,41.2900,4571626,191744953.1500
15,2023-12-15,sh.603275,41.4500,42.0600,40.4000,40.6100,5677676,235012649.7000
16,2023-12-22,sh.603275,40.6000,41.1800,39.2100,39.6800,6103878,245153973.5300
17,2023-12-29,sh.603275,39.6300,40.7700,38.4000,40.4900,7018832,277360642.6600
18,2024-01-05,sh.603275,40.4100,40.7700,39.5800,40.3900,4099275,164879481.0200
19,2024-01-12,sh.603275,40.6100,40.9500,38.6600,39.2600,6403818,254059423.2000
20,2024-01-19,sh.603275,39.2600,39.2600,35.8700,35.9600,5590097,210166221.4200
21,2024-01-26,sh.603275,35.9300,36.0000,32.9900,34.8100,5247925,180548862.8800
22,2024-02-02,sh.603275,35.6900,38.3300,29.5300,30.7900,8916768,307747656.4000
23,2024-02-08,sh.603275,30.3000,31.6500,26.9800,31.5000,6307184,187027145.7600
24,2024-02-23,sh.603275,31.9900,34.8800,31.6300,34.7800,7103072,237303258.0800
25,2024-03-01,sh.603275,35.6600,37.2800,34.1500,36.1500,8713255,313236785.4500
26,2024-03-08,sh.603275,35.9000,38.5600,34.7000,36.5100,10694075,390560131.8600
27,2024-03-15,sh.603275,36.0200,38.5200,35.9900,38.5200,8395173,312588375.5500
28,2024-03-22,sh.603275,38.8500,38.9300,37.3100,37.5000,6860791,262560784.1700
29,2024-03-29,sh.603275,37.5000,37.5000,34.7900,35.6300,3954830,142180158.1100
30,2024-04-03,sh.603275,35.7000,36.1900,34.9500,35.0200,2110497,75287743.5900
