,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.603399,15.5600,16.6500,14.9200,15.1300,67252291,1068624485.4000
1,2023-02-24,sh.603399,15.0800,15.5200,14.6700,14.9800,38455654,580996784.9500
2,2023-03-03,sh.603399,14.9900,15.0900,14.6000,14.6700,30025363,445826259.1700
3,2023-03-10,sh.603399,14.7000,14.8700,14.1800,14.1900,24276515,353317999.2000
4,2023-03-17,sh.603399,14.4200,15.0000,13.3800,13.4600,55703947,788900681.4500
5,2023-03-24,sh.603399,13.4600,14.2700,13.2000,13.5800,35677682,489205135.1400
6,2023-03-31,sh.603399,13.5500,14.2400,13.0300,13.5800,61382911,829312731.6400
7,2023-04-07,sh.603399,13.5700,13.7500,13.0500,13.0800,42628792,569026298.6900
8,2023-04-14,sh.603399,13.1000,13.3400,12.7200,13.0900,55593275,722943051.8500
9,2023-04-21,sh.603399,13.1000,13.2000,12.1900,12.2200,43677261,557512354.8500
10,2023-04-28,sh.603399,12.1600,12.3600,11.3500,11.5800,50617475,596153021.9800
11,2023-05-05,sh.603399,11.6100,11.7500,11.1000,11.2000,18604388,212313617.0300
12,2023-05-12,sh.603399,11.2400,11.6900,11.1700,11.1900,48701812,554540472.9200
13,2023-05-19,sh.603399,10.8500,11.2200,10.6100,10.8700,38722134,423188885.6500
14,2023-05-26,sh.603399,10.8600,10.9400,10.2800,10.3900,31376028,333384568.0500
15,2023-06-02,sh.603399,10.3900,11.4300,10.1100,11.4300,33991025,360250351.1500
16,2023-06-09,sh.603399,11.9900,12.8500,11.6000,12.0900,161489087,1953881464.3500
17,2023-06-16,sh.603399,12.0900,12.5500,11.9000,12.2000,75390561,918408460.5000
18,2023-06-21,sh.603399,12.2000,12.2300,11.5400,11.5800,26529014,315692623.7800
19,2023-06-30,sh.603399,11.4400,11.7100,11.0500,11.5700,42766529,485123622.1100
20,2023-07-07,sh.603399,11.6100,12.2600,11.4500,11.6900,72145322,853305139.9000
21,2023-07-14,sh.603399,11.6900,12.2200,11.3400,11.3900,44634076,523797987.8200
22,2023-07-21,sh.603399,11.3900,11.4000,10.9200,11.1200,26615605,298149247.8400
23,2023-07-28,sh.603399,11.1200,11.3400,10.8600,11.2800,27011734,301159911.8900
24,2023-08-04,sh.603399,11.3400,11.9600,11.3100,11.5900,32667509,379528795.5100
25,2023-08-11,sh.603399,11.5900,11.6700,11.2000,11.2300,20927066,240741436.9400
26,2023-08-18,sh.603399,11.1600,11.5600,10.6300,10.6500,29895587,330901009.1900
27,2023-08-25,sh.603399,10.6500,10.8100,10.2500,10.2700,22745119,238477252.6000
28,2023-09-01,sh.603399,10.8000,10.8300,9.7300,9.8600,34586721,349651218.3700
29,2023-09-08,sh.603399,9.8700,11.0800,9.8000,10.2500,71434015,762474781.1800
30,2023-09-15,sh.603399,10.2300,10.7300,10.0100,10.2600,44906916,462925944.6600
31,2023-09-22,sh.603399,10.1400,10.4700,9.7900,10.0000,28940726,291038618.5700
32,2023-09-28,sh.603399,9.9600,10.0000,9.1000,9.3500,33042644,311876759.8700
33,2023-10-13,sh.603399,9.3400,10.2500,9.1300,10.2000,70623100,692537582.3900
34,2023-10-20,sh.603399,10.0800,11.4200,9.3600,11.4200,118362279,1234955331.4800
35,2023-10-27,sh.603399,12.5600,13.2000,10.8800,11.3600,387518152,4695058586.5100
36,2023-11-03,sh.603399,10.8300,11.2600,10.3500,10.4500,136533541,1478391140.5000
37,2023-11-10,sh.603399,10.4000,11.1800,10.2700,10.3600,142518688,1518524413.0500
38,2023-11-17,sh.603399,10.3300,10.9500,10.2200,10.6400,103462946,1093407089.1700
39,2023-11-24,sh.603399,10.6900,10.8900,10.0000,10.1200,69715101,734440427.3500
40,2023-12-01,sh.603399,10.0700,10.6000,9.9300,10.3300,48562364,493982745.5200
41,2023-12-08,sh.603399,10.3300,12.3900,10.2600,11.2500,219483703,2503995376.4700
42,2023-12-15,sh.603399,10.6800,11.3400,10.1400,10.4400,193319538,2037893243.7600
43,2023-12-22,sh.603399,10.2300,10.5000,9.4300,9.9600,100148521,990529012.2200
44,2023-12-29,sh.603399,9.8500,10.4000,9.5800,10.2300,107325347,1078732756.8900
45,2024-01-05,sh.603399,10.2200,10.3900,9.7200,9.7700,46593431,470450578.4700
46,2024-01-12,sh.603399,9.7400,10.3000,9.4400,9.9500,74707646,737609749.5400
47,2024-01-19,sh.603399,9.8400,9.9000,8.7000,8.7500,60819752,564381479.2400
48,2024-01-26,sh.603399,8.6600,8.6600,7.6000,8.1800,57711065,467967775.6700
49,2024-02-02,sh.603399,8.1300,8.2000,6.1500,6.4400,57204827,406782173.5600
50,2024-02-08,sh.603399,6.2800,6.3300,5.2200,6.0000,75213515,431282913.4600
51,2024-02-23,sh.603399,6.1000,7.2300,6.1000,7.2000,75191015,504996983.5500
52,2024-03-01,sh.603399,7.2500,8.3400,7.1100,7.8800,117261642,915740914.4300
53,2024-03-08,sh.603399,7.9000,8.0200,7.3200,7.5100,71666855,546200505.5200
54,2024-03-15,sh.603399,7.5700,7.8700,7.5600,7.8300,58231107,449479845.7000
55,2024-03-22,sh.603399,7.8700,8.1800,7.6800,7.7500,56235846,445244455.9400
56,2024-03-29,sh.603399,7.6800,7.8400,7.2500,7.5800,41676108,313886107.7100
57,2024-04-03,sh.603399,7.6000,8.7900,7.5900,8.4400,75653250,625654103.0100
