,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.603408,11.8000,11.9900,11.6100,11.7200,7520226,89192649.3100
1,2023-02-24,sh.603408,11.7300,12.3000,11.7300,12.2300,9992140,120495423.5800
2,2023-03-03,sh.603408,12.1800,12.4900,12.0900,12.1600,8443900,103534426.0900
3,2023-03-10,sh.603408,12.1600,12.2500,11.6800,11.7200,7180224,85769999.9600
4,2023-03-17,sh.603408,11.7800,11.8200,11.3200,11.5300,5351152,61758799.6400
5,2023-03-24,sh.603408,11.6300,12.9300,11.5400,12.5600,30881031,387591991.0900
6,2023-03-31,sh.603408,12.5600,12.5800,11.8600,12.0900,10704154,130162344.9500
7,2023-04-07,sh.603408,12.0900,12.2600,11.7500,11.8700,7110900,85203985.2000
8,2023-04-14,sh.603408,11.9000,12.0000,11.5700,11.9600,7431011,87470394.8100
9,2023-04-21,sh.603408,11.9500,12.0500,11.4000,11.4600,6787678,80253795.9600
10,2023-04-28,sh.603408,11.4800,11.7400,10.9000,11.6700,7255500,82634494.0000
11,2023-05-05,sh.603408,11.3900,11.4000,10.2600,10.3500,11582440,122432587.5200
12,2023-05-12,sh.603408,10.3700,10.5500,10.2200,10.4600,8549009,88610984.7300
13,2023-05-19,sh.603408,10.5000,10.7800,10.3500,10.7500,4780505,50537664.3500
14,2023-05-26,sh.603408,10.8000,11.0100,10.6600,10.8000,7647483,82955822.2200
15,2023-06-02,sh.603408,10.8000,10.9200,10.4900,10.8900,4402826,47040025.8600
16,2023-06-09,sh.603408,10.9300,10.9300,10.6200,10.6400,3135783,33761543.6300
17,2023-06-16,sh.603408,10.6200,10.9800,10.5800,10.8200,4178200,45211445.0000
18,2023-06-21,sh.603408,10.8500,10.8500,9.9700,10.0000,3563000,37028948.0000
19,2023-06-30,sh.603408,9.9900,10.6400,9.9000,10.3900,6376726,65412545.4300
20,2023-07-07,sh.603408,10.3700,10.6700,10.2100,10.4000,5684600,59723031.0000
21,2023-07-14,sh.603408,10.4200,11.1500,10.3600,11.0300,7278466,78512745.5800
22,2023-07-21,sh.603408,11.0700,12.0800,10.5700,10.6600,29914078,337087336.2300
23,2023-07-28,sh.603408,10.6600,10.9300,10.4300,10.8500,12190092,130580435.0400
24,2023-08-04,sh.603408,10.9500,11.1400,10.8600,10.9400,6680213,73397765.4800
25,2023-08-11,sh.603408,10.9600,10.9900,10.6200,10.6400,3789300,40801523.0000
26,2023-08-18,sh.603408,10.6300,11.0800,10.4700,11.0100,4868100,52687110.6100
27,2023-08-25,sh.603408,11.0100,11.2500,10.0700,10.2000,14296800,151272340.7800
28,2023-09-01,sh.603408,10.5500,11.3700,10.3300,11.3200,15567665,170267101.9100
29,2023-09-08,sh.603408,11.4200,11.7800,11.4000,11.4500,14479979,167629116.0300
30,2023-09-15,sh.603408,11.5500,11.6900,11.0300,11.0500,10327600,116620941.0000
31,2023-09-22,sh.603408,11.0200,11.4400,10.9900,11.2000,6438000,72481973.0000
32,2023-09-28,sh.603408,11.2000,11.2900,11.0100,11.2600,3124094,34828419.4600
33,2023-10-13,sh.603408,11.3100,11.3100,10.8100,10.8600,5349165,59036395.6900
34,2023-10-20,sh.603408,10.9300,11.1400,10.6100,10.6900,4298197,46644870.3100
35,2023-10-27,sh.603408,10.6800,11.0400,10.3400,11.0000,5331915,56978342.1700
36,2023-11-03,sh.603408,11.4400,12.1900,11.1800,11.5300,21593497,253490171.7500
37,2023-11-10,sh.603408,11.5300,11.8900,11.4400,11.7300,10575300,123142219.0000
38,2023-11-17,sh.603408,11.7100,11.9800,11.6600,11.8400,7269613,86106932.7900
39,2023-11-24,sh.603408,11.9000,12.1400,11.8000,11.9300,8097100,96711704.0000
40,2023-12-01,sh.603408,11.9000,12.0000,11.7000,11.8500,7681000,91103901.0000
41,2023-12-08,sh.603408,11.8800,11.9900,11.5400,11.5500,7756622,91625356.2100
42,2023-12-15,sh.603408,11.4900,11.7700,11.4400,11.6800,6529200,75811054.0000
43,2023-12-22,sh.603408,11.6800,13.3000,11.4500,12.8500,27183154,336625423.3100
44,2023-12-29,sh.603408,12.6800,13.2500,12.1700,12.8400,36767565,470440791.8700
45,2024-01-05,sh.603408,12.8200,13.8000,12.7300,12.9500,19498728,255390194.1000
46,2024-01-12,sh.603408,12.9300,13.7400,12.7200,13.2000,25954569,344279631.9200
47,2024-01-19,sh.603408,13.2000,13.7200,12.9200,13.5500,15923631,212060871.6600
48,2024-01-26,sh.603408,13.5500,13.7700,12.1200,12.7600,19033480,244730782.2000
49,2024-02-02,sh.603408,12.9600,13.1000,9.7500,10.0800,19371806,215763351.2700
50,2024-02-08,sh.603408,10.1800,10.4500,9.1000,10.4400,22512467,220350970.6200
51,2024-02-23,sh.603408,10.5800,11.4700,10.3700,11.4600,11344798,125856671.6600
52,2024-03-01,sh.603408,11.3000,12.0300,10.9500,11.0700,16832525,192060292.9700
53,2024-03-08,sh.603408,11.0500,11.2800,10.8300,11.0100,9323478,102956462.3800
54,2024-03-15,sh.603408,10.9900,11.8000,10.8400,11.7700,8405274,96008505.8800
55,2024-03-22,sh.603408,11.8000,12.5400,11.6200,12.1600,10250250,123807072.5000
56,2024-03-29,sh.603408,12.1100,12.9300,12.1100,12.7800,11602271,144861876.4300
57,2024-04-03,sh.603408,13.3300,15.1800,13.1000,14.6800,30269808,434467285.8700
