,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.603535,19.3000,19.5200,18.6800,18.6900,4042145,77629908.0500
1,2023-02-24,sh.603535,18.8100,19.2000,18.5700,19.0100,3585895,67641750.4000
2,2023-03-03,sh.603535,18.9700,19.2000,18.5800,18.7800,3638580,68583118.9000
3,2023-03-10,sh.603535,18.7800,18.8900,18.2200,18.4900,3531079,65508308.5400
4,2023-03-17,sh.603535,18.4900,19.0000,18.2600,18.9600,4392017,82098074.5100
5,2023-03-24,sh.603535,18.9000,19.1200,18.2800,18.3800,3075594,57606328.8400
6,2023-03-31,sh.603535,18.4900,18.4900,17.1800,17.6100,4425160,78087051.1500
7,2023-04-07,sh.603535,17.6700,18.2800,17.0000,17.4600,3007915,53252001.3500
8,2023-04-14,sh.603535,17.3300,18.0400,17.2300,17.4400,3843188,67580723.0400
9,2023-04-21,sh.603535,17.6000,18.9600,17.5100,17.8500,4495832,81802570.2200
10,2023-04-28,sh.603535,17.8500,17.8500,16.3000,17.0200,3449219,58410396.4800
11,2023-05-05,sh.603535,17.1600,17.3600,16.9100,17.2300,1022825,17542996.7000
12,2023-05-12,sh.603535,17.0900,17.3200,16.7000,16.8000,2695103,45583616.5700
13,2023-05-19,sh.603535,16.9100,17.0400,16.4000,16.6000,3189692,53226724.5300
14,2023-05-26,sh.603535,16.9300,17.2800,15.7000,15.8300,4519449,74183988.1400
15,2023-06-02,sh.603535,15.8200,15.9000,14.6400,15.1300,5330990,80675666.4000
16,2023-06-09,sh.603535,15.1700,15.8600,15.0000,15.4000,9398667,144551372.6400
17,2023-06-16,sh.603535,15.4000,15.7500,15.1800,15.6500,3998770,61837178.6000
18,2023-06-21,sh.603535,15.6500,15.6500,15.3200,15.4100,2165514,33540247.7500
19,2023-06-30,sh.603535,15.3000,16.5000,15.1600,16.2400,4892860,77113237.7000
20,2023-07-07,sh.603535,16.2400,16.5100,15.8500,16.0600,4138770,67053276.3500
21,2023-07-14,sh.603535,16.0600,16.7500,15.9800,16.5500,3300780,54343756.2500
22,2023-07-21,sh.603535,16.6700,17.5100,16.3500,16.9800,4929724,84018964.8000
23,2023-07-28,sh.603535,17.0000,17.3100,16.7400,17.0900,3466007,59155107.8000
24,2023-08-04,sh.603535,17.2200,17.3800,16.8800,16.9400,2883819,49385492.5700
25,2023-08-11,sh.603535,16.9900,17.1000,16.4900,16.5700,2808454,47142309.3700
26,2023-08-18,sh.603535,16.5900,17.0800,16.2200,16.7700,3696034,61550292.9000
27,2023-08-25,sh.603535,16.7700,16.9400,15.4800,15.5000,3526700,56611694.0500
28,2023-09-01,sh.603535,15.8100,17.1000,15.8100,16.8800,5615480,93397153.2900
29,2023-09-08,sh.603535,17.0300,17.3500,16.8000,17.2000,3889214,66687355.8200
30,2023-09-15,sh.603535,17.2000,17.9800,17.2000,17.5900,5308050,93295908.9000
31,2023-09-22,sh.603535,17.4700,17.8300,17.1400,17.2400,4496885,78554654.2000
32,2023-09-28,sh.603535,17.3100,17.4400,17.0100,17.2700,2472736,42485323.2700
33,2023-10-13,sh.603535,17.1800,17.5000,16.8500,16.9300,2795746,47967587.3600
34,2023-10-20,sh.603535,16.9000,17.2700,16.4800,16.6000,2615926,44174161.6400
35,2023-10-27,sh.603535,16.3600,16.9900,16.0500,16.8100,5896497,96748176.7200
36,2023-11-03,sh.603535,16.9100,17.5500,16.8100,17.1600,5876665,101410989.1500
37,2023-11-10,sh.603535,17.2300,17.3600,17.0000,17.2600,2450473,42138275.0400
38,2023-11-17,sh.603535,17.2700,18.0000,17.1200,17.3700,3437959,59689372.1100
39,2023-11-24,sh.603535,17.3800,17.6000,17.0000,17.1300,3532208,60788593.3200
40,2023-12-01,sh.603535,17.0200,20.0200,16.9300,19.6100,40158960,767062377.2000
41,2023-12-08,sh.603535,19.0700,20.7900,18.4500,18.8400,45695865,879365008.4500
42,2023-12-15,sh.603535,18.7500,20.2200,18.3600,19.5000,34162265,661776103.0300
43,2023-12-22,sh.603535,19.3300,19.5500,17.9800,18.1600,20134388,377066316.4300
44,2023-12-29,sh.603535,18.3600,18.3800,17.2800,18.0000,11866359,211186978.0200
45,2024-01-05,sh.603535,18.0500,18.4800,17.8300,17.9100,6679329,121600343.1500
46,2024-01-12,sh.603535,18.0000,18.0800,17.4900,17.6900,8116875,144376248.5000
47,2024-01-19,sh.603535,17.6900,17.9600,16.7300,16.9800,7680076,133930461.3100
48,2024-01-26,sh.603535,17.0100,17.0200,15.3800,16.8600,11525342,187011023.6200
49,2024-02-02,sh.603535,16.7700,16.9700,13.2700,13.7700,10284257,156663484.3500
50,2024-02-08,sh.603535,13.6600,13.7300,11.6700,13.6400,11502473,145789175.5300
51,2024-02-23,sh.603535,14.0200,14.8500,14.0000,14.7100,7190632,103987315.8600
52,2024-03-01,sh.603535,15.4500,17.0000,14.6900,15.1600,15084322,233937857.6500
53,2024-03-08,sh.603535,15.2900,16.8000,14.5000,14.6900,14329334,216861204.3800
54,2024-03-15,sh.603535,14.6600,15.6700,14.6500,15.3600,7471195,113985195.2500
55,2024-03-22,sh.603535,15.4000,15.9000,15.1200,15.3100,7993467,124374160.4300
56,2024-03-29,sh.603535,15.3100,15.4600,14.6600,15.1500,6733479,101349825.1200
57,2024-04-03,sh.603535,15.2200,15.7900,15.1500,15.6300,3674636,56845252.2600
