,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.603538,27.4000,28.1000,26.8000,27.4000,30886419,853098139.1400
1,2023-02-24,sh.603538,27.3800,27.7500,26.5500,26.6600,24300312,659503791.1800
2,2023-03-03,sh.603538,26.4800,26.9400,25.9300,26.3100,20791173,549360608.0400
3,2023-03-10,sh.603538,26.3000,26.4300,25.2200,25.4000,14287190,369368002.1500
4,2023-03-17,sh.603538,25.3600,25.7200,24.9000,25.1200,14592918,368446673.6300
5,2023-03-24,sh.603538,25.1500,26.2900,24.1100,25.8300,21010400,534867934.9800
6,2023-03-31,sh.603538,25.9900,26.2500,25.2900,25.5900,16921963,436149297.7800
7,2023-04-07,sh.603538,25.5900,25.7900,23.8800,24.8500,27883519,687951741.7400
8,2023-04-14,sh.603538,24.8300,25.3000,23.9100,24.3000,18650987,455521388.3600
9,2023-04-21,sh.603538,24.3500,24.4600,23.0900,23.0900,15880742,378143028.4600
10,2023-04-28,sh.603538,23.2000,23.8900,22.2000,23.1900,21952938,505816292.5500
11,2023-05-05,sh.603538,20.8700,21.2600,20.6800,20.9100,17152124,359160159.0100
12,2023-05-12,sh.603538,20.8000,21.0600,20.1400,20.1500,14149120,289912433.6300
13,2023-05-19,sh.603538,20.2300,20.6900,19.8800,20.3300,12529099,254502299.0500
14,2023-05-26,sh.603538,20.3300,21.1900,20.2900,20.4900,15161022,314390971.5300
15,2023-06-02,sh.603538,20.4400,20.6900,19.8700,20.2000,9901952,200600103.8400
16,2023-06-09,sh.603538,20.2100,20.2100,18.2500,18.2600,16964155,323676709.0400
17,2023-06-16,sh.603538,18.3100,18.9700,18.0700,18.6900,13326104,246233703.7300
18,2023-06-21,sh.603538,18.6900,18.7600,18.0000,18.0000,6087416,111868923.3800
19,2023-06-30,sh.603538,17.9600,18.6200,17.5900,18.4200,11689247,210875209.5600
20,2023-07-07,sh.603538,18.4600,18.8000,18.3500,18.4100,8328490,154451961.8800
21,2023-07-14,sh.603538,18.3900,18.7200,18.3900,18.5700,6582783,122192391.1300
22,2023-07-21,sh.603538,17.4000,17.4900,16.8900,17.1800,15651215,268410537.4500
23,2023-07-28,sh.603538,17.1300,17.6300,17.0900,17.6000,8542352,148406686.4700
24,2023-08-04,sh.603538,17.5100,17.8600,16.9200,17.1700,19022493,329891948.4700
25,2023-08-11,sh.603538,17.1600,18.3500,16.3900,18.0600,34726251,609381320.7500
26,2023-08-18,sh.603538,18.0200,18.2900,17.0000,17.0000,22736593,401990196.0900
27,2023-08-25,sh.603538,16.9400,17.0800,15.3400,15.4000,15545814,249167110.1900
28,2023-09-01,sh.603538,16.2200,16.6900,15.8900,16.5600,20127576,329013797.1100
29,2023-09-08,sh.603538,16.5400,16.7900,16.1800,16.4500,11325231,186856090.4200
30,2023-09-15,sh.603538,16.3700,17.0700,16.3000,16.8500,13348730,223362257.8200
31,2023-09-22,sh.603538,16.8100,17.1700,16.2600,16.7700,8859650,148562263.2800
32,2023-09-28,sh.603538,16.7000,19.4800,16.6800,18.5300,35978468,658757110.9100
33,2023-10-13,sh.603538,18.6600,20.7400,17.4800,20.7400,81304393,1549861366.5300
34,2023-10-20,sh.603538,20.9600,22.0200,18.2300,18.6700,102488043,2068883176.3100
35,2023-10-27,sh.603538,18.4700,19.9900,17.3800,19.8600,47319318,885804991.1600
36,2023-11-03,sh.603538,19.7800,21.6800,19.6200,20.2100,49182671,1018439999.8100
37,2023-11-10,sh.603538,20.5100,21.0800,19.6000,19.9100,37032881,753433207.3700
38,2023-11-17,sh.603538,19.9200,20.5000,19.4600,19.7800,27193988,540895576.7300
39,2023-11-24,sh.603538,19.8700,21.5200,19.8200,20.8200,41693029,869830936.7200
40,2023-12-01,sh.603538,20.8200,21.5000,20.0900,21.0100,33253452,691190559.7300
41,2023-12-08,sh.603538,20.8700,21.1700,19.1900,19.3000,21038185,423489390.3800
42,2023-12-15,sh.603538,19.2600,21.5000,18.7100,19.8000,32309622,661349662.4000
43,2023-12-22,sh.603538,19.7500,19.8100,18.3900,19.0400,13054716,249435440.5500
44,2023-12-29,sh.603538,19.0000,19.2000,17.9000,19.1200,12882787,237953994.6000
45,2024-01-05,sh.603538,19.2700,19.5100,18.6400,18.7100,7236530,137970563.9600
46,2024-01-12,sh.603538,18.6300,18.8400,17.8600,18.3500,6851639,126151845.6200
47,2024-01-19,sh.603538,18.5800,18.5800,16.4000,16.4000,14915430,257234525.4300
48,2024-01-26,sh.603538,16.3300,16.4600,14.5100,15.4100,19614572,301532382.8300
49,2024-02-02,sh.603538,15.3800,15.5800,11.5500,11.9500,31420517,418262398.0500
50,2024-02-08,sh.603538,11.9500,12.1800,9.9600,12.1500,35375242,396171996.8900
51,2024-02-23,sh.603538,12.4700,13.6700,12.3100,13.5400,25708954,335751489.9000
52,2024-03-01,sh.603538,13.6600,14.8000,13.0800,13.7000,24875383,345211351.2600
53,2024-03-08,sh.603538,13.6900,14.2700,12.8100,12.9400,24947046,335747912.6500
54,2024-03-15,sh.603538,12.9300,14.2300,12.9200,14.1300,25595457,352288580.9100
55,2024-03-22,sh.603538,14.1300,15.2900,13.9700,14.5000,30630758,448695993.9200
56,2024-03-29,sh.603538,14.6000,14.6600,13.6400,14.0200,14967510,211830051.0700
57,2024-04-03,sh.603538,13.9900,14.3500,13.9200,13.9600,8047586,113638378.1800
