,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.603580,16.4000,19.1900,16.3400,17.4800,18335650,332184822.4000
1,2023-02-24,sh.603580,17.4700,18.9800,17.3200,18.2700,12109894,220837669.6600
2,2023-03-03,sh.603580,18.2400,18.4600,16.8300,17.0000,9756176,171770086.0800
3,2023-03-10,sh.603580,17.2000,17.4600,16.0600,16.1800,7238726,121025766.0800
4,2023-03-17,sh.603580,16.1000,16.4000,14.2800,15.5800,5531748,87352179.2800
5,2023-03-24,sh.603580,15.6100,15.7300,14.9200,15.1300,6513916,99482330.0800
6,2023-03-31,sh.603580,15.1700,16.2800,15.0700,15.9000,7059730,110200852.8300
7,2023-04-07,sh.603580,16.1800,16.3500,15.1600,15.2500,6059284,94605078.4000
8,2023-04-14,sh.603580,15.2500,15.4100,14.5800,14.9600,7068354,105941953.0400
9,2023-04-21,sh.603580,14.8900,15.1000,13.5800,13.5900,5344754,76753091.1300
10,2023-04-28,sh.603580,13.5900,16.6000,13.5900,14.3800,30140937,462658836.1300
11,2023-05-05,sh.603580,14.3200,14.3500,13.4100,13.6600,5950759,82146381.6500
12,2023-05-12,sh.603580,13.6000,13.6000,12.5100,12.5400,9481296,122504458.7200
13,2023-05-19,sh.603580,12.5800,13.8200,12.5800,13.2800,7555976,99553083.3600
14,2023-05-26,sh.603580,13.3500,14.2500,13.1800,13.8500,6708290,92638338.8400
15,2023-06-02,sh.603580,14.0200,14.5400,13.4000,13.9400,7715516,107120988.8800
16,2023-06-09,sh.603580,13.9500,14.2000,13.5200,13.6200,5732062,79339260.7600
17,2023-06-16,sh.603580,13.6900,13.8500,13.3000,13.5400,4061468,55060487.8400
18,2023-06-21,sh.603580,13.6100,13.7200,13.0300,13.0500,2174520,28914073.6000
19,2023-06-30,sh.603580,13.0500,14.3000,12.9000,14.2300,6260388,85395809.5200
20,2023-07-07,sh.603580,14.4000,14.4400,13.7000,13.7400,4468564,62211343.0400
21,2023-07-14,sh.603580,13.8300,13.9400,13.5000,13.7100,4431195,60881227.2100
22,2023-07-21,sh.603580,13.7900,14.2700,13.5800,13.7600,5636416,78923251.2000
23,2023-07-28,sh.603580,13.7900,14.5000,13.7000,14.1400,6020284,85243482.0800
24,2023-08-04,sh.603580,14.2700,14.3200,13.6900,13.7500,4794108,66951847.9600
25,2023-08-11,sh.603580,13.7700,14.4100,13.6500,14.1500,6588351,92084820.3500
26,2023-08-18,sh.603580,14.0500,14.2400,13.2100,13.9600,8857077,121131234.7800
27,2023-08-25,sh.603580,14.1100,14.2000,12.6000,12.7600,6302596,85277595.2800
28,2023-09-01,sh.603580,13.5800,14.4500,12.9000,14.2000,8089012,111865578.6000
29,2023-09-08,sh.603580,14.2700,14.8500,14.1200,14.4000,6682700,96515651.0000
30,2023-09-15,sh.603580,14.4300,14.6600,13.9100,14.0100,4641400,66288355.0000
31,2023-09-22,sh.603580,14.1000,14.4800,13.7700,14.1500,3446687,48374243.1900
32,2023-09-28,sh.603580,14.1300,14.3000,13.5400,13.9800,4317592,59928276.5200
33,2023-10-13,sh.603580,13.9800,14.1100,12.8000,13.0300,5527236,73809162.8000
34,2023-10-20,sh.603580,13.0900,13.2500,12.5800,12.9200,4677660,60543870.4400
35,2023-10-27,sh.603580,12.7500,13.4000,12.2200,13.2800,6597801,85436008.3800
36,2023-11-03,sh.603580,13.2700,13.9900,13.2700,13.8300,6140893,83812053.0300
37,2023-11-10,sh.603580,13.8500,14.3300,13.8000,14.1200,5846624,82323969.9200
38,2023-11-17,sh.603580,14.0500,14.4200,14.0200,14.2900,5173640,73638445.8000
39,2023-11-24,sh.603580,14.4500,14.7100,13.9000,14.2500,6841992,97142667.5600
40,2023-12-01,sh.603580,14.2100,14.6200,14.0800,14.1800,6316942,90691105.3200
41,2023-12-08,sh.603580,14.1900,14.6800,14.1500,14.1900,6805440,97909215.2000
42,2023-12-15,sh.603580,14.0500,14.7500,13.8800,14.6100,7270153,103644331.2500
43,2023-12-22,sh.603580,14.6000,14.6200,14.0300,14.1900,5622600,80521373.0000
44,2023-12-29,sh.603580,14.1800,15.0300,13.7200,14.8900,7314892,104604537.2800
45,2024-01-05,sh.603580,14.8800,15.4800,14.8400,14.9900,7211084,108798373.7200
46,2024-01-12,sh.603580,14.9900,15.8300,14.7000,14.8600,8033096,120333626.9200
47,2024-01-19,sh.603580,14.8500,15.2200,14.0100,14.0500,7777048,113895654.2400
48,2024-01-26,sh.603580,14.0500,14.0500,12.0200,13.5500,10992242,142264398.9800
49,2024-02-02,sh.603580,13.9200,13.9300,9.8300,10.2400,13312542,152828195.9200
50,2024-02-08,sh.603580,9.9900,9.9900,6.7200,7.9200,15355944,118699652.7200
51,2024-02-23,sh.603580,7.9300,9.9300,7.6200,9.7300,16552330,144369058.1400
52,2024-03-01,sh.603580,9.7600,10.8500,8.7200,9.6600,21812421,214397955.7000
53,2024-03-08,sh.603580,9.6500,13.8400,9.3200,13.8400,39802712,464121714.3000
54,2024-03-15,sh.603580,12.4600,22.2800,12.4600,22.2800,86589054,1536213298.2600
55,2024-03-22,sh.603580,24.5100,32.7500,20.1400,30.0100,110094972,3107889249.1300
56,2024-03-29,sh.603580,30.9900,33.0100,26.7700,27.9100,104139848,3071562389.9500
57,2024-04-03,sh.603580,27.8400,28.4300,25.2700,25.8800,48341045,1296123758.3800
