,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.603700,14.1100,14.8100,14.0700,14.1600,11830385,171498461.6400
1,2023-02-24,sh.603700,14.1800,14.4800,14.0000,14.2000,7730280,109991253.1100
2,2023-03-03,sh.603700,14.1500,14.4200,13.9600,14.1800,6641030,94291811.8000
3,2023-03-10,sh.603700,14.1800,14.3200,13.7300,13.7700,4937004,69059482.6000
4,2023-03-17,sh.603700,13.7000,14.6500,13.3800,13.8700,13411480,188316606.3000
5,2023-03-24,sh.603700,13.8700,14.3900,13.8700,14.2700,7616068,107776605.4100
6,2023-03-31,sh.603700,14.3000,14.3700,13.9000,14.0700,5998509,84738298.3600
7,2023-04-07,sh.603700,14.0700,14.1600,13.7300,14.0900,4934930,68994147.9000
8,2023-04-14,sh.603700,14.0900,14.2000,13.6600,13.9600,6470890,90154245.0000
9,2023-04-21,sh.603700,13.8600,13.9800,13.3100,13.3200,7537881,103210770.8100
10,2023-04-28,sh.603700,13.4100,14.1000,12.8500,13.9900,8166813,109589911.8300
11,2023-05-05,sh.603700,13.9200,14.6600,13.8300,14.1400,7650366,109520167.8800
12,2023-05-12,sh.603700,14.2100,14.3000,13.7100,13.8100,6516663,90881182.5300
13,2023-05-19,sh.603700,13.8800,14.3200,13.8000,14.2700,7669038,107989957.1600
14,2023-05-26,sh.603700,14.2800,15.2600,14.1500,14.6000,15192130,221249802.6000
15,2023-06-02,sh.603700,14.6000,14.6900,14.1600,14.5500,10912852,157257549.9600
16,2023-06-09,sh.603700,14.4700,14.5100,13.8200,13.9600,7395577,104494414.7800
17,2023-06-16,sh.603700,13.9900,14.6800,13.8200,14.6000,7568954,109194903.3300
18,2023-06-21,sh.603700,14.6800,14.6800,14.3000,14.3600,3533307,51177706.2000
19,2023-06-30,sh.603700,13.9800,14.6200,13.5600,14.6200,13905440,196260469.3700
20,2023-07-07,sh.603700,14.6300,14.8000,14.1700,14.3900,7916714,114691018.9100
21,2023-07-14,sh.603700,14.4900,14.8000,14.2300,14.5900,7508983,108818385.7400
22,2023-07-21,sh.603700,14.6300,14.9000,14.2500,14.3700,8838083,129428724.6100
23,2023-07-28,sh.603700,14.2500,14.8400,14.2500,14.5600,9549946,139055061.3600
24,2023-08-04,sh.603700,14.5800,14.6400,14.2000,14.3300,7264916,104159645.2800
25,2023-08-11,sh.603700,14.2700,14.3200,13.6800,13.7000,7687530,107720976.4400
26,2023-08-18,sh.603700,13.6400,14.1100,13.2900,13.8300,9542014,130539097.6200
27,2023-08-25,sh.603700,13.8200,14.0500,13.0800,13.1300,8506455,114538265.5900
28,2023-09-01,sh.603700,13.8100,14.5800,13.5300,14.4100,19103948,269995818.1300
29,2023-09-08,sh.603700,14.5000,14.6100,14.2900,14.4200,9395060,136067891.2000
30,2023-09-15,sh.603700,14.4200,14.7800,14.0000,14.0800,10061766,145130722.9300
31,2023-09-22,sh.603700,14.0700,14.4300,13.9400,14.4000,6998346,98986469.7600
32,2023-09-28,sh.603700,14.4000,14.4900,14.1800,14.4500,6455330,92772051.8000
33,2023-10-13,sh.603700,14.4700,14.5300,14.1800,14.2700,7869010,112917102.4000
34,2023-10-20,sh.603700,14.2700,14.2900,13.5200,13.5900,6097545,85004867.4500
35,2023-10-27,sh.603700,13.6000,14.1500,13.2000,13.8700,9813077,134636948.0900
36,2023-11-03,sh.603700,13.8300,14.0400,13.5900,13.9600,8928234,123654498.9600
37,2023-11-10,sh.603700,14.1000,14.3000,13.9300,14.0900,8449861,119488678.1900
38,2023-11-17,sh.603700,14.1400,14.4900,14.1200,14.4300,7620540,109262587.8000
39,2023-11-24,sh.603700,14.4500,14.6200,14.2100,14.3200,7133559,103055255.9900
40,2023-12-01,sh.603700,14.2600,14.6000,14.1600,14.1900,8566160,122958033.7000
41,2023-12-08,sh.603700,14.1800,14.3000,13.8100,13.8100,7883000,111258105.0000
42,2023-12-15,sh.603700,13.7300,14.2000,13.6700,14.0800,8106410,113600070.7000
43,2023-12-22,sh.603700,14.0900,14.5900,13.7100,13.7700,13046769,183869796.9000
44,2023-12-29,sh.603700,13.8500,14.2800,13.4200,14.2700,9766033,134817401.1700
45,2024-01-05,sh.603700,14.2800,14.6900,14.2000,14.4000,10273221,149003673.2500
46,2024-01-12,sh.603700,14.3100,14.5800,14.0300,14.3500,8448901,120866907.2600
47,2024-01-19,sh.603700,14.3700,14.7200,13.5800,13.6200,12027458,169794126.9200
48,2024-01-26,sh.603700,13.6000,13.6300,11.6900,12.9400,17375354,217843477.8400
49,2024-02-02,sh.603700,13.0400,13.0600,9.9200,10.3000,13340957,152075440.8400
50,2024-02-08,sh.603700,10.1400,10.1600,8.3600,9.7900,19518296,177991866.3900
51,2024-02-23,sh.603700,9.9500,11.0900,9.9100,11.0500,15517323,163819940.3600
52,2024-03-01,sh.603700,11.0900,11.9400,10.5800,11.0200,15175703,169927692.2300
53,2024-03-08,sh.603700,11.0900,11.2300,10.7200,11.0300,11038638,121140236.8000
54,2024-03-15,sh.603700,11.0900,11.7600,10.9200,11.5300,9681368,109976128.7200
55,2024-03-22,sh.603700,11.5800,12.1600,11.5500,11.8200,8034829,95336551.7400
56,2024-03-29,sh.603700,11.8500,11.9600,11.1300,11.5000,9511782,108630029.6300
57,2024-04-03,sh.603700,11.5000,12.1100,11.5000,11.8800,5010699,59374675.9600
