,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.603967,10.6200,10.6200,10.2300,10.3000,14925466,156400357.2200
1,2023-02-24,sh.603967,10.3500,10.6900,10.3000,10.6700,13852610,145845912.4000
2,2023-03-03,sh.603967,10.6000,10.7300,10.5200,10.6400,12160066,128980898.5300
3,2023-03-10,sh.603967,10.6300,10.7200,10.3700,10.4300,14070199,148274675.1100
4,2023-03-17,sh.603967,10.4200,10.7500,10.2700,10.3400,16374526,171630572.3400
5,2023-03-24,sh.603967,10.3900,10.6100,10.1300,10.2600,15162585,156556845.0500
6,2023-03-31,sh.603967,10.2900,10.4900,9.7000,9.8400,18444100,184345697.4000
7,2023-04-07,sh.603967,9.8200,10.0500,9.7700,9.9500,11504090,113843858.5000
8,2023-04-14,sh.603967,9.9500,9.9900,9.7300,9.9700,8427980,83098524.3000
9,2023-04-21,sh.603967,9.9500,10.1100,9.5300,9.5500,12667870,125074662.3000
10,2023-04-28,sh.603967,9.5900,9.7400,9.2500,9.7200,8948659,85039777.2900
11,2023-05-05,sh.603967,9.7200,9.9800,9.6300,9.8000,5027681,49128181.5000
12,2023-05-12,sh.603967,9.7800,10.0800,9.4300,9.4500,13753122,135270109.0600
13,2023-05-19,sh.603967,9.5000,9.5800,9.3000,9.3600,7866633,74118794.8700
14,2023-05-26,sh.603967,9.4000,9.7100,9.1000,9.1600,9963200,93396627.0000
15,2023-06-02,sh.603967,9.1600,9.2500,9.0400,9.2300,7726694,70704555.2600
16,2023-06-09,sh.603967,9.2600,9.3800,9.0500,9.2400,6017180,55418729.9000
17,2023-06-16,sh.603967,9.2400,9.3400,9.0500,9.1500,7869288,72349242.1200
18,2023-06-21,sh.603967,9.1300,9.1700,8.9200,8.9300,4300910,38885735.6000
19,2023-06-30,sh.603967,8.9100,9.1700,8.7800,9.1400,5718590,51246983.8700
20,2023-07-07,sh.603967,9.1400,9.2100,9.1000,9.1500,5338261,48869398.1500
21,2023-07-14,sh.603967,9.2000,9.3800,9.1100,9.2800,6662590,61575455.2000
22,2023-07-21,sh.603967,9.2700,9.4400,9.1900,9.3800,6896262,64420083.3300
23,2023-07-28,sh.603967,9.3300,9.5900,9.3000,9.5700,8173620,77386102.7000
24,2023-08-04,sh.603967,9.5600,9.7400,9.3700,9.3900,9878591,93885679.2900
25,2023-08-11,sh.603967,9.3600,9.4700,9.2300,9.3000,6936543,64749182.8600
26,2023-08-18,sh.603967,9.2600,9.7900,9.1700,9.6200,11599723,110584740.8400
27,2023-08-25,sh.603967,9.6200,9.6800,8.9100,9.0200,11958889,110938603.7200
28,2023-09-01,sh.603967,9.3600,9.5200,9.2100,9.3800,13287692,124518132.7200
29,2023-09-08,sh.603967,9.4400,9.6300,9.4000,9.5900,11392619,108761365.2100
30,2023-09-15,sh.603967,9.5900,9.7600,9.5300,9.7100,10595516,102481582.8400
31,2023-09-22,sh.603967,9.7100,9.7800,9.5800,9.6500,9747568,94450542.3600
32,2023-09-28,sh.603967,9.6700,9.7300,9.5200,9.6600,6505229,62592807.6300
33,2023-10-13,sh.603967,9.6400,9.6500,9.3100,9.3200,7780260,73577264.6000
34,2023-10-20,sh.603967,9.3500,9.5400,9.1200,9.2200,6236730,58240067.5000
35,2023-10-27,sh.603967,9.1900,9.5500,8.9300,9.5000,9500386,88547736.6800
36,2023-11-03,sh.603967,9.4600,9.7400,9.4600,9.6500,10176927,98037597.5300
37,2023-11-10,sh.603967,9.7200,9.8300,9.5800,9.7800,9692847,94054764.1800
38,2023-11-17,sh.603967,9.7200,9.9100,9.6700,9.7500,10293643,100802687.9400
39,2023-11-24,sh.603967,9.8000,9.8600,9.6700,9.8200,10373080,101425877.1000
40,2023-12-01,sh.603967,9.7800,10.0300,9.7500,9.9300,11607742,114902333.9000
41,2023-12-08,sh.603967,9.9400,9.9800,9.5800,9.5900,9851610,96939868.1000
42,2023-12-15,sh.603967,9.5100,10.0600,9.4300,9.8800,10746240,105444531.1000
43,2023-12-22,sh.603967,9.9300,13.1600,9.8800,11.3200,166800041,1973352192.4800
44,2023-12-29,sh.603967,11.0200,11.1100,9.9100,10.3400,113627556,1186787059.5600
45,2024-01-05,sh.603967,10.4700,10.7900,10.2800,10.3200,61047670,644670682.2000
46,2024-01-12,sh.603967,10.3200,10.5300,10.0600,10.2600,39482810,406133977.3000
47,2024-01-19,sh.603967,10.3300,10.4400,9.3700,9.4600,37337360,370383228.8000
48,2024-01-26,sh.603967,9.3700,9.8000,8.6400,9.7000,39065088,359254754.4700
49,2024-02-02,sh.603967,9.7500,9.7500,7.5800,7.8300,31718922,274560205.5400
50,2024-02-08,sh.603967,7.7500,7.7700,6.4000,7.5800,45158848,318766963.6700
51,2024-02-23,sh.603967,7.6200,8.3400,7.6200,8.2600,30954118,248742740.7400
52,2024-03-01,sh.603967,8.3700,8.8600,7.8000,8.1500,39793420,334052396.3000
53,2024-03-08,sh.603967,8.2000,8.3900,7.9900,8.1700,19878468,162300001.4200
54,2024-03-15,sh.603967,8.1700,8.5800,8.1300,8.5700,20676370,173452956.8000
55,2024-03-22,sh.603967,8.6200,9.0000,8.5600,8.7700,23273460,204628549.0200
56,2024-03-29,sh.603967,8.7100,9.9100,8.4500,9.4000,41744500,383303378.1200
57,2024-04-03,sh.603967,9.3500,11.4200,9.2200,11.4200,83429066,862801205.0200
