,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.605005,16.9800,17.7800,16.9200,17.4200,8087778,140577575.8100
1,2023-02-24,sh.605005,17.4400,17.7000,17.0100,17.1600,10896334,189310424.3600
2,2023-03-03,sh.605005,17.2000,17.2900,16.7300,17.0400,6247500,106179176.0000
3,2023-03-10,sh.605005,17.0700,17.1400,16.2500,16.5900,5525273,92049205.2900
4,2023-03-17,sh.605005,16.5900,17.7000,16.1900,16.4200,9025556,151563657.9200
5,2023-03-24,sh.605005,16.4100,17.0600,16.2500,16.4000,7628299,126657585.1900
6,2023-03-31,sh.605005,16.4300,16.4900,15.7000,16.0900,4073934,65513979.7600
7,2023-04-07,sh.605005,16.0100,16.1600,15.7100,15.8500,3437247,54692355.8200
8,2023-04-14,sh.605005,15.7600,15.9000,15.6100,15.8000,2972500,46820982.9000
9,2023-04-21,sh.605005,15.8200,15.9600,15.0200,15.2500,2642934,41393001.6000
10,2023-04-28,sh.605005,14.7300,15.7100,14.7300,15.0700,3551505,54119489.9900
11,2023-05-05,sh.605005,14.3200,15.0600,14.3200,14.7500,1365700,20179667.0000
12,2023-05-12,sh.605005,14.7500,15.1100,14.5000,14.7500,2288740,33875227.5000
13,2023-05-19,sh.605005,14.8200,15.3900,14.6500,15.1200,2126467,31950398.7000
14,2023-05-26,sh.605005,15.2100,16.1500,15.0300,15.6400,4409134,68317875.0900
15,2023-06-02,sh.605005,15.7200,15.9000,15.1400,15.4300,2328268,36026191.5600
16,2023-06-09,sh.605005,15.4800,15.6400,14.7500,14.9100,1842200,27785353.0000
17,2023-06-16,sh.605005,14.8200,15.9200,14.8000,15.5500,3809853,59492291.5100
18,2023-06-21,sh.605005,15.8200,16.0100,15.5700,15.8200,1895047,29882572.0000
19,2023-06-30,sh.605005,15.8300,16.0500,15.4400,15.8300,3791600,59844225.0000
20,2023-07-07,sh.605005,15.9000,21.0700,15.7300,18.7100,44249344,850928837.5800
21,2023-07-14,sh.605005,18.6000,19.5300,18.0200,18.6000,52455664,987896446.1600
22,2023-07-21,sh.605005,18.6000,18.6000,17.0000,17.1600,19693615,351015251.0400
23,2023-07-28,sh.605005,17.1100,17.5000,16.4900,17.0600,13278807,225778832.0200
24,2023-08-04,sh.605005,17.1400,17.5100,16.7400,16.8600,10404195,176981663.6000
25,2023-08-11,sh.605005,16.8000,17.1400,16.3000,16.3000,6634400,110777284.0000
26,2023-08-18,sh.605005,16.1500,16.6000,15.7400,16.4000,5530929,89834539.6600
27,2023-08-25,sh.605005,16.4000,16.7400,15.6600,15.6800,5072900,82046869.0000
28,2023-09-01,sh.605005,16.3900,17.1800,15.7200,17.0600,9556047,159597979.1400
29,2023-09-08,sh.605005,17.1000,17.2400,16.6800,17.0100,5423034,92157227.0000
30,2023-09-15,sh.605005,17.1600,18.0000,16.5500,16.5700,10958970,188905064.8000
31,2023-09-22,sh.605005,16.5700,17.5300,16.3100,16.8400,6527070,110580745.1000
32,2023-09-28,sh.605005,16.8400,17.3800,16.6400,17.1600,4184670,70990755.2000
33,2023-10-13,sh.605005,17.4000,17.7500,17.2400,17.5500,8890875,155506087.2500
34,2023-10-20,sh.605005,17.5400,17.7800,16.9900,17.0500,7221979,125737709.6000
35,2023-10-27,sh.605005,16.7000,19.5800,16.4700,18.4100,14429470,260827112.9800
36,2023-11-03,sh.605005,18.4000,19.6100,17.6100,18.8300,42891487,795863812.6200
37,2023-11-10,sh.605005,18.7600,19.9900,17.9100,18.7900,39337568,743209853.7500
38,2023-11-17,sh.605005,18.2800,19.2800,18.2200,19.0400,27788845,524220096.7600
39,2023-11-24,sh.605005,19.0400,19.3700,18.1000,18.4700,22979159,432509350.2100
40,2023-12-01,sh.605005,18.5000,24.5900,18.5000,19.6100,86146650,1856904217.2900
41,2023-12-08,sh.605005,19.5600,20.1400,17.6900,17.7600,42619607,811046396.4500
42,2023-12-15,sh.605005,17.6300,18.4300,17.5700,17.7600,20949688,376618008.3600
43,2023-12-22,sh.605005,17.6400,17.8400,16.9800,17.1800,12500809,217881700.2500
44,2023-12-29,sh.605005,17.1800,17.6600,17.0000,17.5400,11140200,193199161.0000
45,2024-01-05,sh.605005,17.5200,17.6500,16.7000,16.7700,9187550,157754714.0000
46,2024-01-12,sh.605005,16.8100,16.9800,16.3200,16.7000,8007610,133686536.6200
47,2024-01-19,sh.605005,16.7600,16.8800,15.6300,15.9100,8432591,136335771.8600
48,2024-01-26,sh.605005,15.7800,15.9100,14.6900,15.4400,9295231,142459888.9900
49,2024-02-02,sh.605005,15.4000,15.5600,13.1000,13.6100,10650388,152283645.8300
50,2024-02-08,sh.605005,13.4000,13.4200,11.3000,13.3500,14760248,186805711.4500
51,2024-02-23,sh.605005,13.4200,14.9100,13.4200,14.8900,10280060,145766832.4400
52,2024-03-01,sh.605005,15.1000,16.0200,14.3700,15.2800,12344927,188222494.0900
53,2024-03-08,sh.605005,15.2800,15.4700,14.9300,15.1400,6561977,99461193.8500
54,2024-03-15,sh.605005,15.1900,15.9500,15.0100,15.9500,8017623,125335509.8800
55,2024-03-22,sh.605005,15.9200,18.9300,15.9200,18.2300,36932607,649785504.0600
56,2024-03-29,sh.605005,17.7100,18.5000,16.3800,16.8900,32905711,570644728.1100
57,2024-04-03,sh.605005,16.9100,17.3300,16.3000,16.5400,9210536,155637871.8500
