,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.605020,50.5700,56.9900,50.2500,51.6900,18159434,972874263.7800
1,2023-02-24,sh.605020,51.9500,52.5200,49.6000,51.8000,11957336,608008400.7900
2,2023-03-03,sh.605020,51.6500,57.4200,50.0000,55.2000,14027209,770241856.3500
3,2023-03-10,sh.605020,55.0800,55.6900,48.6000,48.8900,13309430,691898612.1200
4,2023-03-17,sh.605020,49.3500,50.3000,46.8900,47.0800,11529213,560684028.5800
5,2023-03-24,sh.605020,46.9900,49.2100,43.5900,43.7800,16204091,750241905.8900
6,2023-03-31,sh.605020,44.1100,48.0500,43.2000,47.2000,16219674,741351486.0200
7,2023-04-07,sh.605020,46.9700,47.9800,42.3400,46.2500,15162978,679786956.6600
8,2023-04-14,sh.605020,46.0300,50.6600,46.0000,46.5600,14455082,700884754.5400
9,2023-04-21,sh.605020,46.6000,48.5700,43.3100,43.4600,12359415,570159360.6700
10,2023-04-28,sh.605020,43.4700,44.0300,40.7200,41.5500,11651827,493055122.4500
11,2023-05-05,sh.605020,41.8300,42.6500,40.2600,40.4200,3414520,140740249.7900
12,2023-05-12,sh.605020,40.0000,41.6000,37.2000,37.3300,9139102,356978841.8200
13,2023-05-19,sh.605020,37.4600,39.4000,36.7000,38.2400,9998674,379438529.1800
14,2023-05-26,sh.605020,38.2700,40.4900,37.5100,38.0600,9684410,379811944.7300
15,2023-06-02,sh.605020,38.5500,39.4300,36.5100,38.4100,9888511,372996308.8400
16,2023-06-09,sh.605020,38.4100,39.1200,35.3800,36.1100,11728111,435853723.8400
17,2023-06-16,sh.605020,36.2900,37.4100,25.7500,25.9400,8984413,302648593.2400
18,2023-06-21,sh.605020,25.7000,26.1300,24.4700,24.5200,11432864,286541602.5400
19,2023-06-30,sh.605020,24.2900,25.9900,24.1000,25.8100,12719967,317011742.1000
20,2023-07-07,sh.605020,25.8200,27.6600,25.8100,26.4100,16330341,440046038.8400
21,2023-07-14,sh.605020,26.4400,30.4100,26.3300,30.0200,36190413,1047890654.0200
22,2023-07-21,sh.605020,29.8500,34.2000,29.6100,33.4700,28558313,912258400.0300
23,2023-07-28,sh.605020,33.4000,33.4000,29.6000,30.3500,29016621,905265979.8800
24,2023-08-04,sh.605020,30.5000,31.0500,28.8400,29.3500,13410620,398849883.1800
25,2023-08-11,sh.605020,29.2600,34.3400,29.1500,32.2900,45006739,1449416484.9100
26,2023-08-18,sh.605020,31.5000,32.9000,29.6000,29.9400,22867660,714869695.3700
27,2023-08-25,sh.605020,29.9100,29.9100,27.6800,28.2600,13609203,388500249.6200
28,2023-09-01,sh.605020,29.5000,30.3000,27.6000,29.1300,11930245,345721787.0200
29,2023-09-08,sh.605020,29.1200,29.9800,28.3900,28.6900,8578710,249455973.5800
30,2023-09-15,sh.605020,28.6900,29.3000,27.0100,27.3400,10930415,307730131.0700
31,2023-09-22,sh.605020,27.4800,28.0800,26.5000,26.8300,9184936,249841714.4400
32,2023-09-28,sh.605020,26.8900,27.3700,26.4600,27.0800,6609013,177556717.5900
33,2023-10-13,sh.605020,27.7000,28.7800,27.2000,27.8800,15422751,433260889.2600
34,2023-10-20,sh.605020,27.9800,28.0800,23.2000,23.2200,20804813,508785704.9500
35,2023-10-27,sh.605020,23.3000,23.6000,21.8000,23.4600,12967074,295916740.0200
36,2023-11-03,sh.605020,23.2900,23.7500,22.8000,23.1500,10259421,238333642.6300
37,2023-11-10,sh.605020,23.3700,24.0500,23.0800,23.5600,8843241,209230757.4900
38,2023-11-17,sh.605020,23.5600,24.5800,23.2000,23.9700,11893140,283774462.3500
39,2023-11-24,sh.605020,24.0100,27.7800,23.6200,26.6400,25260474,656069420.1300
40,2023-12-01,sh.605020,26.7200,27.3400,25.1500,25.4500,19488681,513114856.6400
41,2023-12-08,sh.605020,25.1900,26.3200,24.5500,24.7100,11734670,298657621.5700
42,2023-12-15,sh.605020,24.7000,26.0000,24.1900,25.1000,13923315,352155996.0900
43,2023-12-22,sh.605020,24.8300,25.4800,24.0000,24.4000,7354631,181728191.3100
44,2023-12-29,sh.605020,24.2100,25.1700,23.6400,25.0100,7961106,193392550.5800
45,2024-01-05,sh.605020,24.9900,27.7000,24.4300,26.7100,17597222,457914113.6700
46,2024-01-12,sh.605020,27.1700,28.3500,26.0400,26.4200,33330047,911899791.1300
47,2024-01-19,sh.605020,26.0500,27.3000,24.8800,26.1800,16319757,427322134.4100
48,2024-01-26,sh.605020,26.1800,27.6000,24.2100,26.4300,13719276,357533056.7400
49,2024-02-02,sh.605020,27.2800,27.2800,24.5900,26.0200,12728322,330163330.4300
50,2024-02-08,sh.605020,25.2000,29.9700,24.3000,27.9600,19370687,532366827.9300
51,2024-02-23,sh.605020,28.5000,32.8500,27.8800,32.3300,33977458,1054744694.3700
52,2024-03-01,sh.605020,32.1100,33.6800,29.9500,31.1900,26844896,852231254.8500
53,2024-03-08,sh.605020,30.8500,31.6900,29.7600,30.3000,20821909,635739703.9000
54,2024-03-15,sh.605020,30.2900,31.5100,29.0100,31.2000,25071838,750844249.8500
55,2024-03-22,sh.605020,30.5700,30.8000,27.7800,28.2400,36421244,1056635096.3000
56,2024-03-29,sh.605020,28.1900,30.1800,28.0100,29.3800,36602156,1062840782.5400
57,2024-04-03,sh.605020,29.1600,30.9500,28.4600,30.2300,21517774,645836988.1400
