,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.605116,27.1500,27.6600,26.3500,26.4900,4602400,124636117.4400
1,2023-02-24,sh.605116,26.4500,27.2500,26.2000,26.5500,2889306,77142953.3000
2,2023-03-03,sh.605116,26.6800,28.0000,26.1100,26.9000,5286441,141792576.8000
3,2023-03-10,sh.605116,26.9200,28.2300,26.1400,26.2200,4948140,133196518.0000
4,2023-03-17,sh.605116,26.2300,27.0900,25.4300,26.1200,4035094,105745220.0200
5,2023-03-24,sh.605116,26.2800,27.3100,25.5900,26.3800,4357500,116078368.0000
6,2023-03-31,sh.605116,26.1500,27.1000,25.6000,26.5200,4571766,119930261.2400
7,2023-04-07,sh.605116,26.5700,28.4200,26.2100,27.7200,5177494,140343994.1200
8,2023-04-14,sh.605116,27.7100,28.2900,27.1300,27.6800,6508200,180398325.0000
9,2023-04-21,sh.605116,27.5600,27.7200,25.9000,26.1500,5102108,136179285.7200
10,2023-04-28,sh.605116,25.9600,26.3400,24.6500,26.0200,4627956,118453483.1200
11,2023-05-05,sh.605116,26.5500,26.5500,25.1400,25.2200,1902500,48842301.0000
12,2023-05-12,sh.605116,25.3300,25.8000,24.5500,24.8900,4494538,112588462.7400
13,2023-05-19,sh.605116,24.8300,26.3900,24.6800,26.3900,3943924,100437237.1900
14,2023-05-26,sh.605116,26.0000,26.8000,25.5800,26.2000,4836900,127089328.6800
15,2023-06-02,sh.605116,26.4200,26.6300,25.1500,25.3400,3076000,79934124.0000
16,2023-06-09,sh.605116,25.5300,25.9700,24.5500,25.0300,4166100,104892576.1600
17,2023-06-16,sh.605116,24.7500,25.6500,24.4000,25.1500,2772300,69025747.0000
18,2023-06-21,sh.605116,25.1500,25.7900,24.9000,25.2500,1826499,46434675.0000
19,2023-06-30,sh.605116,25.6300,27.5800,25.1800,25.2800,9274856,243195575.2000
20,2023-07-07,sh.605116,25.0000,25.3000,24.6500,24.7600,2393796,59634207.8000
21,2023-07-14,sh.605116,24.9300,24.9900,23.6500,23.7700,2469556,60362623.4800
22,2023-07-21,sh.605116,23.7700,24.1500,22.9000,23.0000,2188668,51511077.4000
23,2023-07-28,sh.605116,23.1800,24.0900,23.0100,23.6000,2626056,61543294.8000
24,2023-08-04,sh.605116,23.5000,23.6400,21.5500,21.7000,4862438,109438328.6400
25,2023-08-11,sh.605116,21.7000,24.1600,20.9500,22.8400,11349056,254595408.7200
26,2023-08-18,sh.605116,21.9800,22.6700,20.5500,20.6900,8166880,176762237.9600
27,2023-08-25,sh.605116,20.5700,20.9000,19.9000,20.2300,3787029,77283223.3100
28,2023-09-01,sh.605116,21.0300,21.9500,19.6900,21.6100,5480786,115631295.2200
29,2023-09-08,sh.605116,21.6100,22.4500,21.1800,21.3600,3455400,75208174.0000
30,2023-09-15,sh.605116,21.2700,22.3800,21.1000,21.7200,4553500,98674158.0000
31,2023-09-22,sh.605116,21.8300,24.1000,20.5700,21.3000,21302618,472696199.8000
32,2023-09-28,sh.605116,21.1600,23.1600,21.1500,22.2400,10613100,236485637.0000
33,2023-10-13,sh.605116,22.2700,25.8000,21.6500,25.5600,22939000,545638923.0000
34,2023-10-20,sh.605116,25.4100,26.3800,22.1000,22.1500,19537696,470024412.1200
35,2023-10-27,sh.605116,22.3000,23.6500,21.1500,23.5500,9604111,212661779.2300
36,2023-11-03,sh.605116,23.5700,26.3000,23.4600,25.1000,33498589,847384984.4600
37,2023-11-10,sh.605116,24.9800,26.6300,24.7900,25.3200,16734800,426423253.0000
38,2023-11-17,sh.605116,25.2400,25.6000,24.5900,25.1500,9016791,224870951.6000
39,2023-11-24,sh.605116,25.2400,26.1000,25.0500,25.2300,8660100,221508768.0000
40,2023-12-01,sh.605116,25.1800,26.0000,24.8800,25.7700,6787770,173101036.6000
41,2023-12-08,sh.605116,25.8600,26.1000,24.8000,24.9500,7311306,186448306.9000
42,2023-12-15,sh.605116,25.0300,26.2900,24.8300,25.4200,7862694,202668205.1600
43,2023-12-22,sh.605116,25.3800,25.7500,24.7500,24.9800,4929258,124481741.8500
44,2023-12-29,sh.605116,25.0700,25.9000,24.6900,25.8200,4077600,102956403.0000
45,2024-01-05,sh.605116,25.8200,26.5000,25.3100,25.4100,5020600,129405862.0000
46,2024-01-12,sh.605116,25.4200,25.6800,24.6000,24.7800,5715300,143290048.0000
47,2024-01-19,sh.605116,24.9600,25.2700,23.1600,23.6000,5804625,140949868.6900
48,2024-01-26,sh.605116,23.9900,24.0500,21.8900,23.3500,6637600,152286667.0000
49,2024-02-02,sh.605116,23.7400,23.9500,18.8200,19.4500,8256300,175964344.0000
50,2024-02-08,sh.605116,19.4500,21.0900,17.3300,21.0900,12640781,240558610.6100
51,2024-02-23,sh.605116,22.8800,22.8800,20.7700,22.5800,13397932,296995500.0900
52,2024-03-01,sh.605116,22.5000,23.2400,21.2900,22.6400,8150808,182820076.7600
53,2024-03-08,sh.605116,22.4500,23.6000,21.5800,22.2800,8090631,182149673.8200
54,2024-03-15,sh.605116,22.5000,22.8900,21.8900,22.5300,7042191,157272738.6000
55,2024-03-22,sh.605116,22.5400,23.4000,21.9900,22.2000,5719098,130215209.6000
56,2024-03-29,sh.605116,22.2000,22.7400,21.5600,22.0400,5995524,132107332.7200
57,2024-04-03,sh.605116,22.0000,22.3500,21.7500,22.0400,2873700,63453868.0000
