,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.605117,316.5000,322.9800,295.6800,295.7500,8527368,2635202181.6900
1,2023-02-24,sh.605117,293.3800,328.5800,290.1500,327.8000,11878873,3765500061.9200
2,2023-03-03,sh.605117,326.1600,339.8600,300.0000,303.9800,9709558,3105675058.9500
3,2023-03-10,sh.605117,305.2600,344.6500,299.0100,333.5000,13071884,4275081391.6500
4,2023-03-17,sh.605117,329.7800,333.2600,266.1600,267.0000,15390652,4563170575.2700
5,2023-03-24,sh.605117,265.0600,274.8000,245.0000,257.4400,15180526,3946318321.9900
6,2023-03-31,sh.605117,255.2300,265.4900,248.0000,257.9600,11529471,2957717343.8500
7,2023-04-07,sh.605117,258.0000,266.2800,245.7000,248.5500,9155724,2313889333.1700
8,2023-04-14,sh.605117,249.5500,280.0000,247.5000,270.4600,15116853,4009700946.1400
9,2023-04-21,sh.605117,268.1200,288.4900,257.2600,258.2100,14206118,3862205183.8500
10,2023-04-28,sh.605117,256.9500,275.6400,238.6300,251.3100,21256139,5432916840.3400
11,2023-05-05,sh.605117,248.0000,268.5800,242.5000,250.5000,6645930,1697855956.0200
12,2023-05-12,sh.605117,250.3800,251.5000,225.3500,233.0400,14764443,3524181271.2800
13,2023-05-19,sh.605117,233.0000,262.3600,232.0100,250.7800,13282010,3335315701.0600
14,2023-05-26,sh.605117,252.4500,254.2000,134.0200,146.0100,23679377,3646613506.1600
15,2023-06-02,sh.605117,145.2200,146.0000,131.2000,132.8700,19981198,2717710922.7100
16,2023-06-09,sh.605117,132.8800,133.8000,121.0200,123.8200,15175063,1912651221.6900
17,2023-06-16,sh.605117,123.8300,149.0000,120.5000,147.5000,21507945,2895603425.0900
18,2023-06-21,sh.605117,146.6900,149.4900,143.6500,145.4000,10379451,1516887757.5700
19,2023-06-30,sh.605117,143.4300,151.0100,141.0100,149.5500,15645992,2303576851.3500
20,2023-07-07,sh.605117,152.1000,165.9000,152.1000,154.4000,18498009,2946231317.9100
21,2023-07-14,sh.605117,145.0000,150.8800,138.9600,143.2500,29960555,4308309714.8900
22,2023-07-21,sh.605117,141.0500,141.0600,128.6000,129.9900,13947901,1885012031.8000
23,2023-07-28,sh.605117,129.0000,131.7700,125.1100,128.9700,10694923,1374430644.8700
24,2023-08-04,sh.605117,129.5000,130.2000,116.6400,118.3300,23022880,2791347225.5600
25,2023-08-11,sh.605117,118.2200,118.4500,105.8000,106.4000,37278842,4123481442.7100
26,2023-08-18,sh.605117,106.0000,106.4000,94.6000,94.8200,32660360,3254352662.5300
27,2023-08-25,sh.605117,94.3100,95.2700,86.2200,88.5400,42434200,3801722178.8900
28,2023-09-01,sh.605117,94.0000,96.5000,88.2200,91.4800,33254501,3065800922.9700
29,2023-09-08,sh.605117,91.4900,92.4800,79.9900,80.0400,35622517,3086188362.7900
30,2023-09-15,sh.605117,80.7800,82.6700,77.0000,77.4200,22610373,1810814231.1700
31,2023-09-22,sh.605117,77.3000,80.4400,75.5000,77.2400,30439627,2356046843.3200
32,2023-09-28,sh.605117,76.9000,80.6600,74.5000,77.4400,33026607,2564760850.7500
33,2023-10-13,sh.605117,76.9800,77.7300,73.4700,74.8400,36971029,2798867632.0600
34,2023-10-20,sh.605117,74.8000,74.9000,70.3800,73.3900,34370440,2499304120.1400
35,2023-10-27,sh.605117,73.2000,73.3600,67.0000,72.4300,36255440,2539469252.5900
36,2023-11-03,sh.605117,71.6500,72.5000,66.2200,70.6100,40503608,2823187691.0300
37,2023-11-10,sh.605117,71.2900,76.6000,70.6300,73.9400,34102721,2533340498.7700
38,2023-11-17,sh.605117,74.0900,76.6000,71.7000,72.8500,26375909,1947916777.4800
39,2023-11-24,sh.605117,73.2000,74.2000,66.4800,66.5200,25493422,1786695410.0000
40,2023-12-01,sh.605117,66.1000,66.7900,61.2100,61.9100,20629527,1315641777.8800
41,2023-12-08,sh.605117,62.0000,63.8100,59.5000,59.9300,27604150,1686204508.1400
42,2023-12-15,sh.605117,59.5000,61.2300,55.5100,58.3100,36409788,2113697846.0200
43,2023-12-22,sh.605117,58.2600,73.7000,57.1800,73.3100,84943276,5534210330.7300
44,2023-12-29,sh.605117,72.7500,88.9400,72.5600,83.9000,128134822,10245119991.6200
45,2024-01-05,sh.605117,82.0000,82.0000,75.5000,76.4600,59295933,4685314449.5300
46,2024-01-12,sh.605117,76.0000,94.2700,76.0000,89.2000,118973966,10192444014.8600
47,2024-01-19,sh.605117,89.1500,92.8800,83.5900,83.5900,89142237,7897765102.0000
48,2024-01-26,sh.605117,80.0000,87.1000,75.1800,76.5100,83504120,6734759842.2000
49,2024-02-02,sh.605117,76.3000,76.3000,66.0000,68.8900,76511611,5436643955.7100
50,2024-02-08,sh.605117,69.1000,75.0400,62.2500,73.6700,58803203,4083872849.9700
51,2024-02-23,sh.605117,72.0000,82.8500,70.8800,80.1300,67196416,5171962188.0100
52,2024-03-01,sh.605117,78.5000,87.1700,76.7000,86.1500,61380664,5011687205.3100
53,2024-03-08,sh.605117,86.0700,94.0100,83.0700,94.0100,50515142,4474272018.5800
54,2024-03-15,sh.605117,97.9900,109.9600,95.6100,97.5000,73452286,7459906707.7700
55,2024-03-22,sh.605117,98.1300,104.4100,94.2300,94.9900,48898131,4837485654.1900
56,2024-03-29,sh.605117,94.2100,104.5600,89.4000,90.0200,48824153,4706054598.7500
57,2024-04-03,sh.605117,90.0200,101.3900,90.0000,96.1200,31254174,3035010612.0500
