,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.605199,16.3300,18.7900,16.3300,18.1100,41232735,714049287.8200
1,2023-02-24,sh.605199,18.1600,18.1800,17.0500,17.2900,27905584,490154262.5600
2,2023-03-03,sh.605199,17.2000,18.1900,17.1800,17.5100,25910790,457823027.1000
3,2023-03-10,sh.605199,17.5400,17.7700,16.7000,16.9900,18973762,326957061.0300
4,2023-03-17,sh.605199,16.9400,17.2500,16.3500,16.4000,16396919,274918743.6600
5,2023-03-24,sh.605199,16.4500,16.5800,15.8900,16.1100,10722260,172713425.2100
6,2023-03-31,sh.605199,16.0200,17.0200,15.8600,16.9400,19391837,320289323.3400
7,2023-04-07,sh.605199,16.9500,17.0800,16.6200,16.6900,14616879,245770536.1200
8,2023-04-14,sh.605199,16.6600,16.9100,16.1500,16.7200,13828576,227630465.8500
9,2023-04-21,sh.605199,16.8200,17.6900,16.2300,16.8500,32167803,544469789.2600
10,2023-04-28,sh.605199,17.0000,17.4800,16.3300,17.1600,32220514,546859335.1100
11,2023-05-05,sh.605199,17.0700,17.5600,16.9200,17.0400,11608783,200351738.7200
12,2023-05-12,sh.605199,16.9600,17.4100,15.8100,16.1200,21446158,351742055.2900
13,2023-05-19,sh.605199,15.9000,16.4300,15.8600,16.2600,12920887,208902456.5700
14,2023-05-26,sh.605199,16.2500,16.7100,15.8500,16.3900,16549953,269849512.8400
15,2023-06-02,sh.605199,16.3200,16.7200,15.9400,16.1100,10457795,169667480.5000
16,2023-06-09,sh.605199,16.1100,16.1600,15.1200,15.3700,12740000,198320809.0000
17,2023-06-16,sh.605199,15.3300,15.3300,14.7500,15.1300,10754922,162106053.8800
18,2023-06-21,sh.605199,15.1500,15.2000,14.8700,15.0200,5151070,77468320.9000
19,2023-06-30,sh.605199,15.0000,15.2500,14.4000,15.1400,8469799,126012664.3400
20,2023-07-07,sh.605199,15.1300,15.3100,14.9200,15.1200,7841106,118616007.8700
21,2023-07-14,sh.605199,15.1200,15.3300,15.0700,15.1200,5961995,90667290.8500
22,2023-07-21,sh.605199,15.1200,15.1600,14.7700,15.0500,5413994,81291546.8200
23,2023-07-28,sh.605199,15.0500,15.3900,14.9800,15.3400,6864124,104703756.3700
24,2023-08-04,sh.605199,15.3700,15.4700,15.0100,15.2600,8394858,127997217.9400
25,2023-08-11,sh.605199,15.2100,15.5500,14.7000,15.3900,17505340,267025666.4200
26,2023-08-18,sh.605199,15.3100,15.7600,14.8300,14.8500,20726880,318006481.4400
27,2023-08-25,sh.605199,14.7100,14.8500,13.7500,14.0000,12867467,182681801.0600
28,2023-09-01,sh.605199,14.6400,14.6800,13.9600,14.4400,9593948,137161395.0100
29,2023-09-08,sh.605199,14.5200,14.6000,13.9600,14.0800,6249800,89540873.0000
30,2023-09-15,sh.605199,14.0800,14.5700,14.0000,14.5000,7382284,106117047.3000
31,2023-09-22,sh.605199,14.5000,14.9100,14.4100,14.7100,8960451,131678033.5700
32,2023-09-28,sh.605199,14.7500,15.0700,14.6400,14.8700,5528264,82099421.6400
33,2023-10-13,sh.605199,14.8800,15.7700,14.4600,15.4100,19196899,287795535.9200
34,2023-10-20,sh.605199,15.4100,16.9000,14.4400,15.6600,56364175,885857228.8500
35,2023-10-27,sh.605199,15.5400,15.9700,14.8000,15.4600,28221928,433854433.1000
36,2023-11-03,sh.605199,15.4500,15.9200,15.1700,15.4000,22555682,350413632.0200
37,2023-11-10,sh.605199,15.4600,16.3000,15.4500,16.0000,22385100,356667589.0000
38,2023-11-17,sh.605199,16.1600,16.5000,15.8000,16.3300,14686300,236465224.0000
39,2023-11-24,sh.605199,16.3300,18.5000,16.2300,18.5000,50946475,891452233.3500
40,2023-12-01,sh.605199,18.8000,20.0900,17.1100,17.9500,90796171,1669245154.3700
41,2023-12-08,sh.605199,17.9000,19.1200,16.5000,16.5100,60911099,1086220592.6300
42,2023-12-15,sh.605199,16.5000,17.0700,15.9100,15.9500,31224068,516404796.8700
43,2023-12-22,sh.605199,15.8900,16.1600,14.9600,15.1600,16307864,252556041.9100
44,2023-12-29,sh.605199,15.1600,15.2300,14.6700,15.1600,12019700,179928104.0000
45,2024-01-05,sh.605199,15.1400,15.5800,14.8800,14.9500,13261638,201488979.5400
46,2024-01-12,sh.605199,14.8800,14.9400,14.4400,14.6500,9244867,135607733.0900
47,2024-01-19,sh.605199,14.5300,14.9200,13.6500,13.9700,10016743,143514604.8400
48,2024-01-26,sh.605199,13.9700,14.3500,12.6700,13.8900,13335259,180430769.7400
49,2024-02-02,sh.605199,13.7500,13.9000,10.9400,11.3700,12915363,161979728.9400
50,2024-02-08,sh.605199,11.3600,11.3600,9.5100,11.0000,18834151,196489112.6000
51,2024-02-23,sh.605199,11.0200,12.2400,11.0200,12.2200,21293579,251016277.4600
52,2024-03-01,sh.605199,12.2300,13.0700,11.7500,12.4000,17727176,219936105.6200
53,2024-03-08,sh.605199,12.4100,13.0100,12.1000,12.2600,16860900,210902065.5600
54,2024-03-15,sh.605199,12.2600,13.1700,12.2600,12.8200,20069051,256310664.1100
55,2024-03-22,sh.605199,12.8100,13.2900,12.6600,12.8100,15156822,197179695.6600
56,2024-03-29,sh.605199,12.7200,12.8100,12.0000,12.3000,10495000,129467142.0000
57,2024-04-03,sh.605199,12.3600,12.6900,12.2000,12.5700,6935889,86493607.3800
