,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.605388,15.3800,15.9200,15.1200,15.2600,16772337,260043700.0000
1,2023-02-24,sh.605388,15.2900,15.6500,15.1100,15.2700,10455900,160203478.0000
2,2023-03-03,sh.605388,15.0000,16.0800,15.0000,15.2900,16599800,259695793.0000
3,2023-03-10,sh.605388,15.2200,15.4000,14.4200,14.5200,10963158,162949415.3100
4,2023-03-17,sh.605388,14.3000,14.9500,14.1200,14.1700,11190628,162075154.0300
5,2023-03-24,sh.605388,14.1500,14.7400,13.7700,14.2500,12460041,177095763.0600
6,2023-03-31,sh.605388,14.2800,14.5800,14.0000,14.3400,9646894,137620395.5700
7,2023-04-07,sh.605388,14.4100,14.9200,14.1500,14.1900,10398722,150431131.0300
8,2023-04-14,sh.605388,14.1400,14.2100,13.6900,13.7300,11032100,153072634.4900
9,2023-04-21,sh.605388,13.5600,14.5900,13.5300,14.3000,19808426,279371418.2300
10,2023-04-28,sh.605388,14.3700,14.5500,13.4100,14.3300,24427600,342094563.9300
11,2023-05-05,sh.605388,14.3200,14.5500,14.0000,14.2300,5581600,79324256.0000
12,2023-05-12,sh.605388,14.2100,14.3800,13.1400,13.2100,15471037,210338433.1300
13,2023-05-19,sh.605388,13.2300,13.4900,13.1000,13.3600,9278210,123543043.8400
14,2023-05-26,sh.605388,13.3500,13.6400,13.0700,13.2600,9057040,120779485.4800
15,2023-06-02,sh.605388,13.2400,13.3600,12.9000,13.2800,7930141,104337398.2300
16,2023-06-09,sh.605388,13.2000,13.2900,12.7100,12.7600,8731381,113276452.4400
17,2023-06-16,sh.605388,12.6100,13.3700,12.5300,13.2400,10874524,142643735.0400
18,2023-06-21,sh.605388,13.1600,13.4200,12.5500,12.5700,8005081,103191376.5300
19,2023-06-30,sh.605388,12.5300,12.7800,12.2300,12.7100,10889395,136980864.4500
20,2023-07-07,sh.605388,12.7000,13.0500,12.4700,12.6600,9345025,118405959.7800
21,2023-07-14,sh.605388,12.8200,13.1400,12.6500,12.7800,12666854,162901130.8200
22,2023-07-21,sh.605388,12.7300,13.3400,12.5200,13.1900,12105078,157718434.8300
23,2023-07-28,sh.605388,13.0500,13.3300,13.0100,13.2800,12625944,166741677.1600
24,2023-08-04,sh.605388,13.3800,13.7200,13.1200,13.4800,12255850,164002587.1200
25,2023-08-11,sh.605388,13.4600,13.4700,13.0600,13.1600,10749562,141923958.5400
26,2023-08-18,sh.605388,13.0500,13.2700,12.6200,12.6600,12629801,162908593.5600
27,2023-08-25,sh.605388,12.6800,13.0300,12.2000,12.4100,13824888,173974121.6800
28,2023-09-01,sh.605388,13.1000,13.1000,12.4100,12.9900,13712389,175734047.5100
29,2023-09-08,sh.605388,13.0200,13.2300,12.8600,12.9400,10074800,131128075.0000
30,2023-09-15,sh.605388,12.9600,13.1400,12.7000,12.8700,7907600,102200019.0000
31,2023-09-22,sh.605388,12.9200,13.1600,12.5800,12.8800,9333531,120469855.2500
32,2023-09-28,sh.605388,12.8600,12.9800,12.6800,12.8500,6182920,79485165.6700
33,2023-10-13,sh.605388,12.8100,12.8700,12.3300,12.4200,8822507,111378900.3200
34,2023-10-20,sh.605388,12.4500,12.4500,11.8900,11.9400,7433186,90348543.1700
35,2023-10-27,sh.605388,11.9100,12.6700,11.6500,12.6400,8409030,102395336.3000
36,2023-11-03,sh.605388,12.6800,13.1300,12.5700,13.0200,16005202,206761326.7700
37,2023-11-10,sh.605388,12.9600,13.1700,12.7800,12.8500,10672195,138005354.5800
38,2023-11-17,sh.605388,12.8500,13.7600,12.8500,13.2800,16536995,221557013.1600
39,2023-11-24,sh.605388,13.2600,13.7000,13.2000,13.6800,9408186,126891392.5400
40,2023-12-01,sh.605388,13.6400,14.0800,13.4800,13.6600,14977399,205401522.2400
41,2023-12-08,sh.605388,13.6500,13.7900,13.3200,13.3700,12339718,167285234.8400
42,2023-12-15,sh.605388,13.2600,13.4600,12.8400,12.9000,11255232,148513831.0900
43,2023-12-22,sh.605388,12.8700,12.8800,12.4100,12.4700,8820252,111512312.4200
44,2023-12-29,sh.605388,12.4700,12.6500,12.0800,12.5400,10489196,130070916.3200
45,2024-01-05,sh.605388,12.5000,12.5400,11.9000,11.9500,10016764,122472864.1600
46,2024-01-12,sh.605388,11.9900,12.0900,11.4400,11.7500,15858702,184947075.8500
47,2024-01-19,sh.605388,11.6800,11.7900,10.7500,10.9400,12679901,143421678.0300
48,2024-01-26,sh.605388,10.9400,11.0400,9.7900,10.2800,18027983,185385416.7400
49,2024-02-02,sh.605388,10.3100,10.4000,8.3900,8.7300,18921244,177052508.1700
50,2024-02-08,sh.605388,8.5900,8.6200,6.9500,7.9500,33872656,255180855.4500
51,2024-02-23,sh.605388,8.2000,8.9500,8.0000,8.9100,33206806,285256442.6900
52,2024-03-01,sh.605388,8.8900,9.5500,8.4000,8.9500,28702915,257390831.5700
53,2024-03-08,sh.605388,8.9600,9.2200,8.6600,8.7200,23063537,204646897.3400
54,2024-03-15,sh.605388,8.7400,9.1200,8.6900,9.1200,19331905,173305033.1900
55,2024-03-22,sh.605388,9.1200,9.4800,9.0300,9.2100,18980715,175980572.0100
56,2024-03-29,sh.605388,9.1600,9.1900,8.7200,9.0600,17805211,159784998.4900
57,2024-04-03,sh.605388,9.0500,9.2500,9.0300,9.2300,13604026,124480427.0700
