,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.688006,54.7500,60.0000,51.5000,51.7400,20244574,1130342847.7000
1,2023-02-24,sh.688006,51.3000,53.4500,50.1000,51.0000,9551854,495324165.5600
2,2023-03-03,sh.688006,50.7200,51.3900,49.0500,49.1600,12519279,625052814.0400
3,2023-03-10,sh.688006,49.5900,54.8800,48.3700,52.0600,18127309,943790456.1000
4,2023-03-17,sh.688006,51.0700,51.4500,44.3300,45.2100,14551410,687356046.0300
5,2023-03-24,sh.688006,44.7300,47.6100,43.6900,46.7300,11500039,528334984.6500
6,2023-03-31,sh.688006,46.7300,47.3900,44.6200,44.8000,10161805,466032038.9400
7,2023-04-07,sh.688006,45.0000,46.0700,42.5600,43.8000,11442997,503848484.0500
8,2023-04-14,sh.688006,43.8000,47.5000,43.7300,46.1000,19478318,891119130.4700
9,2023-04-21,sh.688006,45.6000,47.8300,43.0100,43.0100,11924385,542789135.0000
10,2023-04-28,sh.688006,43.0200,52.1000,39.4200,49.7400,27746991,1315337820.2400
11,2023-05-05,sh.688006,49.7200,51.0000,48.0000,48.1900,7956501,390819995.9500
12,2023-05-12,sh.688006,48.5100,49.3000,45.7200,45.8600,17482167,827333441.5600
13,2023-05-19,sh.688006,46.7100,48.2000,42.1100,43.1000,17772044,797659890.2900
14,2023-05-26,sh.688006,43.3900,43.8800,41.6000,42.7500,10471666,446603362.7400
15,2023-06-02,sh.688006,42.6200,43.9300,40.6000,43.5400,14051199,590623112.7000
16,2023-06-09,sh.688006,43.9900,44.1400,28.4000,29.7000,15793805,515806879.2500
17,2023-06-16,sh.688006,29.4500,33.4800,29.4500,32.9500,18292372,572063852.0900
18,2023-06-21,sh.688006,32.9000,33.8200,32.6900,32.7800,11326374,376710804.7100
19,2023-06-30,sh.688006,32.6100,33.5000,29.1800,30.4700,38809184,1176478859.9700
20,2023-07-07,sh.688006,30.6600,32.5100,30.3400,30.4500,32017767,1004902490.2000
21,2023-07-14,sh.688006,30.5000,31.5700,29.3800,30.2500,23993464,732669810.7900
22,2023-07-21,sh.688006,30.0200,31.3200,29.5800,30.5600,20437539,622854810.7100
23,2023-07-28,sh.688006,30.3500,30.8800,28.8100,29.2600,16227846,484284787.4800
24,2023-08-04,sh.688006,29.3200,30.7700,29.3100,29.9500,14252076,428882739.1000
25,2023-08-11,sh.688006,29.9600,30.1400,28.4600,28.5000,10403125,305750820.4000
26,2023-08-18,sh.688006,28.4000,28.4200,26.2600,26.7300,14188397,382745622.0900
27,2023-08-25,sh.688006,26.6000,26.9500,24.6900,24.9600,13738088,350831861.8200
28,2023-09-01,sh.688006,27.0000,28.0000,24.8600,27.3300,20880174,558156260.5700
29,2023-09-08,sh.688006,27.4500,28.1100,26.8800,27.0100,15645035,427862234.0000
30,2023-09-15,sh.688006,27.1700,27.3500,25.5800,26.1600,15353191,409582362.4500
31,2023-09-22,sh.688006,25.9900,26.6900,25.4100,26.1200,10209524,265114442.1500
32,2023-09-28,sh.688006,26.1000,26.4900,25.6300,26.1500,9064738,235773258.0700
33,2023-10-13,sh.688006,26.0100,26.1400,24.4100,24.7600,19724133,494904914.3300
34,2023-10-20,sh.688006,24.7300,24.8700,23.3200,23.4700,13934780,332136474.8000
35,2023-10-27,sh.688006,23.3300,24.1500,22.4100,24.1100,14289046,330469926.6800
36,2023-11-03,sh.688006,24.3000,24.9900,23.7000,24.3600,19984843,488239757.7300
37,2023-11-10,sh.688006,24.6000,25.4700,24.5400,25.0300,17824991,446092111.3800
38,2023-11-17,sh.688006,25.1700,25.5000,24.4600,24.8000,16259024,406483936.0100
39,2023-11-24,sh.688006,24.8600,25.1600,23.6000,23.7600,18906200,462574305.4100
40,2023-12-01,sh.688006,23.7000,24.5800,23.3600,23.6000,14304683,341876705.0500
41,2023-12-08,sh.688006,23.5200,23.5400,22.1700,22.3900,18994151,431486512.3000
42,2023-12-15,sh.688006,22.2800,23.2400,22.0600,22.4400,16018254,362403825.2400
43,2023-12-22,sh.688006,22.4500,22.5700,21.3700,22.2200,18035073,394237650.9400
44,2023-12-29,sh.688006,22.1900,23.6900,21.5500,23.4800,20372299,461846141.5800
45,2024-01-05,sh.688006,23.5900,23.6100,22.2300,22.2900,11708298,269024217.3000
46,2024-01-12,sh.688006,22.2700,23.6300,21.6300,22.8800,19153409,431757530.7800
47,2024-01-19,sh.688006,22.8000,22.9900,21.2400,21.8000,17565001,390550977.1900
48,2024-01-26,sh.688006,21.6000,21.8000,19.8100,21.3000,23411163,489409387.6200
49,2024-02-02,sh.688006,21.3900,21.5300,18.1600,18.9600,20627072,413212590.8800
50,2024-02-08,sh.688006,18.8000,23.2900,17.5500,22.0700,27179638,569545185.5700
51,2024-02-23,sh.688006,22.5600,22.5700,21.0600,21.5500,23806173,513349479.0500
52,2024-03-01,sh.688006,21.5900,23.2400,21.3600,22.8300,30337502,676215363.0500
53,2024-03-08,sh.688006,22.8300,22.9800,21.5000,21.8800,21066188,465759979.4900
54,2024-03-15,sh.688006,22.1000,23.5500,22.0900,22.6600,27377005,624642113.6200
55,2024-03-22,sh.688006,22.9500,23.7600,22.1900,22.2600,26992929,623216743.5900
56,2024-03-29,sh.688006,22.2600,22.3600,20.8900,21.2200,20388674,439264802.1400
57,2024-04-03,sh.688006,21.3000,23.2300,21.3000,22.7300,16185349,363170830.1500
