,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.688130,48.9500,50.2000,45.8600,46.8000,3490181,168753767.8500
1,2023-02-24,sh.688130,46.5600,47.1900,45.7200,46.1500,2276832,105617361.0000
2,2023-03-03,sh.688130,46.1200,46.4600,43.2300,46.2100,3390213,151550889.7300
3,2023-03-10,sh.688130,46.0100,47.4000,44.1400,45.8000,3562116,163064917.8700
4,2023-03-17,sh.688130,45.3500,48.1500,44.5200,47.7200,5460944,255533532.1700
5,2023-03-24,sh.688130,47.3200,49.9300,46.7000,48.3000,5400219,261724165.4200
6,2023-03-31,sh.688130,48.3000,49.9000,46.2800,48.7100,5196909,250649797.7400
7,2023-04-07,sh.688130,49.2300,52.6800,48.7100,51.1900,6963652,353011186.2800
8,2023-04-14,sh.688130,51.5600,54.8000,49.5800,54.6400,10272136,535807044.2300
9,2023-04-21,sh.688130,53.8000,56.3000,46.3000,46.4700,8085134,418034359.1800
10,2023-04-28,sh.688130,45.6000,47.3000,41.8000,43.4000,3164029,137996091.4500
11,2023-05-05,sh.688130,43.2100,43.7400,42.5300,43.0000,687448,29506743.5500
12,2023-05-12,sh.688130,43.0000,43.5700,41.5200,42.1200,1538114,65519715.1900
13,2023-05-19,sh.688130,42.1200,44.9300,41.4900,44.6500,1974316,85785547.5600
14,2023-05-26,sh.688130,44.5100,46.7000,43.8800,46.4000,3384287,154737345.9900
15,2023-06-02,sh.688130,46.2700,47.6800,45.4100,46.6600,2163708,101021417.9900
16,2023-06-09,sh.688130,46.8600,47.5900,44.1200,44.8100,1561503,71112507.9000
17,2023-06-16,sh.688130,44.8900,45.6000,43.9800,44.6400,1743898,78028747.2100
18,2023-06-21,sh.688130,44.6400,45.7700,43.5900,43.6000,1270305,56792104.3400
19,2023-06-30,sh.688130,43.5900,44.4200,41.1900,44.1000,1570935,67294331.0700
20,2023-07-07,sh.688130,44.1000,45.0300,43.4200,43.6400,1338266,59145621.2600
21,2023-07-14,sh.688130,43.6400,45.4700,43.2500,45.0000,1372035,60952617.9800
22,2023-07-21,sh.688130,44.8000,45.8600,43.1600,43.2600,1527858,68324495.6600
23,2023-07-28,sh.688130,43.2600,44.8100,42.7500,43.6200,1204827,52694002.6200
24,2023-08-04,sh.688130,43.6100,43.8200,42.1600,42.3700,996877,42759389.4800
25,2023-08-11,sh.688130,42.3600,42.9900,42.0200,42.5600,1166909,49608931.8200
26,2023-08-18,sh.688130,42.5200,43.6100,41.1600,42.4200,1604938,67573533.2100
27,2023-08-25,sh.688130,42.5600,42.9700,40.9600,41.1800,1493389,62430781.2500
28,2023-09-01,sh.688130,43.0000,44.9900,40.8100,44.2900,2813112,122646577.2700
29,2023-09-08,sh.688130,44.3000,45.1600,43.4800,44.6700,1763457,78496609.6300
30,2023-09-15,sh.688130,44.6500,44.9800,41.9100,42.9700,1323014,57623427.7200
31,2023-09-22,sh.688130,42.3900,43.2400,40.8800,42.1700,1112720,46709446.1900
32,2023-09-28,sh.688130,42.1700,43.8900,41.6000,43.6600,1100695,47271311.8800
33,2023-10-13,sh.688130,43.9000,44.5600,43.0100,43.7700,1027412,45001459.4400
34,2023-10-20,sh.688130,43.6600,44.2300,41.4100,41.4600,1181685,50649253.5500
35,2023-10-27,sh.688130,41.4600,41.9800,39.2500,41.5500,1505855,61587774.0100
36,2023-11-03,sh.688130,41.4200,44.8900,41.4200,44.5300,2180026,95593490.3100
37,2023-11-10,sh.688130,44.9800,45.6700,43.7500,43.8100,1622400,72734660.6900
38,2023-11-17,sh.688130,44.1200,45.6500,44.0300,44.9000,1328454,59697397.5100
39,2023-11-24,sh.688130,45.1500,45.4200,43.3000,43.4900,1317857,58421010.5800
40,2023-12-01,sh.688130,43.4600,45.8200,43.2500,43.9800,1912136,84912174.7600
41,2023-12-08,sh.688130,43.9500,44.1100,41.6000,42.0900,1423030,60572006.8300
42,2023-12-15,sh.688130,42.6300,42.6300,40.5500,40.7400,1864926,77405143.4300
43,2023-12-22,sh.688130,40.4900,41.0000,39.3300,39.4500,1443400,58120489.6900
44,2023-12-29,sh.688130,39.1300,40.9800,38.4200,40.8500,1167817,46097132.3800
45,2024-01-05,sh.688130,41.1200,41.1200,39.6700,39.9600,1105713,44653070.1300
46,2024-01-12,sh.688130,39.5500,39.8200,38.1400,38.4700,1030903,40166248.8800
47,2024-01-19,sh.688130,38.6600,38.6600,35.7000,35.9500,1441493,53340336.0000
48,2024-01-26,sh.688130,35.9500,36.1900,31.5100,33.8100,1901719,63828016.1700
49,2024-02-02,sh.688130,33.8100,34.3200,28.2900,29.5100,1739515,54339135.9900
50,2024-02-08,sh.688130,28.9300,30.0000,23.4600,29.6400,2074355,55209318.7400
51,2024-02-23,sh.688130,30.0000,32.3500,29.6300,32.0000,1481167,46260527.3400
52,2024-03-01,sh.688130,31.7200,34.1500,30.4500,31.3100,3410024,108686104.6100
53,2024-03-08,sh.688130,31.7000,31.7000,29.7200,30.2200,1676847,51256657.3500
54,2024-03-15,sh.688130,30.0000,31.4900,29.9100,30.9000,1524820,46867294.1300
55,2024-03-22,sh.688130,31.4800,32.9400,30.9500,31.6200,2114642,67643092.3100
56,2024-03-29,sh.688130,31.6500,31.6500,30.4100,31.2700,1749545,54299889.3500
57,2024-04-03,sh.688130,31.3300,32.0600,31.1700,32.0600,752297,23793151.1500
