,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.688131,132.0000,134.6900,121.8800,123.3800,6095112,776980280.5000
1,2023-02-24,sh.688131,123.5300,129.9900,121.4000,125.0000,3893376,488450784.2500
2,2023-03-03,sh.688131,124.2800,125.2800,115.0100,117.6800,4320324,516032962.2100
3,2023-03-10,sh.688131,117.4800,117.4800,108.6800,111.7300,4291991,480105295.8800
4,2023-03-17,sh.688131,109.3100,115.8700,105.3800,110.8000,6222283,683546718.2200
5,2023-03-24,sh.688131,110.8100,123.3800,107.1100,119.0000,8242154,966836245.5100
6,2023-03-31,sh.688131,119.8000,126.6000,113.7000,114.4100,6173532,741246876.9200
7,2023-04-07,sh.688131,115.2100,117.3000,107.1600,115.2500,5923200,660808023.2300
8,2023-04-14,sh.688131,117.2000,126.0000,110.5100,121.8700,8059372,954870434.0300
9,2023-04-21,sh.688131,121.7800,127.5000,118.2800,120.7000,7626033,940221164.8300
10,2023-04-28,sh.688131,120.0000,120.0000,103.1500,115.8300,8867820,973880607.8300
11,2023-05-05,sh.688131,115.8300,116.6600,111.4900,113.2000,1256588,142185989.1800
12,2023-05-12,sh.688131,113.7500,114.8000,103.6600,103.9700,2848850,306592564.9300
13,2023-05-19,sh.688131,103.9700,106.6200,97.1300,99.5500,3401353,344222177.5500
14,2023-05-26,sh.688131,99.5500,103.8000,98.1300,100.5100,2212504,223592859.3400
15,2023-06-02,sh.688131,100.5100,100.7100,64.8800,66.2200,5978818,447754470.3300
16,2023-06-09,sh.688131,66.2200,66.8300,58.0000,58.6600,8480750,516958301.0900
17,2023-06-16,sh.688131,58.8800,61.9500,57.5000,60.7900,5829387,350303919.5700
18,2023-06-21,sh.688131,60.7900,61.5900,57.1000,57.2000,3870872,228426985.8600
19,2023-06-30,sh.688131,57.0100,58.8000,56.0200,56.9800,5668250,323963920.5000
20,2023-07-07,sh.688131,57.0000,59.2600,56.0500,56.6600,4477514,257815453.9900
21,2023-07-14,sh.688131,57.0600,63.1600,56.9000,61.8400,9413405,570353708.8500
22,2023-07-21,sh.688131,61.3500,61.6100,57.2000,59.2600,4428742,264953167.0500
23,2023-07-28,sh.688131,59.2000,61.1700,53.9000,57.0100,6736935,386596105.6100
24,2023-08-04,sh.688131,57.5300,62.2000,56.6200,56.9500,8940745,526210837.4300
25,2023-08-11,sh.688131,56.6000,60.4700,54.0100,58.2000,7648621,436375247.7500
26,2023-08-18,sh.688131,57.0700,57.9100,52.3700,52.3700,5892091,323591809.9100
27,2023-08-25,sh.688131,52.4200,52.5700,47.6700,47.8000,6462498,324383225.2900
28,2023-09-01,sh.688131,50.0000,54.3900,47.6800,51.6700,8481341,437431635.5900
29,2023-09-08,sh.688131,51.7600,52.6500,49.1500,50.7600,5974422,303331378.5200
30,2023-09-15,sh.688131,50.4800,52.9800,49.9000,52.3500,6277509,324395310.3900
31,2023-09-22,sh.688131,51.8200,53.4400,50.4100,52.1200,5380039,280263049.1000
32,2023-09-28,sh.688131,51.9900,57.3700,50.9600,55.3600,7438570,407817734.9600
33,2023-10-13,sh.688131,55.5500,63.9700,54.1500,63.6000,12928423,771792082.2500
34,2023-10-20,sh.688131,63.5900,65.6800,60.0100,60.9900,7441547,463586212.6500
35,2023-10-27,sh.688131,60.3900,63.3600,57.1300,62.8000,7585792,450794994.5600
36,2023-11-03,sh.688131,61.5000,67.7500,61.5000,64.4800,10284621,666707178.1500
37,2023-11-10,sh.688131,65.0000,68.5000,64.7400,67.1300,7928299,528446288.2000
38,2023-11-17,sh.688131,67.1500,68.2700,63.7500,64.5900,5266089,345371769.9100
39,2023-11-24,sh.688131,64.2200,65.1400,60.7000,62.1100,6362050,397620847.3000
40,2023-12-01,sh.688131,61.9200,63.6300,56.2300,57.2500,7933417,475658978.6200
41,2023-12-08,sh.688131,57.2300,57.2300,50.4000,51.9300,9422167,494264435.9900
42,2023-12-15,sh.688131,51.6000,54.0000,50.6000,51.8100,5967396,312940679.4400
43,2023-12-22,sh.688131,51.3800,51.9800,50.2500,50.6200,4067013,207873908.1000
44,2023-12-29,sh.688131,50.6200,53.5000,49.0000,52.0600,5055518,257447390.2800
45,2024-01-05,sh.688131,51.9900,51.9900,46.5000,46.6000,5752064,279824434.8400
46,2024-01-12,sh.688131,46.6800,47.8000,44.8500,45.7700,5674522,262586144.2700
47,2024-01-19,sh.688131,45.5700,46.2500,41.4100,42.3500,5111332,223850671.6400
48,2024-01-26,sh.688131,42.3500,42.3500,38.1600,38.6400,7050985,280842711.9400
49,2024-02-02,sh.688131,39.0000,39.5000,29.5100,31.1500,9512436,327448866.0200
50,2024-02-08,sh.688131,30.3500,35.0800,26.0000,34.3900,12251231,371249421.4500
51,2024-02-23,sh.688131,34.3000,36.3600,32.6800,36.0500,9045495,310828878.7500
52,2024-03-01,sh.688131,35.9900,38.7900,34.3200,36.3000,11135934,404414915.8700
53,2024-03-08,sh.688131,36.3200,38.2700,33.8600,34.5100,12654250,450067245.8100
54,2024-03-15,sh.688131,34.9100,40.7000,34.3900,38.3500,17782937,669424170.7600
55,2024-03-22,sh.688131,39.3800,44.0000,38.6000,38.7300,22333357,916810262.3300
56,2024-03-29,sh.688131,38.4500,39.4300,33.9800,34.5800,10932499,394679153.3300
57,2024-04-03,sh.688131,34.8100,36.0100,33.9900,34.2100,4772832,167603998.7300
