,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.688189,15.7400,16.0600,15.3400,15.5900,22412275,351658597.3900
1,2023-02-24,sh.688189,15.5100,17.0800,15.3100,16.0900,34531967,563789867.5600
2,2023-03-03,sh.688189,17.7400,18.6400,16.3500,16.5100,46344303,807653278.0000
3,2023-03-10,sh.688189,16.7500,17.7400,16.3600,17.2500,33140843,563173180.6200
4,2023-03-17,sh.688189,17.1700,17.1700,15.3500,15.5300,21885317,353414714.5600
5,2023-03-24,sh.688189,15.4000,15.7800,15.1000,15.5800,11068296,171144523.0100
6,2023-03-31,sh.688189,15.6500,15.7500,14.9100,15.3400,7945488,122184668.9400
7,2023-04-07,sh.688189,15.3100,15.7700,14.8800,15.5000,12094210,184642599.0600
8,2023-04-14,sh.688189,15.6000,15.8100,15.0800,15.5600,15413699,237547753.5500
9,2023-04-21,sh.688189,15.6200,15.6200,13.8400,14.0100,19652669,285128985.9700
10,2023-04-28,sh.688189,14.0300,14.7400,13.0800,14.6200,17642388,247088884.5600
11,2023-05-05,sh.688189,14.5300,15.0100,14.3600,14.4900,4926095,72381490.1000
12,2023-05-12,sh.688189,14.7800,14.9600,13.8100,13.8500,10821366,153216124.0800
13,2023-05-19,sh.688189,13.8100,14.6700,13.7600,14.4400,9912095,141789667.0100
14,2023-05-26,sh.688189,14.3700,14.9700,14.3700,14.7100,9483106,139216808.2700
15,2023-06-02,sh.688189,14.7100,14.8600,14.2100,14.5300,8906461,129374880.3500
16,2023-06-09,sh.688189,14.4900,14.5600,13.7600,13.9500,9020632,127394285.9800
17,2023-06-16,sh.688189,13.9800,14.0200,9.5400,9.6900,11525553,119369216.5800
18,2023-06-21,sh.688189,9.6700,9.7500,9.0700,9.0800,8886519,83454793.6100
19,2023-06-30,sh.688189,9.0000,9.4700,8.8800,9.4100,11066490,101424363.4800
20,2023-07-07,sh.688189,9.4800,9.8700,9.4100,9.6300,12316315,119425762.9000
21,2023-07-14,sh.688189,9.7000,9.8000,9.5900,9.6200,6645056,64375813.5100
22,2023-07-21,sh.688189,9.6000,9.6900,9.4000,9.5500,7487431,71210766.5600
23,2023-07-28,sh.688189,9.6000,9.9900,9.5000,9.9700,9330114,91576978.2100
24,2023-08-04,sh.688189,9.9400,10.0600,9.6800,9.7200,9560157,94107557.3900
25,2023-08-11,sh.688189,9.7700,9.9400,9.1300,9.6400,16127578,154175505.3400
26,2023-08-18,sh.688189,9.6500,10.0800,9.1700,9.1800,22385029,216134482.7600
27,2023-08-25,sh.688189,9.1100,9.2700,8.6800,8.7900,15005237,133911055.6600
28,2023-09-01,sh.688189,9.2600,10.7400,8.9500,9.9300,39184987,388123278.3000
29,2023-09-08,sh.688189,9.9200,10.0400,9.4500,9.5300,18154029,176385572.6000
30,2023-09-15,sh.688189,9.5200,10.0300,9.5000,9.9200,17708718,173414532.9200
31,2023-09-22,sh.688189,10.1200,10.2700,9.7800,10.0400,19975586,200220323.4300
32,2023-09-28,sh.688189,10.0200,10.3000,9.9500,10.1700,13502924,136654682.6400
33,2023-10-13,sh.688189,10.2200,10.4800,9.8300,10.3600,20744563,210071727.1700
34,2023-10-20,sh.688189,10.5200,10.7100,9.5900,9.6000,21609503,217966028.8500
35,2023-10-27,sh.688189,9.5900,10.3400,9.3600,10.3100,18785410,183221906.5700
36,2023-11-03,sh.688189,10.2500,10.6100,9.6500,9.8200,29231110,293251269.7400
37,2023-11-10,sh.688189,9.8400,10.4400,9.8400,10.2300,24129096,246008086.6800
38,2023-11-17,sh.688189,10.2400,10.3500,10.1400,10.3100,14322856,146374868.7800
39,2023-11-24,sh.688189,10.3600,11.5000,10.3400,11.2500,43433164,478884586.6300
40,2023-12-01,sh.688189,11.4000,11.5200,10.3600,10.6700,34376470,370285666.0700
41,2023-12-08,sh.688189,10.6700,10.7200,10.1000,10.1200,20695716,214254703.2500
42,2023-12-15,sh.688189,10.1500,10.4100,9.9000,9.9400,19200842,194139984.3200
43,2023-12-22,sh.688189,9.9500,9.9900,9.2800,9.3400,15222806,146567479.3300
44,2023-12-29,sh.688189,9.3000,9.5000,9.0500,9.4300,11961086,110520753.5900
45,2024-01-05,sh.688189,9.3800,9.6800,9.2800,9.3100,9442062,89689340.8700
46,2024-01-12,sh.688189,9.3100,9.3700,9.0100,9.0700,11189327,102312377.2800
47,2024-01-19,sh.688189,9.0700,9.1500,8.2300,8.3800,14001619,121732040.2000
48,2024-01-26,sh.688189,8.4000,8.4200,7.5400,8.3200,19030582,152218045.6600
49,2024-02-02,sh.688189,8.3000,8.3800,6.5200,6.7600,19454713,143733100.9900
50,2024-02-08,sh.688189,6.7200,6.7200,5.4100,6.5400,32929402,196417517.3000
51,2024-02-23,sh.688189,6.5000,7.2000,6.4800,7.1900,22535676,155442071.5200
52,2024-03-01,sh.688189,7.1900,7.8900,6.8900,7.2500,27504060,200927870.4700
53,2024-03-08,sh.688189,7.2500,7.4300,6.9300,7.0900,16647576,119304174.7800
54,2024-03-15,sh.688189,7.1400,7.8000,7.1000,7.6800,20010754,149849512.1000
55,2024-03-22,sh.688189,7.7400,8.0200,7.6500,7.6700,18603470,145932013.7300
56,2024-03-29,sh.688189,7.6300,7.8300,7.2600,7.6300,16820988,126570659.1600
57,2024-04-03,sh.688189,7.7200,8.0100,7.6500,7.8200,11354761,88995449.9000
