,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.688228,45.5000,53.5000,43.6100,43.9100,28264397,1356450986.4000
1,2023-02-24,sh.688228,44.6100,46.9500,43.1500,43.7300,11034387,492856914.9600
2,2023-03-03,sh.688228,43.7900,49.2400,42.9100,47.4300,13483304,625998777.2400
3,2023-03-10,sh.688228,47.3100,50.0100,46.4100,46.4100,12456743,596575241.4200
4,2023-03-17,sh.688228,46.3000,50.8900,44.6300,49.6500,12098888,573728388.0900
5,2023-03-24,sh.688228,50.0300,58.6800,46.3500,56.5500,25159265,1339774653.3400
6,2023-03-31,sh.688228,57.6000,64.0000,54.6000,59.1500,23747976,1384822844.3800
7,2023-04-07,sh.688228,58.9000,69.9900,57.1200,59.5200,20642713,1269149922.3300
8,2023-04-14,sh.688228,59.0000,63.2500,53.9100,58.5200,20791828,1209598270.6000
9,2023-04-21,sh.688228,58.9400,59.3300,51.7100,51.8000,12797176,714735999.8100
10,2023-04-28,sh.688228,51.1400,53.1600,44.7200,47.3400,11679616,563219173.1300
11,2023-05-05,sh.688228,47.3400,49.5000,44.2000,47.7300,5926034,275801542.6300
12,2023-05-12,sh.688228,47.0000,49.3000,45.6100,45.8100,12285261,579376452.8300
13,2023-05-19,sh.688228,46.3000,47.8900,44.0000,46.9300,8237127,379371949.8300
14,2023-05-26,sh.688228,47.0100,48.9700,44.8800,46.7800,9816441,462120908.0500
15,2023-06-02,sh.688228,46.7800,50.1200,45.2800,49.2000,10782361,519722934.1600
16,2023-06-09,sh.688228,49.0900,72.0000,48.7800,70.2000,35039614,2121545253.3600
17,2023-06-16,sh.688228,69.2000,74.8900,63.2300,70.0600,34457115,2392839222.8000
18,2023-06-21,sh.688228,70.2400,71.7000,59.2900,59.8200,17744887,1164748000.0500
19,2023-06-30,sh.688228,59.9000,60.0000,50.3000,51.3600,14440854,772496681.1400
20,2023-07-07,sh.688228,51.5800,52.0000,47.6300,48.9100,11867293,595519397.9100
21,2023-07-14,sh.688228,48.8300,50.2500,46.6600,49.2500,8675882,419994161.4000
22,2023-07-21,sh.688228,49.1500,50.1000,46.3900,46.6900,7036365,341413033.9300
23,2023-07-28,sh.688228,46.2600,47.7000,44.5900,45.5500,5070959,234151228.0600
24,2023-08-04,sh.688228,45.5900,46.3000,43.8000,45.3200,4914850,220810014.5700
25,2023-08-11,sh.688228,45.6500,46.7400,43.4400,43.4500,5240050,237757374.0300
26,2023-08-18,sh.688228,43.0000,48.0000,42.3600,43.2100,8671249,388087133.1700
27,2023-08-25,sh.688228,43.0000,46.7000,40.5500,40.9800,15809637,705106404.8100
28,2023-09-01,sh.688228,43.9700,46.5000,38.7000,44.1600,15223401,664471870.4000
29,2023-09-08,sh.688228,44.2500,44.8000,41.3200,42.3400,7810192,337590427.2600
30,2023-09-15,sh.688228,42.6900,44.3000,40.2000,40.4200,5544323,234608597.1700
31,2023-09-22,sh.688228,40.4000,40.8800,37.7100,40.1100,5786184,226037834.4000
32,2023-09-28,sh.688228,40.0900,40.9700,39.0100,40.7600,4699761,188131704.7100
33,2023-10-13,sh.688228,40.2500,41.8200,39.8800,40.2100,5451224,222540621.0400
34,2023-10-20,sh.688228,40.1000,40.1000,36.5700,36.8000,5031729,194434403.2900
35,2023-10-27,sh.688228,36.5500,40.2900,35.2800,37.4000,8870971,335773835.9600
36,2023-11-03,sh.688228,36.9800,39.8600,36.8000,38.7500,5554917,214477987.2800
37,2023-11-10,sh.688228,39.1100,41.9000,39.1100,40.2700,4970537,202300465.9000
38,2023-11-17,sh.688228,40.5400,56.0000,40.2700,54.9900,28335700,1399268797.1600
39,2023-11-24,sh.688228,52.9600,58.9900,50.1800,51.0500,31081329,1657803519.1900
40,2023-12-01,sh.688228,51.2100,60.3600,47.8900,59.9100,23923754,1257823129.8200
41,2023-12-08,sh.688228,59.0100,70.0000,57.7700,67.1300,26382838,1642077305.1500
42,2023-12-15,sh.688228,65.8000,72.8000,64.3300,70.2500,17181616,1182506020.0400
43,2023-12-22,sh.688228,70.2700,71.3700,64.0000,65.2000,14249790,969155919.5900
44,2023-12-29,sh.688228,65.3800,66.8000,61.5500,65.4300,10085822,646129925.3000
45,2024-01-05,sh.688228,65.5800,68.2200,62.0000,62.8500,8072182,519840566.0900
46,2024-01-12,sh.688228,63.3100,63.3200,57.7400,60.1700,7499426,454428908.1500
47,2024-01-19,sh.688228,60.0200,62.0000,55.2100,56.0600,7228906,422217791.9300
48,2024-01-26,sh.688228,57.4800,59.2000,48.7000,49.3500,14950598,798542193.5400
49,2024-02-02,sh.688228,49.1200,50.3100,37.4200,38.9000,9900018,432349093.4000
50,2024-02-08,sh.688228,38.7900,39.3000,29.2000,39.2800,10449185,352277597.3600
51,2024-02-23,sh.688228,42.0000,51.5500,40.2200,51.5100,13198736,603154735.5900
52,2024-03-01,sh.688228,50.9700,65.6900,49.0500,60.6600,14887570,848595137.9900
53,2024-03-08,sh.688228,60.6500,62.1900,53.7300,56.4400,11365320,652764658.8700
54,2024-03-15,sh.688228,55.9900,62.8800,52.1500,54.4000,10002005,570123974.5100
55,2024-03-22,sh.688228,54.8000,60.6600,54.6100,59.4000,11159827,651431232.6500
56,2024-03-29,sh.688228,58.6900,59.3700,48.0500,48.7900,8668265,450983683.0400
57,2024-04-03,sh.688228,49.2000,51.4600,45.2500,45.6000,4757080,229616347.3200
