,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.688279,95.7600,105.3700,95.3600,98.0600,1426666,143752617.0400
1,2023-02-24,sh.688279,98.1000,102.0100,92.2800,99.5200,2489822,238633863.1700
2,2023-03-03,sh.688279,99.8900,100.3700,95.3800,97.4600,1084694,106777133.5500
3,2023-03-10,sh.688279,96.7400,99.4400,90.6000,92.6400,1459297,137118602.2000
4,2023-03-17,sh.688279,92.0600,94.0900,87.0000,87.6900,1287266,115416315.5500
5,2023-03-24,sh.688279,86.0000,94.0400,86.0000,92.0000,1997254,180133002.5300
6,2023-03-31,sh.688279,90.3800,93.2500,86.3600,89.6100,2118234,188757943.7300
7,2023-04-07,sh.688279,89.6100,94.2700,87.7700,91.5900,2122935,194171084.4100
8,2023-04-14,sh.688279,90.9900,92.5000,84.9900,88.1300,1736067,152382992.3900
9,2023-04-21,sh.688279,87.4700,102.6900,87.4700,87.7000,4988537,463712595.3800
10,2023-04-28,sh.688279,86.3000,87.9900,77.0000,78.6800,5152760,416928188.3500
11,2023-05-05,sh.688279,76.0000,79.6700,75.8800,76.7300,1243126,96536045.1100
12,2023-05-12,sh.688279,76.5000,79.8000,75.3000,76.6300,2156956,167555801.6200
13,2023-05-19,sh.688279,76.6300,84.8000,75.5700,84.1700,3010611,248516438.2600
14,2023-05-26,sh.688279,86.9700,92.9700,81.0400,89.1500,4411688,382779819.2300
15,2023-06-02,sh.688279,89.3500,102.1100,89.3500,98.2600,8004470,764499075.7800
16,2023-06-09,sh.688279,98.9700,99.0700,87.5200,93.1000,5009677,462818101.3700
17,2023-06-16,sh.688279,92.9800,108.7400,92.5000,106.2000,5621459,563824169.0500
18,2023-06-21,sh.688279,109.1700,135.0000,108.1600,127.0000,11321073,1373119992.1100
19,2023-06-30,sh.688279,125.8000,138.6900,118.6700,132.0000,14565281,1845630274.2900
20,2023-07-07,sh.688279,138.5100,138.5800,124.8000,133.0000,8757544,1150000668.7800
21,2023-07-14,sh.688279,131.4000,132.4600,118.0000,124.0000,7572860,940246554.8700
22,2023-07-21,sh.688279,124.4900,131.0000,116.5700,119.0000,5329144,657458161.5800
23,2023-07-28,sh.688279,120.8100,120.8100,107.3600,109.5900,4154697,470548861.8100
24,2023-08-04,sh.688279,109.3400,115.5000,105.0200,112.6000,5459996,598079506.7600
25,2023-08-11,sh.688279,112.8500,113.3900,105.4400,107.5700,4006287,436820777.6800
26,2023-08-18,sh.688279,104.3700,109.5100,100.9100,103.7600,4503533,471790706.2900
27,2023-08-25,sh.688279,102.5000,105.9900,98.2500,100.0000,4802421,488501847.0100
28,2023-09-01,sh.688279,104.0000,112.5200,96.8800,105.4300,7143991,760537058.9900
29,2023-09-08,sh.688279,105.9500,107.0000,94.1800,100.5300,5541629,551970777.4500
30,2023-09-15,sh.688279,102.0000,104.3500,98.6900,103.0000,3495251,355462476.8100
31,2023-09-22,sh.688279,102.8700,104.8800,97.1000,103.0000,3658018,372007995.4700
32,2023-09-28,sh.688279,105.0600,114.3100,105.0600,110.0000,4624220,506614631.3300
33,2023-10-13,sh.688279,109.4900,110.5500,102.8500,106.9800,2085786,223769387.9700
34,2023-10-20,sh.688279,106.9500,106.9700,99.5600,103.1000,2137821,219776089.8300
35,2023-10-27,sh.688279,103.4400,107.5800,95.3600,102.9100,3399357,345378803.0200
36,2023-11-03,sh.688279,102.6000,111.3400,100.8600,110.6400,2459341,261590414.5300
37,2023-11-10,sh.688279,110.8200,121.6800,107.6600,118.5700,4664245,541503603.1000
38,2023-11-17,sh.688279,119.6700,122.8700,110.8400,116.9300,3975358,462830586.4200
39,2023-11-24,sh.688279,119.4000,120.0100,111.0000,114.8500,2889573,336490847.8900
40,2023-12-01,sh.688279,114.7200,120.7000,112.9100,115.3300,2416513,283972225.1100
41,2023-12-08,sh.688279,115.2100,117.9800,112.0100,115.2400,1843696,212352690.2000
42,2023-12-15,sh.688279,115.6000,132.8800,114.1900,127.8600,4315072,532998528.1200
43,2023-12-22,sh.688279,126.3000,128.9900,118.1000,122.0000,3092898,380640804.3100
44,2023-12-29,sh.688279,119.0200,127.3600,118.8000,126.1200,2545177,312209928.2300
45,2024-01-05,sh.688279,125.3000,126.1200,108.0000,109.0000,3080146,352278040.0000
46,2024-01-12,sh.688279,111.1100,114.3300,106.1400,107.0900,2181486,237335698.5700
47,2024-01-19,sh.688279,107.9700,111.8000,101.2000,103.6000,2616413,277775876.1600
48,2024-01-26,sh.688279,102.6000,102.7600,89.0000,91.0000,5139931,487123410.3600
49,2024-02-02,sh.688279,90.8000,91.5300,78.5200,80.9000,4475014,383453211.2000
50,2024-02-08,sh.688279,80.7800,93.3800,72.6000,92.0000,4304581,354512368.0700
51,2024-02-23,sh.688279,92.0000,97.4400,87.2600,95.2900,3973197,364438771.6900
52,2024-03-01,sh.688279,99.6000,107.6900,94.0100,105.4800,5072380,513411137.5100
53,2024-03-08,sh.688279,105.0000,106.7000,98.6000,101.7200,2954601,302673470.4700
54,2024-03-15,sh.688279,100.1900,110.0000,100.1900,105.7800,2229139,233668316.0900
55,2024-03-22,sh.688279,106.6500,107.4600,99.9000,100.1000,1996211,206573678.3400
56,2024-03-29,sh.688279,100.0900,113.8200,97.5100,113.7100,2692014,278502883.4100
57,2024-04-03,sh.688279,113.0000,113.0000,106.0000,108.0100,2200429,238950859.5900
