,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.688345,59.1900,60.6000,53.9300,53.9800,4824184,276672830.7400
1,2023-02-24,sh.688345,53.1900,56.8900,51.9800,53.6900,6169160,333074038.4700
2,2023-03-03,sh.688345,52.5300,53.6900,47.7000,48.1400,5330270,267025293.8800
3,2023-03-10,sh.688345,48.5500,49.9700,47.7800,48.0600,3145870,153501455.2800
4,2023-03-17,sh.688345,48.1800,48.6000,44.1100,44.3600,3590705,165846682.1400
5,2023-03-24,sh.688345,44.4800,47.5800,43.5200,45.1000,4005195,183732228.0400
6,2023-03-31,sh.688345,45.5500,46.7900,43.5500,45.3900,3798086,170383394.1600
7,2023-04-07,sh.688345,45.3900,46.2800,43.0300,43.4600,2965652,130934619.7800
8,2023-04-14,sh.688345,43.8000,44.8700,41.1200,42.4000,4402408,189943024.2000
9,2023-04-21,sh.688345,42.3000,43.9000,36.7200,38.9500,6504627,259909551.2400
10,2023-04-28,sh.688345,39.1400,40.5000,36.5100,38.9000,4622427,178090542.7100
11,2023-05-05,sh.688345,39.0000,40.2900,37.2200,37.5600,1094630,42148050.3900
12,2023-05-12,sh.688345,38.0200,38.5300,35.8600,36.9900,2665054,98627288.3500
13,2023-05-19,sh.688345,37.0200,39.0500,36.8900,38.8400,1870716,71622548.7000
14,2023-05-26,sh.688345,38.9800,40.2300,37.5000,38.0600,1844974,72101157.6900
15,2023-06-02,sh.688345,38.0000,39.3800,37.0000,38.9800,2299299,87372549.6000
16,2023-06-09,sh.688345,39.3800,39.9100,35.4400,35.9400,2416900,89081338.9500
17,2023-06-16,sh.688345,35.5100,36.9700,33.9900,36.9300,3834106,136339625.1200
18,2023-06-21,sh.688345,36.9300,37.4900,35.9000,36.1300,1278306,46648310.8900
19,2023-06-30,sh.688345,36.1100,37.4600,35.0100,37.1100,1927307,70049069.4200
20,2023-07-07,sh.688345,37.3700,38.9700,36.2500,36.3900,2212366,83679399.9800
21,2023-07-14,sh.688345,37.0900,38.7300,36.5600,36.8000,2860130,107957204.6500
22,2023-07-21,sh.688345,36.8000,37.2300,35.3300,35.4100,1499124,54365505.3500
23,2023-07-28,sh.688345,35.3900,36.7600,35.0100,35.9800,1640423,58947337.4000
24,2023-08-04,sh.688345,35.8000,37.2700,35.5600,35.7800,1428932,51871243.5900
25,2023-08-11,sh.688345,35.7800,36.0700,34.1200,34.2600,1768957,61667859.3900
26,2023-08-18,sh.688345,34.4000,34.4900,32.3000,32.8900,1482926,49157130.0600
27,2023-08-25,sh.688345,32.5900,36.7100,30.2800,34.3400,5580088,191925641.0600
28,2023-09-01,sh.688345,35.1900,37.4700,32.1800,36.4800,7626860,269723477.5200
29,2023-09-08,sh.688345,36.5600,38.1200,35.0200,37.0000,3857084,142960333.9600
30,2023-09-15,sh.688345,37.7100,37.7100,33.9400,34.7600,2415752,85392809.1200
31,2023-09-22,sh.688345,34.4600,36.7000,34.0200,35.7800,2168256,76344194.1600
32,2023-09-28,sh.688345,35.7000,36.3800,34.8900,36.2900,1552153,55247647.4800
33,2023-10-13,sh.688345,36.5000,37.5000,35.0000,35.3300,3107172,111338089.4400
34,2023-10-20,sh.688345,35.3300,35.6100,33.8600,34.2500,2943236,101887502.2800
35,2023-10-27,sh.688345,34.2500,35.5500,32.6100,35.2500,2933672,99799447.5400
36,2023-11-03,sh.688345,34.4800,34.5100,30.6000,31.1800,6921016,219148635.2200
37,2023-11-10,sh.688345,31.6500,33.7300,31.3500,32.9700,5490526,180069445.2200
38,2023-11-17,sh.688345,33.2300,33.6800,32.2000,33.4800,3144115,103960616.5700
39,2023-11-24,sh.688345,33.6600,33.9500,32.0000,32.1800,2876853,94648786.7600
40,2023-12-01,sh.688345,32.1800,32.8700,30.7600,31.3000,2899538,92429608.7200
41,2023-12-08,sh.688345,31.0500,31.8000,29.9600,30.0000,3432352,105675588.6900
42,2023-12-15,sh.688345,29.9100,30.3500,29.1900,29.5700,2774040,82586832.4800
43,2023-12-22,sh.688345,29.4900,31.0400,28.7100,30.2800,3530747,104738787.3600
44,2023-12-29,sh.688345,30.2800,32.9000,28.2600,31.4600,5761590,176931400.9800
45,2024-01-05,sh.688345,31.6000,31.6000,28.7800,28.9600,3002966,90226275.7400
46,2024-01-12,sh.688345,28.9000,31.1700,28.4900,30.0000,3962406,117440599.1000
47,2024-01-19,sh.688345,29.8600,30.1000,27.8800,28.0000,3085013,89648525.1000
48,2024-01-26,sh.688345,28.2800,28.3000,24.2400,25.5600,2874290,74842678.0900
49,2024-02-02,sh.688345,26.0000,26.0000,20.4200,20.8800,2566379,58598852.5700
50,2024-02-08,sh.688345,20.5600,20.5600,16.6700,18.8100,4319116,77124780.6500
51,2024-02-23,sh.688345,18.8700,21.2600,18.8700,21.2000,3561265,71646557.4500
52,2024-03-01,sh.688345,21.2700,23.8700,20.6800,22.1700,4788671,105887828.1000
53,2024-03-08,sh.688345,22.5000,22.6800,20.7500,22.0000,3046357,65587550.9400
54,2024-03-15,sh.688345,21.8400,24.5000,21.8400,23.2500,4534989,105521619.9400
55,2024-03-22,sh.688345,23.5000,24.1800,22.3800,22.4500,2726824,63683012.4700
56,2024-03-29,sh.688345,22.6800,22.6800,20.0000,21.1600,4521432,95672386.1800
57,2024-04-03,sh.688345,21.1900,23.5000,21.1600,22.1200,2939139,65791668.8000
