,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.688358,42.5000,43.5000,40.6800,41.4600,11331264,473870681.4800
1,2023-02-24,sh.688358,41.1900,42.3400,39.6800,40.8700,6429748,261973577.9700
2,2023-03-03,sh.688358,40.9500,40.9500,34.9000,35.2900,11024588,400013291.9300
3,2023-03-10,sh.688358,35.3100,37.0000,34.7500,34.9100,4779377,170009991.3300
4,2023-03-17,sh.688358,34.6500,35.2000,33.7500,33.8900,4542759,156228344.1300
5,2023-03-24,sh.688358,33.8800,36.4500,32.8700,35.4100,4809393,167837232.9800
6,2023-03-31,sh.688358,35.4100,37.4900,34.8000,36.0400,5883249,212620529.3800
7,2023-04-07,sh.688358,36.3000,38.3600,34.6600,38.0400,5762819,211157062.6200
8,2023-04-14,sh.688358,38.1200,39.9000,37.0000,39.3800,7489171,287517265.0900
9,2023-04-21,sh.688358,41.0000,58.8800,39.6000,53.3800,38968068,1824617278.5400
10,2023-04-28,sh.688358,54.9900,58.1800,47.9000,55.5700,27686002,1454953833.9400
11,2023-05-05,sh.688358,55.7500,55.7500,50.7600,52.8000,6629835,351845054.7500
12,2023-05-12,sh.688358,52.3900,66.0000,49.6000,62.4400,24398481,1433415350.0100
13,2023-05-19,sh.688358,62.9900,63.9200,54.9600,58.4400,16452982,952934581.4000
14,2023-05-26,sh.688358,56.6700,57.9800,52.9600,54.9200,8671715,477322059.4900
15,2023-06-02,sh.688358,55.6900,56.7500,51.5800,53.0000,7173092,389251322.9900
16,2023-06-09,sh.688358,53.0600,55.4800,51.0200,51.9000,5560107,295693632.7900
17,2023-06-16,sh.688358,50.7900,53.0000,49.9100,51.7100,4885637,249901577.0600
18,2023-06-21,sh.688358,51.7600,60.6500,51.6000,56.7500,9468750,536642753.8100
19,2023-06-30,sh.688358,55.6200,56.3300,47.1800,51.0000,7902717,400870023.9100
20,2023-07-07,sh.688358,51.0200,51.4400,46.9200,47.3000,4312739,209590153.3800
21,2023-07-14,sh.688358,47.8700,47.8700,44.3500,45.6500,4785712,217919906.9000
22,2023-07-21,sh.688358,45.4500,46.1000,41.8700,43.3300,4350897,188696776.1800
23,2023-07-28,sh.688358,44.0000,47.4900,43.7300,44.7100,5956981,271641065.8700
24,2023-08-04,sh.688358,44.0200,45.1600,39.6900,39.7100,7131233,296450778.7000
25,2023-08-11,sh.688358,40.1800,41.1800,37.9000,39.6300,6964969,274855971.0800
26,2023-08-18,sh.688358,39.3400,40.4800,37.9000,38.0400,5052593,197660505.3200
27,2023-08-25,sh.688358,38.2700,39.9000,37.0000,38.2400,5999337,230854521.0500
28,2023-09-01,sh.688358,41.1200,44.3300,37.8900,42.5200,11906942,495210000.2500
29,2023-09-08,sh.688358,42.0300,42.6000,38.7200,39.1200,4532835,184537259.6900
30,2023-09-15,sh.688358,39.2100,41.3900,38.9100,40.3000,4638875,186312722.1600
31,2023-09-22,sh.688358,40.4000,41.6800,38.7500,40.7200,4427493,179536924.0700
32,2023-09-28,sh.688358,40.3000,42.9800,40.3000,41.5100,4148980,172420029.8900
33,2023-10-13,sh.688358,41.2800,41.7000,37.7000,38.1000,6754488,263592845.9500
34,2023-10-20,sh.688358,38.5500,39.7200,35.7000,36.3200,7325327,269560022.1000
35,2023-10-27,sh.688358,36.2900,36.9800,31.7600,36.4000,7942738,277505893.1600
36,2023-11-03,sh.688358,35.7000,43.5000,35.7000,42.3800,13967863,563311021.4700
37,2023-11-10,sh.688358,44.1600,44.2000,40.9600,41.3100,6716985,285477840.9700
38,2023-11-17,sh.688358,41.9900,43.8000,41.0000,43.2700,4722477,199141729.0600
39,2023-11-24,sh.688358,43.3000,46.4400,42.8300,43.5500,6100742,272583950.0500
40,2023-12-01,sh.688358,43.5900,45.8000,42.2400,43.0700,5285508,231818383.9400
41,2023-12-08,sh.688358,43.4500,43.4500,39.0600,39.4600,6638349,268926479.8300
42,2023-12-15,sh.688358,39.5400,40.8800,37.1100,37.5100,6475738,249681480.8000
43,2023-12-22,sh.688358,37.5100,37.9900,36.0300,36.5700,4300851,159509959.2300
44,2023-12-29,sh.688358,36.5700,38.1000,35.5700,37.7800,3347140,122571520.1900
45,2024-01-05,sh.688358,37.8200,38.0700,34.4000,34.5000,3137973,112990206.6200
46,2024-01-12,sh.688358,34.8900,34.8900,32.8100,33.4000,3459073,116697908.6700
47,2024-01-19,sh.688358,33.3100,33.6800,30.5300,30.7800,4242651,135575822.0500
48,2024-01-26,sh.688358,30.7700,30.9000,27.0200,29.2500,8649788,251485393.6100
49,2024-02-02,sh.688358,29.4900,29.6900,23.1300,24.1400,6402036,170901373.0800
50,2024-02-08,sh.688358,24.0000,27.8200,20.2200,27.8200,13445930,318461109.1500
51,2024-02-23,sh.688358,29.0000,29.3800,26.5100,28.7600,13517897,380908301.0500
52,2024-03-01,sh.688358,28.9800,31.9800,28.7200,30.5400,12452148,376008931.8600
53,2024-03-08,sh.688358,30.6100,31.8800,28.6600,29.3900,7163659,215027654.3300
54,2024-03-15,sh.688358,30.2400,33.5000,30.1100,31.6000,9191935,289944713.8600
55,2024-03-22,sh.688358,32.2500,38.3900,32.1000,35.1100,16923412,602325785.8900
56,2024-03-29,sh.688358,34.8000,35.7600,32.2400,33.0800,7353974,247776264.5500
57,2024-04-03,sh.688358,33.0300,34.4500,31.1600,31.2100,4725393,154148956.4500
