,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.688372,111.2600,121.9800,110.3900,110.7900,5975166,696766223.6500
1,2023-02-24,sh.688372,111.1400,119.2000,108.3100,117.8800,4030201,458426070.6500
2,2023-03-03,sh.688372,116.9800,118.0000,110.1000,113.8400,4180920,476956208.4200
3,2023-03-10,sh.688372,112.0500,117.4800,103.6000,105.5800,5969107,654158990.3700
4,2023-03-17,sh.688372,104.7600,114.7600,104.7600,109.7000,5926471,646726032.5000
5,2023-03-24,sh.688372,108.7000,108.9900,101.6600,103.3200,8014166,839469820.2000
6,2023-03-31,sh.688372,103.0000,109.6600,98.0200,105.8300,7092827,736837762.4100
7,2023-04-07,sh.688372,105.8000,123.5000,102.0100,123.2800,10812693,1222696767.1200
8,2023-04-14,sh.688372,121.6900,141.9800,114.0100,139.2300,12234691,1523053113.3400
9,2023-04-21,sh.688372,138.8900,148.0000,128.9000,129.1700,12626315,1730291377.4200
10,2023-04-28,sh.688372,130.1100,137.9800,113.5000,115.1800,9473135,1154928433.2300
11,2023-05-05,sh.688372,108.2400,110.3000,104.0000,106.2700,3791418,406399498.7100
12,2023-05-12,sh.688372,105.9700,129.7000,105.1300,121.1200,9363758,1092157145.8500
13,2023-05-19,sh.688372,120.0000,137.0000,119.0200,128.0000,9122289,1181338059.0900
14,2023-05-26,sh.688372,130.0500,133.7000,124.2100,126.8000,4271850,546953270.3300
15,2023-06-02,sh.688372,127.8900,145.2000,123.2000,142.4700,5538366,729492414.0700
16,2023-06-09,sh.688372,142.3000,152.4800,130.7900,144.9000,5739866,798217520.6000
17,2023-06-16,sh.688372,144.5700,152.3800,137.3500,137.7000,5173945,747481684.8300
18,2023-06-21,sh.688372,137.8500,148.3600,132.2900,137.2000,3616625,504522011.1500
19,2023-06-30,sh.688372,135.9200,157.0000,134.5100,153.1500,4697339,690236227.0000
20,2023-07-07,sh.688372,154.2600,158.8000,105.0100,108.2800,4532802,598832792.4600
21,2023-07-14,sh.688372,108.2800,110.8900,98.0100,104.4100,4955187,525776055.5200
22,2023-07-21,sh.688372,103.6000,114.8000,103.6000,104.3900,4207117,461466434.8900
23,2023-07-28,sh.688372,104.3300,105.2000,94.5000,95.4000,4125701,411795167.3100
24,2023-08-04,sh.688372,95.4000,105.5000,93.2800,104.6900,4594940,460317742.1600
25,2023-08-11,sh.688372,103.1400,105.9700,97.5800,98.8800,2327393,235681878.6500
26,2023-08-18,sh.688372,97.3200,98.9000,89.9400,94.5300,2809026,265456784.2400
27,2023-08-25,sh.688372,94.0100,101.8600,91.9300,93.4400,3757156,364520480.9800
28,2023-09-01,sh.688372,98.5000,124.0100,91.0000,111.2500,13725204,1532664978.0600
29,2023-09-08,sh.688372,112.4000,136.9600,111.0300,117.6900,19443827,2339393030.6000
30,2023-09-15,sh.688372,117.0200,117.6000,106.0000,111.6900,9882040,1106117594.9800
31,2023-09-22,sh.688372,110.0100,116.5000,107.0000,116.4000,5555088,622589354.7000
32,2023-09-28,sh.688372,118.0700,118.4200,102.0000,105.2300,5555202,599937101.3300
33,2023-10-13,sh.688372,103.0500,108.3100,100.2000,103.2800,5392933,558981712.6200
34,2023-10-20,sh.688372,103.2800,103.3100,91.7600,93.0100,5355582,517545844.7700
35,2023-10-27,sh.688372,93.8000,94.0000,78.9400,82.0000,9067086,755694408.0800
36,2023-11-03,sh.688372,80.0100,89.5600,78.5100,83.9100,12245050,1031773141.7000
37,2023-11-10,sh.688372,85.7200,95.0000,84.1700,87.7300,10169028,912882549.9200
38,2023-11-17,sh.688372,88.3600,92.7800,84.0800,85.2000,6900988,604969108.5800
39,2023-11-24,sh.688372,85.1100,92.8000,84.0100,88.7000,8131449,723522936.1600
40,2023-12-01,sh.688372,88.3000,91.0100,85.0000,87.4800,6635738,582938042.7600
41,2023-12-08,sh.688372,87.5000,87.9700,81.8800,85.2100,5590763,470135834.8700
42,2023-12-15,sh.688372,84.3000,85.6900,76.8700,78.9000,6495075,524493259.6100
43,2023-12-22,sh.688372,77.8300,77.8300,73.2600,75.0000,5579531,419111286.5100
44,2023-12-29,sh.688372,75.1400,78.5000,72.6000,78.4000,4286887,322179020.6000
45,2024-01-05,sh.688372,77.7100,77.9700,70.4000,71.6600,3066542,226920987.5100
46,2024-01-12,sh.688372,71.4100,71.4100,66.2800,69.2800,3832352,264524393.5100
47,2024-01-19,sh.688372,68.8100,71.8800,63.9000,64.6300,4758139,319828513.2900
48,2024-01-26,sh.688372,64.6300,65.5500,55.6000,58.7500,6647310,395972116.2200
49,2024-02-02,sh.688372,59.3400,59.7000,45.8200,47.3000,6653908,353859611.6800
50,2024-02-08,sh.688372,46.2800,51.2500,39.1800,51.2500,9732551,434707750.5900
51,2024-02-23,sh.688372,51.4800,55.2700,48.9100,54.9200,6988783,360874532.4700
52,2024-03-01,sh.688372,54.5000,59.1900,51.0400,56.0800,10769305,599675569.0500
53,2024-03-08,sh.688372,56.5000,60.5100,54.2000,57.3600,11483910,660201649.1000
54,2024-03-15,sh.688372,56.9800,62.0000,55.5900,58.1800,7960288,474291947.1100
55,2024-03-22,sh.688372,58.6800,69.5000,57.6000,67.9500,18819896,1190962267.7200
56,2024-03-29,sh.688372,68.7900,70.0000,54.9100,66.6000,19623629,1232991192.4400
57,2024-04-03,sh.688372,68.7400,68.7400,58.5000,59.2000,12716314,809078526.4800
