,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.688381,46.2900,48.6800,43.5000,43.6100,9201037,430384203.1500
1,2023-02-24,sh.688381,43.2100,44.3000,41.6000,42.5000,10394787,444366381.6700
2,2023-03-03,sh.688381,42.4500,43.3800,38.9400,39.7100,15915902,650322275.3900
3,2023-03-10,sh.688381,39.8600,43.3800,38.5100,42.0500,19989269,824020163.6500
4,2023-03-17,sh.688381,42.0200,43.1900,41.2500,41.6500,13032348,549218365.2500
5,2023-03-24,sh.688381,41.6000,42.3000,38.3000,40.8900,20549398,823091520.8200
6,2023-03-31,sh.688381,41.4200,43.4400,39.0200,40.7600,19825784,814929753.3200
7,2023-04-07,sh.688381,40.9800,44.8200,40.9000,44.2800,18863503,809498918.7200
8,2023-04-14,sh.688381,44.7900,48.7100,43.4600,46.9300,26203567,1196111083.0400
9,2023-04-21,sh.688381,46.6100,47.1200,41.6200,41.6300,18860993,835711124.6500
10,2023-04-28,sh.688381,40.0000,41.3000,35.5200,37.6000,15300312,585246467.4000
11,2023-05-05,sh.688381,37.3600,37.7900,35.2100,35.3500,3830820,139322735.0900
12,2023-05-12,sh.688381,35.4800,35.9000,33.8000,34.9000,8244647,287637570.8300
13,2023-05-19,sh.688381,34.7800,37.5000,34.0900,37.2600,5519647,197786958.6900
14,2023-05-26,sh.688381,37.2600,37.5900,35.8000,36.5300,5041476,184514688.8300
15,2023-06-02,sh.688381,36.9700,37.8900,35.1800,37.3300,8591269,315691481.7400
16,2023-06-09,sh.688381,37.3700,37.7700,33.6200,34.8500,9954713,350999649.1300
17,2023-06-16,sh.688381,34.9800,35.2000,32.4000,34.7300,10293932,349092197.4300
18,2023-06-21,sh.688381,34.5000,35.9400,34.0100,34.1400,5416239,190105249.8700
19,2023-06-30,sh.688381,33.8600,34.1400,30.9900,32.2800,8078538,259655875.5200
20,2023-07-07,sh.688381,32.4400,34.0600,31.8000,31.9800,7697798,252621615.6700
21,2023-07-14,sh.688381,32.0300,35.6700,31.7700,34.6600,10723205,368476677.9800
22,2023-07-21,sh.688381,34.4300,35.1700,32.0600,32.3400,5455457,183439648.3000
23,2023-07-28,sh.688381,32.3700,32.4000,29.5000,30.4600,6297859,196679935.7700
24,2023-08-04,sh.688381,30.6600,30.8900,29.3100,29.5500,4562068,137238354.9000
25,2023-08-11,sh.688381,29.4800,29.6200,28.3000,28.3800,3916973,113038298.7300
26,2023-08-18,sh.688381,28.0000,28.6200,26.6400,26.7700,6320361,173247977.9600
27,2023-08-25,sh.688381,26.9100,27.3000,24.5000,24.6900,11062593,283047804.2000
28,2023-09-01,sh.688381,26.5300,28.3900,24.6000,27.6900,13409014,362150298.9500
29,2023-09-08,sh.688381,27.7500,28.6500,27.4600,28.3800,9135439,257327503.0900
30,2023-09-15,sh.688381,28.5400,28.9400,27.1000,27.8800,6965799,194929181.5100
31,2023-09-22,sh.688381,27.5800,27.6500,26.2000,27.2900,5267214,141509032.2700
32,2023-09-28,sh.688381,27.2400,27.3800,26.6000,27.1000,3702094,99784512.7100
33,2023-10-13,sh.688381,27.1000,27.7400,26.6800,27.0500,7674091,208158020.0900
34,2023-10-20,sh.688381,27.0500,27.1000,25.0100,25.0700,11085044,287122195.5100
35,2023-10-27,sh.688381,25.0600,25.2300,23.4500,24.9200,9250007,225094208.1300
36,2023-11-03,sh.688381,24.5900,26.8200,24.5900,26.4100,10639845,276557089.0000
37,2023-11-10,sh.688381,26.5400,28.7000,26.5000,27.1800,19908783,553774894.8200
38,2023-11-17,sh.688381,27.3600,28.3500,26.8500,27.7500,11722110,325303837.5000
39,2023-11-24,sh.688381,27.8000,28.0700,25.8000,25.9100,10455272,280124845.4500
40,2023-12-01,sh.688381,25.8700,27.0800,25.3300,25.8700,9416933,246924510.3300
41,2023-12-08,sh.688381,25.9500,26.1200,25.0500,25.8100,11185434,287025751.8900
42,2023-12-15,sh.688381,25.6200,26.8300,25.1900,25.6600,8358346,218574251.2700
43,2023-12-22,sh.688381,25.6200,26.1200,24.6400,24.8200,7667553,193602301.1600
44,2023-12-29,sh.688381,24.9100,25.3600,23.3300,25.3200,10857948,263510562.2000
45,2024-01-05,sh.688381,25.4800,25.4800,24.1000,24.2600,6091775,150886712.5800
46,2024-01-12,sh.688381,24.2100,24.2100,21.7200,22.0500,9555833,216126259.1800
47,2024-01-19,sh.688381,21.8600,22.2300,19.7900,20.1000,9799923,203821565.9400
48,2024-01-26,sh.688381,19.9500,20.2500,18.3600,19.1700,12588855,243038548.9300
49,2024-02-02,sh.688381,18.5800,19.5000,15.4500,16.2700,13636013,240938553.7800
50,2024-02-08,sh.688381,15.9000,18.1700,13.2200,17.4500,16122926,247056142.0500
51,2024-02-23,sh.688381,17.6100,18.4500,16.8200,18.3900,13899068,245168292.8700
52,2024-03-01,sh.688381,18.3300,19.8400,17.3300,19.1200,14967973,279654631.9600
53,2024-03-08,sh.688381,19.4400,20.1800,18.4500,19.2200,18308695,352631902.6000
54,2024-03-15,sh.688381,19.2600,21.3900,18.6100,20.9900,17418978,349133890.8600
55,2024-03-22,sh.688381,21.0500,21.4700,20.0100,20.1200,16877883,350496234.1600
56,2024-03-29,sh.688381,19.9200,20.1200,17.5800,18.6400,11643887,217357839.5100
57,2024-04-03,sh.688381,18.6400,20.8900,18.6400,19.6000,7875120,153472626.9500
