,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.688435,100.6900,106.1800,94.1000,98.5000,12319621,1227652152.6800
1,2023-02-24,sh.688435,99.7000,114.8400,98.8100,110.2300,9628435,1028032462.6400
2,2023-03-03,sh.688435,108.5400,121.2700,107.8000,112.5500,9958124,1141408417.9400
3,2023-03-10,sh.688435,114.1700,119.9900,108.3000,114.0300,4986615,562732230.8600
4,2023-03-17,sh.688435,114.2700,120.0000,108.0000,112.6200,3515897,396542251.4000
5,2023-03-24,sh.688435,110.7100,111.9900,103.5000,106.9400,2964546,318920763.3900
6,2023-03-31,sh.688435,108.9000,127.6000,107.6200,117.4100,5783386,674313231.0400
7,2023-04-07,sh.688435,117.4100,133.0000,115.0000,126.2600,3528825,431927369.8000
8,2023-04-14,sh.688435,127.0000,132.3300,118.6900,132.3300,3487085,438415104.6700
9,2023-04-21,sh.688435,131.0000,131.8700,113.5000,113.5000,2948551,360907258.1600
10,2023-04-28,sh.688435,113.4000,115.0000,104.5200,107.0300,2006132,217409018.0400
11,2023-05-05,sh.688435,107.0300,108.4700,100.5400,101.5000,626666,64393236.6000
12,2023-05-12,sh.688435,101.5000,113.4900,99.3100,107.0200,2033493,217587351.1000
13,2023-05-19,sh.688435,107.4500,109.7500,103.1200,107.7400,1235166,130844371.5000
14,2023-05-26,sh.688435,107.6600,108.9500,93.6300,98.4500,1662024,165520346.3100
15,2023-06-02,sh.688435,100.0000,108.5000,96.3900,105.0500,1826224,188232424.7300
16,2023-06-09,sh.688435,105.0500,109.6800,101.4200,103.2000,2241991,236796983.9600
17,2023-06-16,sh.688435,103.3300,107.4500,80.0300,87.9200,8334661,765989014.7400
18,2023-06-21,sh.688435,88.0000,96.8200,85.0100,85.7900,4296828,392507306.5000
19,2023-06-30,sh.688435,84.2100,86.3000,71.0000,76.0400,6827426,523913924.2300
20,2023-07-07,sh.688435,77.0000,83.5100,74.7600,78.3000,4692052,373962479.8800
21,2023-07-14,sh.688435,77.9200,79.0200,72.7200,75.1400,2908385,219740751.1700
22,2023-07-21,sh.688435,75.1800,76.2500,65.9000,66.3400,4434172,309903694.4800
23,2023-07-28,sh.688435,66.6300,73.4400,65.4700,70.4500,4622864,321865478.0200
24,2023-08-04,sh.688435,69.6900,77.2100,69.0900,74.5500,4407138,318845060.6500
25,2023-08-11,sh.688435,76.0000,81.5400,72.6200,73.0400,6340725,486378799.6900
26,2023-08-18,sh.688435,71.5500,81.4600,68.8000,75.4900,7577123,570235407.5800
27,2023-08-25,sh.688435,74.9200,76.9800,61.1100,61.5400,7848568,535112718.1100
28,2023-09-01,sh.688435,65.3600,78.6900,61.0100,73.6400,8145665,579929909.0400
29,2023-09-08,sh.688435,73.5000,74.4900,67.2200,69.3900,5794070,412686751.8300
30,2023-09-15,sh.688435,69.7400,71.8300,62.2900,62.9100,3607378,241288455.6600
31,2023-09-22,sh.688435,63.3700,64.2500,58.0200,62.1500,4165765,252499758.1300
32,2023-09-28,sh.688435,62.6800,62.6800,59.2800,61.4700,3631288,221295098.4300
33,2023-10-13,sh.688435,61.2900,78.2800,60.2100,73.6500,11417608,815932525.7900
34,2023-10-20,sh.688435,73.0700,80.7900,64.4200,64.9000,11467878,838993838.4000
35,2023-10-27,sh.688435,64.9000,68.3300,57.4300,61.8700,7697763,483829445.7600
36,2023-11-03,sh.688435,61.7000,62.9300,57.0500,60.9800,7710113,465147247.1500
37,2023-11-10,sh.688435,61.4300,66.9900,61.2000,64.5600,5112631,330079051.3600
38,2023-11-17,sh.688435,64.6500,67.5700,63.4300,64.1300,5648751,370183470.4200
39,2023-11-24,sh.688435,64.2500,65.0700,58.2000,58.8100,4363429,269325850.1200
40,2023-12-01,sh.688435,58.5200,60.9800,57.4800,59.9400,4553917,270258127.8100
41,2023-12-08,sh.688435,60.3300,61.9000,57.1400,60.1900,4088587,243110898.8100
42,2023-12-15,sh.688435,59.8600,67.7000,59.0500,59.7000,10879974,691156650.8700
43,2023-12-22,sh.688435,59.3000,60.8000,48.4000,48.7100,8944027,480115886.6500
44,2023-12-29,sh.688435,48.7100,49.0500,45.0100,48.0200,6549972,308835572.0700
45,2024-01-05,sh.688435,47.8600,48.2800,44.5000,44.7700,3442977,159038054.4800
46,2024-01-12,sh.688435,44.7700,45.0900,42.1200,42.3000,4264456,185348793.7300
47,2024-01-19,sh.688435,42.3000,42.3000,38.0300,39.1200,4241894,169852128.1200
48,2024-01-26,sh.688435,38.9600,40.5500,35.1000,38.7100,6839604,258212747.9300
49,2024-02-02,sh.688435,39.3900,40.8000,29.6600,30.9000,5309073,183483923.2900
50,2024-02-08,sh.688435,30.7300,30.7300,24.4000,29.2700,6970701,188669815.4700
51,2024-02-23,sh.688435,29.8100,36.9400,29.6100,36.5600,8043429,265562745.5200
52,2024-03-01,sh.688435,36.9000,41.1600,36.6000,40.0500,9701530,376767332.1700
53,2024-03-08,sh.688435,39.9900,40.8500,37.5800,40.0800,6099249,240635860.5400
54,2024-03-15,sh.688435,39.6000,43.5400,39.3100,43.5400,6252474,256369743.4100
55,2024-03-22,sh.688435,43.1900,43.6300,40.8300,42.2100,6537141,278547954.9300
56,2024-03-29,sh.688435,42.1800,42.7500,34.8500,37.1300,6287411,239211593.4000
57,2024-04-03,sh.688435,37.3500,39.8900,37.1500,38.4100,2464949,95268363.4300
